open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1744070400000,0.58600,0.59120,0.58480,0.59040,7048555,1744071299999,4146647.17550,11831,3939411,2317874.23620,0
1744071300000,0.59050,0.59170,0.58670,0.58670,4769543,1744072199999,2811343.08460,9784,2084740,1229503.43170,0
1744072200000,0.58680,0.58680,0.58230,0.58480,7298372,1744073099999,4267158.39190,13012,2815172,1646046.44670,0
1744073100000,0.58470,0.58550,0.58080,0.58150,5607263,1744073999999,3267921.60950,12599,2372505,1382958.27680,0
1744074000000,0.58150,0.58570,0.57940,0.58420,8145435,1744074899999,4737228.64200,13479,4016566,2337342.51080,0
1744074900000,0.58420,0.59290,0.58200,0.59190,7723910,1744075799999,4544039.18470,14619,4824256,2840264.05410,0
1744075800000,0.59190,0.60140,0.59070,0.59700,17220231,1744076699999,10283521.40500,24497,8801069,5255791.36170,0
1744076700000,0.59710,0.59970,0.59450,0.59800,9794382,1744077599999,5848617.17880,15814,4463022,2665364.67610,0
1744077600000,0.59810,0.60460,0.59630,0.60200,12322217,1744078499999,7401367.91280,18245,6740596,4050638.21420,0
1744078500000,0.60210,0.60310,0.60010,0.60070,7802822,1744079399999,4691217.79000,11807,3733400,2244558.47150,0
1744079400000,0.60070,0.60070,0.59670,0.59790,5914501,1744080299999,3539957.66590,11771,2495980,1493708.26290,0
1744080300000,0.59800,0.59900,0.59600,0.59700,3641018,1744081199999,2174500.80430,9252,1577771,942297.09810,0
1744081200000,0.59700,0.59960,0.59600,0.59740,4537948,1744082099999,2712104.04920,9675,2556153,1527621.13110,0
1744082100000,0.59750,0.59880,0.59360,0.59860,6479091,1744082999999,3860917.92120,11459,2675257,1594713.46030,0
1744083000000,0.59860,0.59870,0.59270,0.59320,9900393,1744083899999,5890057.78590,11978,4302389,2560678.93150,0
1744083900000,0.59330,0.59430,0.59170,0.59300,3678662,1744084799999,2181381.43940,7395,1908210,1131638.53740,0
1744084800000,0.59290,0.59480,0.59010,0.59360,5407687,1744085699999,3203796.30870,10377,3110810,1843052.64320,0
1744085700000,0.59370,0.59640,0.59160,0.59600,4884674,1744086599999,2901380.80090,9509,3161006,1877815.00820,0
1744086600000,0.59600,0.59740,0.59290,0.59470,5701334,1744087499999,3395199.46810,9899,3057301,1820545.35390,0
1744087500000,0.59480,0.59840,0.59330,0.59830,5694801,1744088399999,3395111.73260,10635,3233029,1927283.54600,0
1744088400000,0.59820,0.59890,0.59250,0.59350,7783307,1744089299999,4633078.72770,11823,3788170,2255188.00390,0
1744089300000,0.59340,0.59400,0.58900,0.58950,8925910,1744090199999,5276689.78100,12581,3966845,2345970.01060,0
1744090200000,0.58950,0.59200,0.58890,0.59050,6467367,1744091099999,3817820.74380,10881,3584976,2116320.84150,0
1744091100000,0.59050,0.59200,0.58860,0.58990,14593155,1744091999999,8614666.99050,12793,4352767,2570524.40050,0
1744092000000,0.59000,0.59090,0.58560,0.58680,17764683,1744092899999,10438459.88220,17080,9417173,5532461.52910,0
1744092900000,0.58680,0.58820,0.58580,0.58680,5460988,1744093799999,3205762.69280,8825,3313190,1945004.40470,0
1744093800000,0.58690,0.58810,0.58400,0.58590,8552817,1744094699999,5007642.05220,12618,3071496,1798777.04300,0
1744094700000,0.58600,0.58640,0.58200,0.58290,7953923,1744095599999,4641754.37680,10649,2833192,1653731.58910,0
1744095600000,0.58290,0.58400,0.57980,0.58250,8094719,1744096499999,4708436.71210,11742,4985803,2900317.39430,0
1744096500000,0.58250,0.58480,0.58030,0.58380,5387576,1744097399999,3141832.21310,10218,3381522,1972440.80820,0
1744097400000,0.58370,0.58390,0.58180,0.58320,3696526,1744098299999,2154465.22730,10227,1725404,1005726.06770,0
1744098300000,0.58330,0.58510,0.58040,0.58460,4496757,1744099199999,2621564.53780,9696,2254286,1314653.57460,0
1744099200000,0.58470,0.58500,0.57970,0.58010,8895174,1744100099999,5175971.07690,10466,4509133,2624446.15520,0
1744100100000,0.58000,0.58080,0.57690,0.57860,8136155,1744100999999,4710845.41370,12313,3926520,2273487.25400,0
1744101000000,0.57860,0.58190,0.57780,0.58180,6970373,1744101899999,4040474.56540,8697,3959006,2295206.77880,0
1744101900000,0.58180,0.58190,0.57870,0.58160,3876307,1744102799999,2249931.91220,7070,2133714,1238516.58380,0
1744102800000,0.58150,0.58300,0.57910,0.58140,5532097,1744103699999,3215543.90250,9980,3420544,1988079.65950,0
1744103700000,0.58150,0.58320,0.58000,0.58010,4139247,1744104599999,2407726.49360,7921,2024660,1177902.36400,0
1744104600000,0.58010,0.58850,0.58010,0.58690,7553778,1744105499999,4421710.95020,12075,3995297,2338715.52030,0
1744105500000,0.58690,0.58750,0.58250,0.58270,5407251,1744106399999,3162995.58470,9345,2324045,1359867.80880,0
1744106400000,0.58270,0.58560,0.58180,0.58370,4875365,1744107299999,2844821.43280,7507,2515937,1468236.34350,0
1744107300000,0.58380,0.58670,0.58340,0.58510,3667182,1744108199999,2146132.28610,7020,1738659,1017481.70950,0
1744108200000,0.58510,0.59000,0.58400,0.58700,7299051,1744109099999,4288830.69940,10820,5032499,2957313.02150,0
1744109100000,0.58700,0.58950,0.58610,0.58750,4831454,1744109999999,2839046.51860,8351,2912064,1711455.58350,0
1744110000000,0.58760,0.59050,0.58570,0.58850,7566697,1744110899999,4449863.01940,10336,3971069,2335042.34710,0
1744110900000,0.58860,0.59310,0.58740,0.59290,7227389,1744111799999,4273382.71290,12197,3455053,2043211.53970,0
1744111800000,0.59290,0.60170,0.59280,0.59930,31238248,1744112699999,18683934.73410,29326,15199186,9091905.94390,0
1744112700000,0.59940,0.60720,0.59930,0.60540,27196602,1744113599999,16420617.63100,28913,12830927,7747226.49500,0
1744113600000,0.60530,0.60990,0.60430,0.60660,33655604,1744114499999,20426750.85730,34220,16933092,10276333.63710,0
1744114500000,0.60660,0.60710,0.60060,0.60200,39883292,1744115399999,24066301.45080,31506,18679945,11268112.49560,0
1744115400000,0.60200,0.60390,0.59760,0.59910,28878706,1744116299999,17337064.39950,25182,13589461,8157251.20750,0
1744116300000,0.59910,0.60270,0.59870,0.60150,47785599,1744117199999,28694569.30990,26849,24052939,14443050.22420,0
1744117200000,0.60150,0.60860,0.60010,0.60700,39842495,1744118099999,24060001.93040,33553,20533807,12402853.44290,0
