open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1744675200000,584.090,585.120,582.200,584.370,21230.06,1744678799999,12394404.87360,29202,12047.21,7034346.11640,0
1744678800000,584.370,586.080,582.380,585.900,16608.41,1744682399999,9705706.35810,24309,8730.84,5103462.32590,0
1744682400000,585.910,586.480,583.490,585.530,13584.90,1744685999999,7948334.67680,22148,6271.87,3669232.48600,0
1744686000000,585.530,587.420,585.140,587.320,13208.70,1744689599999,7742740.35690,18606,6968.18,4084800.75000,0
1744689600000,587.310,588.850,585.810,588.490,11831.11,1744693199999,6947333.76030,18482,6539.53,3840707.70010,0
1744693200000,588.490,589.770,588.030,588.990,14041.85,1744696799999,8269660.53390,22294,7442.96,4383490.60650,0
1744696800000,589.000,589.190,587.800,588.000,9654.77,1744700399999,5681343.53270,17889,3696.85,2175332.37880,0
1744700400000,588.010,590.130,587.950,589.450,12417.00,1744703999999,7318922.44980,18449,6412.30,3779250.59010,0
1744704000000,589.460,589.490,588.130,588.460,13267.16,1744707599999,7813145.99740,16532,5770.16,3397908.02020,0
1744707600000,588.470,591.110,588.220,590.360,21706.24,1744711199999,12804058.29150,24339,11612.98,6849353.18640,0
1744711200000,590.360,590.720,587.300,588.080,18199.76,1744714799999,10718557.05140,26468,7631.90,4493343.49570,0
1744714800000,588.080,589.130,587.470,588.510,12518.40,1744718399999,7364558.00660,18586,5380.71,3165087.13390,0
1744718400000,588.510,589.500,586.720,588.090,17480.31,1744721999999,10274561.72710,22387,9573.76,5625977.99720,0
1744722000000,588.080,590.260,585.970,586.850,48182.67,1744725599999,28339541.39630,41307,23291.92,13701088.37330,0
1744725600000,586.840,587.710,583.740,585.130,37093.29,1744729199999,21721974.36330,47702,19644.00,11503209.23100,0
1744729200000,585.130,586.530,583.540,584.300,16692.64,1744732799999,9768867.43050,27313,6495.79,3801314.41930,0
1744732800000,584.290,585.210,583.740,583.870,13149.70,1744736399999,7683916.17880,22313,5886.40,3439797.43840,0
1744736400000,583.860,585.120,582.510,583.100,16534.97,1744739999999,9651939.38820,25932,8622.71,5033671.20250,0
1744740000000,583.090,584.340,581.500,583.310,16784.14,1744743599999,9783895.44840,25133,8512.54,4962453.08560,0
1744743600000,583.300,583.480,581.930,583.240,10058.50,1744747199999,5862310.96600,19415,5008.04,2918568.58780,0
1744747200000,583.240,583.240,580.480,581.580,13117.71,1744750799999,7634652.89030,23460,6819.22,3968600.54020,0
1744750800000,581.590,583.330,581.260,582.850,10745.26,1744754399999,6255089.21060,20196,6470.93,3766586.20210,0
1744754400000,582.850,582.850,579.670,580.810,17677.30,1744757999999,10272468.75220,24782,8120.02,4719767.31190,0
1744758000000,580.810,581.200,578.950,579.110,18343.04,1744761599999,10634484.54140,25052,9540.38,5531477.35980,0
