open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1745193600000,592.430,598.270,592.280,597.420,75214.05,1745197199999,44814469.38330,61978,45846.63,27311826.33580,0
1745197200000,597.410,601.360,597.410,599.990,40529.57,1745200799999,24294571.00510,49937,23314.03,13975503.29620,0
1745200800000,600.000,601.830,598.530,599.750,26756.93,1745204399999,16069141.58320,38627,12602.90,7569824.46200,0
1745204400000,599.760,603.000,599.020,601.940,28898.12,1745207999999,17363274.69570,34041,15960.98,9590903.86090,0
1745208000000,601.930,604.500,601.930,602.950,25197.51,1745211599999,15203123.23760,33754,12200.54,7360594.75590,0
1745211600000,602.960,606.910,602.880,606.100,26185.22,1745215199999,15838767.72830,31419,13638.78,8250801.95470,0
1745215200000,606.100,608.490,604.710,605.230,24605.81,1745218799999,14930865.83970,37766,11842.05,7185877.35220,0
1745218800000,605.240,605.830,603.710,604.310,14433.56,1745222399999,8727175.66860,24922,6914.51,4180431.89100,0
1745222400000,604.310,606.370,604.300,605.070,10014.20,1745225999999,6060537.56390,19906,5387.82,3260778.48830,0
1745226000000,605.070,605.440,603.360,604.200,8920.81,1745229599999,5390540.74560,17855,4085.05,2468313.98850,0
1745229600000,604.210,604.360,602.750,603.220,9353.80,1745233199999,5644657.31990,19261,4438.71,2678447.23050,0
1745233200000,603.220,603.320,600.030,600.760,20530.45,1745236799999,12343463.53290,31221,9436.92,5673118.98940,0
1745236800000,600.760,602.760,600.460,601.240,15869.45,1745240399999,9549292.68110,25432,7623.67,4586915.43770,0
1745240400000,601.240,603.910,600.300,600.850,24202.90,1745243999999,14566503.16450,34015,11655.45,7014616.38820,0
1745244000000,600.840,605.620,600.460,604.240,32445.59,1745247599999,19577121.04960,42439,18661.45,11256874.56470,0
1745247600000,604.240,605.170,602.770,603.940,22605.96,1745251199999,13655022.59650,29850,12067.26,7289461.97790,0
1745251200000,603.940,604.460,598.150,598.730,23886.69,1745254799999,14364655.43530,36430,12154.18,7310663.55290,0
1745254800000,598.740,598.850,594.450,595.920,51533.82,1745258399999,30727106.22190,61031,27186.15,16208285.00780,0
1745258400000,595.910,597.500,594.060,596.930,28604.39,1745261999999,17040380.56690,34703,16922.51,10081594.25440,0
1745262000000,596.920,597.940,595.900,597.450,20603.38,1745265599999,12296325.06990,23922,11719.02,6992614.13560,0
1745265600000,597.440,597.450,594.620,595.840,19809.49,1745269199999,11796713.01280,26762,9105.57,5421070.17780,0
1745269200000,595.830,596.740,594.870,596.500,11208.77,1745272799999,6675816.37150,17737,5527.63,3292298.72200,0
1745272800000,596.510,596.640,594.920,596.420,7997.93,1745276399999,4764942.60290,15749,3924.14,2337641.60370,0
1745276400000,596.420,597.360,595.570,596.880,9704.78,1745279999999,5789026.12940,17394,4783.59,2853730.24470,0
