open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1745452800000,605.450,605.580,605.350,605.570,521.21,1745452859999,315580.85400,389,370.10,224093.75180,0
1745452860000,605.570,605.590,605.530,605.590,171.46,1745452919999,103828.61320,431,114.28,69202.68110,0
1745452920000,605.580,605.590,605.460,605.520,139.32,1745452979999,84360.71560,340,77.11,46689.78270,0
1745452980000,605.520,605.610,605.260,605.310,612.10,1745453039999,370633.89650,471,316.13,191414.26460,0
1745453040000,605.310,605.350,605.140,605.140,371.76,1745453099999,224998.88420,496,178.76,108187.01040,0
1745453100000,605.150,605.170,604.890,604.950,655.09,1745453159999,396345.84200,785,213.67,129265.85520,0
1745453160000,604.950,605.040,604.860,605.040,222.17,1745453219999,134393.00380,354,149.75,90583.75740,0
1745453220000,605.040,605.400,604.940,605.390,274.69,1745453279999,166245.93870,478,194.83,117913.17230,0
1745453280000,605.400,605.540,605.400,605.420,128.68,1745453339999,77912.66560,308,69.78,42249.70080,0
1745453340000,605.430,605.450,605.140,605.140,246.47,1745453399999,149182.67830,450,39.14,23691.50150,0
1745453400000,605.150,605.150,605.010,605.010,113.09,1745453459999,68432.58330,302,32.14,19448.13100,0
1745453460000,605.020,605.040,604.880,605.040,374.75,1745453519999,226713.24400,418,91.64,55435.94050,0
1745453520000,605.040,605.060,604.800,604.930,299.83,1745453579999,181358.45850,432,73.60,44516.35000,0
1745453580000,604.930,604.990,604.870,604.930,129.49,1745453639999,78332.97330,250,32.43,19617.50870,0
1745453640000,604.940,604.940,604.260,604.420,1519.17,1745453699999,918478.47590,1105,257.13,155414.75710,0
1745453700000,604.410,604.510,604.260,604.450,396.65,1745453759999,239712.83070,571,287.00,173447.98360,0
1745453760000,604.460,604.650,604.460,604.560,128.97,1745453819999,77973.63860,399,65.19,39410.97620,0
1745453820000,604.560,604.810,604.500,604.810,246.77,1745453879999,149200.47680,417,132.71,80239.98490,0
1745453880000,604.800,604.820,604.440,604.540,273.17,1745453939999,165181.55700,404,101.26,61232.87380,0
1745453940000,604.540,604.670,604.530,604.540,98.52,1745453999999,59563.32320,244,33.85,20464.28060,0
1745454000000,604.530,604.710,604.530,604.710,147.11,1745454059999,88941.39240,299,120.85,73063.67240,0
1745454060000,604.710,605.050,604.700,604.990,258.49,1745454119999,156348.65600,363,199.94,120924.63590,0
1745454120000,604.990,605.140,604.930,604.940,204.25,1745454179999,123581.73060,370,167.65,101437.53660,0
1745454180000,604.930,605.030,604.630,604.680,276.02,1745454239999,166925.40400,417,118.05,71388.19990,0
1745454240000,604.690,604.690,604.060,604.120,322.55,1745454299999,194916.10000,514,118.04,71331.51440,0
1745454300000,604.120,604.130,602.900,602.920,3939.63,1745454359999,2376601.48400,1899,1558.60,939896.62650,0
