open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1679961600000,310.190,310.260,309.950,310.250,2654.17,1679961659999,823055.39630,1534,1306.16,405047.48170,0
1679961660000,310.250,310.870,310.170,310.870,3459.38,1679961719999,1074520.41200,2139,2098.76,651761.69360,0
1679961720000,310.870,310.870,310.330,310.380,1200.11,1679961779999,372805.17700,695,346.90,107712.80810,0
1679961780000,310.390,310.430,310.100,310.120,1327.22,1679961839999,411741.26330,748,493.65,153168.15780,0
1679961840000,310.120,310.250,309.950,310.090,1081.09,1679961899999,335220.99410,776,486.61,150889.26650,0
1679961900000,310.090,310.470,310.010,310.230,928.53,1679961959999,288088.48180,822,565.90,175579.71950,0
1679961960000,310.220,310.340,310.120,310.160,821.83,1679962019999,254972.99920,581,410.32,127308.99840,0
1679962020000,310.150,310.220,309.870,309.950,1144.38,1679962079999,354794.68850,606,459.74,142520.59430,0
1679962080000,309.950,309.950,309.620,309.820,1596.76,1679962139999,494647.71110,877,720.21,223107.92860,0
1679962140000,309.830,310.000,309.810,309.930,669.98,1679962199999,207640.52610,363,445.76,138153.83080,0
1679962200000,309.940,310.120,309.930,310.100,877.68,1679962259999,272113.43750,663,423.37,131257.67650,0
1679962260000,310.100,310.570,310.100,310.570,735.23,1679962319999,228150.37720,898,556.30,172631.16410,0
1679962320000,310.570,310.760,310.570,310.650,775.56,1679962379999,240931.73330,698,330.73,102747.41890,0
1679962380000,310.660,310.720,310.470,310.470,487.10,1679962439999,151290.18080,428,197.86,61453.25240,0
1679962440000,310.470,310.490,310.170,310.460,826.39,1679962499999,256481.04030,645,462.02,143394.09760,0
1679962500000,310.480,310.720,310.250,310.250,1202.78,1679962559999,373472.29260,746,469.39,145753.05530,0
1679962560000,310.250,310.360,309.890,310.120,1593.25,1679962619999,494143.82840,837,642.63,199323.35620,0
1679962620000,310.110,310.120,309.850,310.070,924.96,1679962679999,286711.82880,565,508.48,157613.84500,0
1679962680000,310.080,310.110,309.870,309.870,183.17,1679962739999,56778.99010,304,55.51,17205.66370,0
1679962740000,309.870,309.890,309.700,309.820,899.51,1679962799999,278663.93390,478,352.39,109177.33510,0
1679962800000,309.820,310.210,309.820,310.160,923.48,1679962859999,286257.47250,481,613.45,190137.92010,0
1679962860000,310.170,310.670,310.170,310.440,1090.68,1679962919999,338604.64960,647,655.75,203544.79390,0
1679962920000,310.440,310.610,310.270,310.560,1556.49,1679962979999,483123.20030,675,498.82,154836.61330,0
1679962980000,310.570,310.840,310.480,310.610,1170.48,1679963039999,363687.74340,654,400.67,124488.32850,0
1679963040000,310.620,310.720,310.430,310.670,616.37,1679963099999,191409.71390,424,385.43,119692.37650,0
1679963100000,310.680,310.900,310.670,310.770,746.43,1679963159999,231986.44140,595,417.48,129754.11480,0
1679963160000,310.780,311.110,310.770,311.010,985.07,1679963219999,306303.69800,624,575.44,178936.09620,0
1679963220000,311.010,311.160,311.000,311.160,609.29,1679963279999,189558.65090,484,341.15,106134.46250,0
1679963280000,311.150,311.230,311.060,311.130,764.45,1679963339999,237884.98900,438,251.98,78410.76600,0
1679963340000,311.120,311.210,310.930,310.980,1137.30,1679963399999,353741.86990,564,632.12,196610.69410,0
1679963400000,310.980,310.980,310.460,310.550,2140.92,1679963459999,665134.07260,739,701.11,217786.83640,0
1679963460000,310.550,310.820,310.550,310.740,728.31,1679963519999,226274.72420,458,478.47,148637.36890,0
1679963520000,310.720,310.720,310.360,310.360,865.58,1679963579999,268792.84710,398,251.30,78021.42240,0
1679963580000,310.360,310.480,310.210,310.270,693.18,1679963639999,215123.35780,464,268.27,83258.58650,0
1679963640000,310.270,310.280,310.110,310.210,585.70,1679963699999,181683.22850,462,344.91,106990.99690,0
1679963700000,310.210,310.350,309.900,309.990,1577.81,1679963759999,489334.47100,721,558.05,173087.41240,0
1679963760000,309.990,310.340,309.960,310.210,622.86,1679963819999,193187.67190,486,318.70,98840.13800,0
1679963820000,310.210,310.260,310.070,310.210,287.45,1679963879999,89156.96950,290,91.70,28442.36180,0
1679963880000,310.210,310.250,309.980,310.250,905.37,1679963939999,280773.92710,458,256.95,79688.02170,0
1679963940000,310.260,310.730,310.230,310.430,689.40,1679963999999,214055.95470,431,322.87,100242.50340,0
1679964000000,310.450,310.450,310.230,310.440,809.00,1679964059999,251090.79360,483,292.04,90638.17080,0
1679964060000,310.430,310.640,310.350,310.400,484.40,1679964119999,150385.67870,440,253.55,78711.70980,0
1679964120000,310.400,310.590,310.360,310.560,714.26,1679964179999,221752.53000,449,436.13,135394.90660,0
1679964180000,310.550,310.650,309.860,309.880,4577.99,1679964239999,1419835.38130,1126,973.68,301870.22310,0
1679964240000,309.880,310.030,309.860,310.020,592.83,1679964299999,183757.21790,365,432.21,133970.43600,0
1679964300000,310.030,310.240,309.880,309.880,981.03,1679964359999,304204.91900,535,475.96,147597.25510,0
1679964360000,309.880,310.040,309.700,309.800,959.88,1679964419999,297434.11980,634,442.27,137051.56080,0
1679964420000,309.820,309.900,309.560,309.640,1809.75,1679964479999,560467.16860,709,567.12,175645.41040,0
1679964480000,309.630,309.820,309.630,309.630,671.91,1679964539999,208117.32750,452,370.56,114777.56240,0
1679964540000,309.630,309.810,309.630,309.710,389.86,1679964599999,120758.72360,257,190.48,58998.02440,0
1679964600000,309.710,309.910,309.470,309.860,2564.10,1679964659999,794130.63970,977,1262.30,391005.08330,0
1679964660000,309.860,309.970,309.640,309.760,1336.00,1679964719999,413922.36780,838,439.45,136132.67650,0
1679964720000,309.770,309.930,309.460,309.480,1468.31,1679964779999,454687.14660,650,726.15,224912.88830,0
1679964780000,309.490,309.620,309.070,309.280,3601.50,1679964839999,1113674.07920,1678,1169.03,361533.75520,0
1679964840000,309.280,309.460,309.220,309.400,1288.19,1679964899999,398486.44250,718,757.90,234441.19070,0
1679964900000,309.410,309.730,309.410,309.610,1470.38,1679964959999,455214.63910,645,648.83,200850.58100,0
1679964960000,309.610,309.900,309.600,309.670,1227.85,1679965019999,380297.97600,597,686.49,212620.19300,0
1679965020000,309.670,309.720,309.400,309.490,1128.57,1679965079999,349334.65020,685,651.10,201539.19110,0
1679965080000,309.490,309.600,309.410,309.570,1370.95,1679965139999,424302.92050,552,475.14,147053.09220,0
1679965140000,309.580,309.750,309.550,309.700,872.00,1679965199999,269986.60070,406,539.64,167083.53910,0
1679965200000,309.700,309.940,309.490,309.810,1767.75,1679965259999,547456.49530,1039,933.25,289043.66560,0
1679965260000,309.810,309.920,309.020,309.090,3351.37,1679965319999,1036730.39780,1525,883.14,273205.18620,0
1679965320000,309.100,309.140,308.000,308.390,6371.50,1679965379999,1965962.88850,2885,1565.73,483018.42570,0
1679965380000,308.390,308.650,308.310,308.500,1855.00,1679965439999,572170.41140,905,907.82,280026.63950,0
1679965440000,308.500,308.870,308.410,308.740,1026.02,1679965499999,316744.42020,680,497.06,153455.96990,0
1679965500000,308.740,308.790,308.400,308.440,919.91,1679965559999,283878.10740,641,314.05,96902.23730,0
1679965560000,308.450,308.820,308.450,308.620,1085.97,1679965619999,335179.48090,678,615.67,190014.51450,0
1679965620000,308.610,308.750,308.340,308.380,715.48,1679965679999,220749.52090,490,324.68,100175.42410,0
1679965680000,308.370,308.620,308.190,308.250,1151.13,1679965739999,354977.31160,649,520.58,160549.82620,0
1679965740000,308.250,308.360,308.210,308.290,545.54,1679965799999,168188.42650,364,375.00,115609.70710,0
1679965800000,308.280,308.610,308.220,308.510,1345.37,1679965859999,414918.60850,655,838.19,258520.89680,0
1679965860000,308.520,308.840,308.520,308.670,886.31,1679965919999,273631.98380,629,405.70,125246.33750,0
1679965920000,308.670,308.860,308.600,308.700,629.09,1679965979999,194222.52380,553,356.20,109968.76330,0
1679965980000,308.710,308.850,308.640,308.790,262.10,1679966039999,80921.14390,211,133.37,41177.31830,0
1679966040000,308.780,308.780,308.640,308.720,443.81,1679966099999,137006.04590,284,220.91,68195.00180,0
1679966100000,308.720,309.090,308.650,308.940,1424.51,1679966159999,440031.02560,778,921.96,284820.68050,0
1679966160000,308.930,309.450,308.880,309.410,2070.73,1679966219999,640226.85710,896,1550.51,479385.74180,0
1679966220000,309.400,309.520,309.300,309.410,926.81,1679966279999,286770.85050,535,250.37,77467.46000,0
1679966280000,309.410,309.510,309.380,309.460,382.70,1679966339999,118425.74970,288,194.87,60301.90250,0
1679966340000,309.450,309.450,309.160,309.250,399.44,1679966399999,123544.57500,297,136.05,42072.49950,0
1679966400000,309.250,309.390,309.010,309.100,775.06,1679966459999,239663.79880,463,296.42,91660.54610,0
1679966460000,309.090,309.230,309.000,309.210,584.33,1679966519999,180631.05560,388,404.41,125009.72210,0
1679966520000,309.190,309.190,308.870,308.920,438.90,1679966579999,135612.46570,328,194.81,60190.65150,0
1679966580000,308.930,309.070,308.900,308.930,771.89,1679966639999,238502.59830,352,256.16,79147.90620,0
1679966640000,308.940,309.060,308.750,309.030,1733.17,1679966699999,535381.40230,556,968.03,299071.19960,0
1679966700000,309.060,309.300,309.060,309.250,507.58,1679966759999,156933.70770,443,218.65,67602.83510,0
1679966760000,309.250,309.400,309.240,309.400,470.36,1679966819999,145486.13390,344,291.05,90026.78730,0
1679966820000,309.390,309.660,309.310,309.620,725.33,1679966879999,224488.11750,476,593.05,183552.36340,0
1679966880000,309.630,309.690,309.490,309.500,423.83,1679966939999,131216.43230,306,100.89,31238.56900,0
1679966940000,309.500,309.650,309.490,309.580,258.42,1679966999999,80006.16040,274,113.58,35162.70680,0
1679967000000,309.580,309.850,309.580,309.710,984.63,1679967059999,304976.86180,663,583.24,180656.71690,0
1679967060000,309.720,309.830,309.610,309.800,391.69,1679967119999,121313.99400,376,217.08,67232.74200,0
1679967120000,309.800,309.860,309.680,309.740,685.52,1679967179999,212363.54430,460,221.35,68573.74350,0
1679967180000,309.740,310.050,309.710,310.010,1203.67,1679967239999,373036.23590,821,831.57,257718.19610,0
1679967240000,310.020,310.100,309.930,310.100,508.88,1679967299999,157757.13270,381,312.11,96759.11250,0
1679967300000,310.110,310.450,310.060,310.440,1437.94,1679967359999,446166.81410,1011,810.31,251420.78820,0
1679967360000,310.440,310.830,310.380,310.660,1851.51,1679967419999,575167.85660,1076,1374.85,427134.48800,0
1679967420000,310.660,311.140,310.580,311.130,1610.47,1679967479999,500676.90710,949,1001.82,311463.10650,0
1679967480000,311.130,312.400,311.120,312.150,12944.93,1679967539999,4037807.17780,5110,9101.32,2839114.10120,0
1679967540000,312.160,312.380,311.570,311.600,3640.57,1679967599999,1136010.00790,1547,1570.28,490028.20910,0
1679967600000,311.600,311.910,311.450,311.460,2489.78,1679967659999,776139.00090,1162,1058.00,329813.20140,0
1679967660000,311.460,311.810,311.400,311.450,1442.99,1679967719999,449576.66810,862,727.94,226791.67090,0
1679967720000,311.450,311.610,311.230,311.230,1058.44,1679967779999,329607.83920,718,402.02,125201.69870,0
1679967780000,311.240,311.580,311.240,311.290,1295.89,1679967839999,403608.27690,655,588.63,183323.78200,0
1679967840000,311.290,311.500,311.290,311.350,739.55,1679967899999,230293.98610,375,387.76,120754.39240,0
1679967900000,311.350,311.600,311.290,311.550,1489.05,1679967959999,463755.02340,660,924.59,287965.29100,0
1679967960000,311.580,311.680,311.420,311.460,669.58,1679968019999,208610.78380,455,288.07,89751.69820,0
1679968020000,311.460,311.520,310.970,311.070,1346.85,1679968079999,419141.80510,714,363.09,113026.29520,0
1679968080000,311.070,311.200,310.990,311.060,843.56,1679968139999,262419.40560,455,406.32,126411.12110,0
1679968140000,311.050,311.170,311.000,311.040,337.46,1679968199999,104973.21970,279,107.71,33504.19610,0
1679968200000,311.050,311.050,310.720,310.730,681.84,1679968259999,211963.20230,556,254.01,78956.08840,0
1679968260000,310.730,310.790,310.560,310.570,923.32,1679968319999,286873.17080,539,398.10,123696.48350,0
1679968320000,310.570,310.830,310.540,310.830,937.26,1679968379999,291148.20950,477,566.44,175968.95200,0
1679968380000,310.840,310.840,310.530,310.570,557.29,1679968439999,173119.81720,392,199.63,62005.52200,0
1679968440000,310.580,310.740,310.540,310.700,719.35,1679968499999,223438.45840,381,323.21,100393.57510,0
1679968500000,310.710,311.480,310.710,311.320,4635.20,1679968559999,1441841.73290,1354,3622.56,1126632.58880,0
1679968560000,311.320,311.380,311.200,311.210,785.48,1679968619999,244536.04030,458,317.50,98845.06570,0
1679968620000,311.200,311.330,311.170,311.320,509.24,1679968679999,158507.66890,350,278.12,86571.35760,0
1679968680000,311.320,311.390,311.140,311.220,1378.48,1679968739999,429036.60590,521,406.58,126544.12690,0
1679968740000,311.220,311.380,311.200,311.250,532.11,1679968799999,165649.43730,279,245.78,76515.71920,0
1679968800000,311.230,311.240,310.890,311.030,1204.50,1679968859999,374666.11820,631,553.34,172087.62010,0
1679968860000,311.020,311.050,310.770,310.770,381.20,1679968919999,118522.90440,313,134.72,41894.14870,0
1679968920000,310.780,310.970,310.780,310.860,489.15,1679968979999,152069.04430,304,282.35,87775.42160,0
1679968980000,310.850,310.860,310.710,310.760,333.95,1679969039999,103777.16150,256,125.50,38997.77580,0
1679969040000,310.760,310.900,310.710,310.710,300.45,1679969099999,93381.58160,310,136.76,42501.35200,0
1679969100000,310.720,310.720,310.410,310.520,1615.20,1679969159999,501613.70350,699,354.22,109988.83840,0
1679969160000,310.510,310.560,310.490,310.500,312.51,1679969219999,97044.44390,207,168.23,52242.67050,0
1679969220000,310.490,310.570,310.430,310.540,295.81,1679969279999,91840.99060,248,120.85,37521.75110,0
1679969280000,310.540,310.730,310.530,310.730,284.73,1679969339999,88449.86720,249,171.67,53330.75940,0
1679969340000,310.730,311.020,310.730,310.730,890.09,1679969399999,276687.32310,426,271.43,84386.58130,0
1679969400000,310.740,310.740,310.440,310.440,386.54,1679969459999,120077.51470,277,166.62,51764.15120,0
1679969460000,310.450,310.540,310.440,310.450,363.42,1679969519999,112846.10370,229,291.64,90556.77470,0
1679969520000,310.450,310.530,310.420,310.430,341.57,1679969579999,106049.39790,234,188.64,58569.33420,0
1679969580000,310.430,310.500,310.320,310.320,287.55,1679969639999,89263.12200,235,54.43,16897.47390,0
1679969640000,310.320,310.350,310.230,310.230,468.35,1679969699999,145324.55010,305,157.32,48818.39940,0
1679969700000,310.240,310.280,310.070,310.170,678.95,1679969759999,210583.61260,462,183.31,56855.61990,0
1679969760000,310.170,310.390,310.160,310.320,522.25,1679969819999,162058.58130,330,296.40,91972.55920,0
1679969820000,310.330,310.530,310.320,310.410,946.55,1679969879999,293848.17380,423,569.28,176716.06560,0
1679969880000,310.410,310.470,310.290,310.350,477.56,1679969939999,148235.46910,344,223.76,69456.16600,0
1679969940000,310.330,310.410,310.310,310.380,346.40,1679969999999,107509.90700,159,246.84,76608.19280,0
1679970000000,310.370,310.430,310.340,310.390,646.99,1679970059999,200820.41050,395,224.09,69557.67210,0
1679970060000,310.390,310.450,310.290,310.390,391.94,1679970119999,121652.16180,286,235.52,73104.25920,0
1679970120000,310.390,310.430,310.180,310.180,488.05,1679970179999,151472.41940,279,227.13,70498.13260,0
1679970180000,310.180,310.230,310.030,310.030,1007.27,1679970239999,312351.34090,659,592.79,183827.63770,0
1679970240000,310.030,310.040,310.000,310.000,258.97,1679970299999,80282.28610,274,13.38,4148.02380,0
1679970300000,310.000,310.000,309.780,309.860,858.65,1679970359999,266094.16950,637,334.54,103675.77890,0
1679970360000,309.850,309.850,309.630,309.800,686.60,1679970419999,212648.93660,861,335.89,104030.44660,0
1679970420000,309.810,309.870,309.810,309.860,479.73,1679970479999,148642.63410,343,297.46,92167.38560,0
1679970480000,309.850,309.850,309.590,309.600,497.00,1679970539999,153911.05130,400,173.54,53742.14760,0
1679970540000,309.600,309.630,309.370,309.410,1137.30,1679970599999,351962.59730,753,517.22,160070.24060,0
1679970600000,309.420,309.460,309.340,309.390,773.24,1679970659999,239244.90460,558,302.76,93680.32990,0
1679970660000,309.390,309.540,309.320,309.500,670.49,1679970719999,207470.18120,448,380.01,117582.26690,0
1679970720000,309.500,309.500,309.360,309.470,442.39,1679970779999,136895.53990,325,329.64,102006.36340,0
1679970780000,309.480,309.520,309.360,309.360,567.89,1679970839999,175739.42820,382,257.35,79643.78250,0
1679970840000,309.360,309.600,309.360,309.490,588.99,1679970899999,182310.34560,296,304.08,94115.03380,0
1679970900000,309.490,309.490,309.320,309.410,613.60,1679970959999,189832.97700,326,296.36,91681.91010,0
1679970960000,309.400,309.630,309.400,309.610,385.15,1679971019999,119223.28640,290,196.09,60698.15400,0
1679971020000,309.630,309.730,309.540,309.730,536.76,1679971079999,166198.37820,226,464.57,143848.44150,0
1679971080000,309.730,309.750,309.570,309.580,437.67,1679971139999,135545.30040,262,164.74,51024.79970,0
1679971140000,309.580,309.670,309.460,309.460,329.99,1679971199999,102154.02100,208,155.98,48286.04200,0
1679971200000,309.460,309.550,309.440,309.500,602.40,1679971259999,186437.27650,362,141.06,43657.82790,0
1679971260000,309.500,309.510,309.300,309.360,599.91,1679971319999,185587.67610,318,182.78,56544.34910,0
1679971320000,309.350,309.600,309.320,309.600,432.37,1679971379999,133787.69530,261,271.52,84014.72180,0
1679971380000,309.600,309.600,309.420,309.440,213.05,1679971439999,65937.35510,147,69.66,21555.80250,0
1679971440000,309.440,310.200,309.400,309.850,6438.78,1679971499999,1994884.74020,1326,5231.63,1620612.30490,0
1679971500000,309.850,309.850,309.580,309.640,777.60,1679971559999,240797.35350,464,279.76,86625.63830,0
1679971560000,309.650,309.720,309.560,309.570,315.85,1679971619999,97802.91380,230,161.24,49930.78540,0
1679971620000,309.580,309.790,309.580,309.750,470.36,1679971679999,145678.22190,255,305.52,94623.01290,0
1679971680000,309.760,309.930,309.730,309.860,586.38,1679971739999,181678.30360,330,296.43,91845.65280,0
1679971740000,309.850,309.890,309.690,309.820,370.58,1679971799999,114811.39690,259,156.81,48581.86370,0
1679971800000,309.820,309.820,309.550,309.620,974.92,1679971859999,301887.99430,465,559.88,173376.38850,0
1679971860000,309.600,309.600,309.490,309.490,388.69,1679971919999,120312.83570,179,131.92,40836.28760,0
1679971920000,309.490,309.540,309.420,309.470,453.57,1679971979999,140376.85240,248,278.23,86109.09380,0
1679971980000,309.480,309.610,309.470,309.600,195.08,1679972039999,60390.89730,132,85.44,26447.47950,0
1679972040000,309.600,309.600,309.520,309.540,340.60,1679972099999,105438.33480,173,160.72,49751.25950,0
