open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1745539200000,601.260,601.360,600.680,601.140,2366.12,1745539499999,1422007.07420,2817,842.77,506530.14380,0
1745539500000,601.150,601.300,600.140,600.370,1985.55,1745539799999,1192465.58380,2969,669.43,402061.45730,0
1745539800000,600.370,600.380,599.490,599.940,2561.24,1745540099999,1536300.90940,3207,1483.07,889600.87740,0
1745540100000,599.930,600.470,599.740,600.100,2646.89,1745540399999,1588333.29700,2763,1820.69,1092550.11670,0
1745540400000,600.100,600.960,600.100,600.840,916.40,1745540699999,550434.31440,2050,659.95,396372.68390,0
1745540700000,600.840,601.370,600.660,601.350,658.98,1745540999999,396036.98840,2340,424.19,254924.44540,0
1745541000000,601.360,601.600,601.100,601.530,681.60,1745541299999,409856.77910,2007,406.07,244185.48120,0
1745541300000,601.530,602.000,601.420,601.420,1302.29,1745541599999,783604.76560,2433,497.67,299492.03080,0
1745541600000,601.430,601.460,601.270,601.370,444.40,1745541899999,267263.99610,1499,180.55,108582.25450,0
1745541900000,601.380,601.400,600.800,601.380,468.17,1745542199999,281443.88160,1594,180.64,108594.30830,0
1745542200000,601.370,601.660,600.440,600.500,926.60,1745542499999,557052.72090,1776,225.75,135707.27610,0
1745542500000,600.500,601.430,600.490,601.280,822.89,1745542799999,494662.64480,1710,557.83,335284.22870,0
1745542800000,601.290,601.800,601.280,601.640,1600.86,1745543099999,963065.78250,2544,1069.50,643384.22540,0
1745543100000,601.650,602.860,601.160,602.740,3733.61,1745543399999,2247440.64530,3903,2174.37,1309116.01130,0
1745543400000,602.750,604.000,602.740,603.250,4733.98,1745543699999,2855812.95310,6968,3040.86,1834355.04760,0
1745543700000,603.260,603.900,601.930,602.230,4214.04,1745543999999,2539883.34610,4684,1006.37,606725.88680,0
1745544000000,602.240,602.560,601.800,602.240,1245.63,1745544299999,750100.66810,2742,627.74,378018.88240,0
1745544300000,602.240,602.400,601.520,601.650,1345.11,1745544599999,809747.76790,2292,363.40,218789.86920,0
1745544600000,601.660,602.400,601.250,601.670,2168.10,1745544899999,1304873.98200,3094,1176.60,708121.70900,0
1745544900000,601.660,602.500,601.660,602.410,616.26,1745545199999,371051.92700,1824,386.42,232647.37550,0
1745545200000,602.400,602.640,602.320,602.610,809.01,1745545499999,487387.20970,1807,534.95,322272.38050,0
1745545500000,602.600,603.200,602.100,602.160,1093.30,1745545799999,658832.89220,2097,637.30,384073.25090,0
1745545800000,602.160,602.650,602.100,602.650,410.16,1745546099999,247119.60020,1538,282.21,170029.68640,0
1745546100000,602.650,602.650,601.310,601.420,904.14,1745546399999,544201.03620,1838,330.37,198884.51260,0
1745546400000,601.410,602.570,601.410,602.430,909.15,1745546699999,547408.62310,2397,436.65,262884.27430,0
1745546700000,602.420,602.440,601.000,601.040,1077.91,1745546999999,648510.59970,2371,423.82,254932.56480,0
1745547000000,601.040,601.420,600.780,600.850,1485.95,1745547299999,893131.83590,2429,453.91,272865.44880,0
1745547300000,600.840,601.000,599.660,600.060,1746.94,1745547599999,1048360.08560,3494,764.22,458594.86150,0
1745547600000,600.060,600.120,599.010,599.010,934.26,1745547899999,560319.51410,2162,195.09,117007.36110,0
1745547900000,599.000,599.610,598.330,599.550,2727.13,1745548199999,1633280.07760,3881,1601.75,959366.10490,0
1745548200000,599.560,599.920,599.110,599.500,2118.04,1745548499999,1269646.35920,3726,867.81,520213.10130,0
1745548500000,599.490,599.830,599.490,599.520,504.22,1745548799999,302358.87220,1349,252.43,151374.23530,0
1745548800000,599.510,599.550,598.150,598.150,1438.37,1745549099999,860956.99870,2681,277.36,166029.16060,0
1745549100000,598.140,599.110,598.020,598.550,1633.43,1745549399999,977686.83770,2532,1029.65,616364.68250,0
1745549400000,598.550,598.580,597.200,597.820,3261.47,1745549699999,1949882.15160,6417,1262.95,755135.87130,0
1745549700000,597.820,597.960,596.670,597.960,2853.59,1745549999999,1704424.59240,8374,1305.33,779752.21040,0
1745550000000,597.960,598.600,597.690,598.600,2940.05,1745550299999,1758204.63630,3430,1576.64,942956.11310,0
1745550300000,598.590,599.080,598.190,599.070,1889.80,1745550599999,1131333.97580,2776,981.10,587371.31720,0
1745550600000,599.070,599.650,598.890,599.650,830.82,1745550899999,497847.16470,2379,404.58,242453.68810,0
1745550900000,599.640,600.180,599.510,599.840,1661.09,1745551199999,996390.10660,2735,866.00,519474.15010,0
1745551200000,599.840,600.210,599.090,600.190,1460.99,1745551499999,875973.34820,2706,654.47,392451.46090,0
1745551500000,600.190,600.470,599.230,599.350,825.66,1745551799999,495427.62730,2014,326.80,196109.75930,0
