open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1744329600000,79560.30,79711.60,78935.50,79010.20,10158.970,1744333199999,806284208.20820,181129,4159.459,330224155.95490,0
1744333200000,79010.70,80427.90,78979.80,80405.90,12331.867,1744336799999,984062229.87570,197682,7175.394,572661645.79570,0
1744336800000,80405.80,80800.00,80108.80,80254.10,12299.491,1744340399999,989359031.06050,196205,6324.270,508824566.95360,0
1744340400000,80254.10,80855.00,80250.00,80796.90,6882.614,1744343999999,554661703.08720,124361,3440.450,277296866.18760,0
1744344000000,80796.90,81089.20,80670.80,80832.90,7843.792,1744347599999,634106556.80810,127300,3938.811,318482599.38360,0
1744347600000,80833.00,80870.00,80460.00,80774.30,6318.066,1744351199999,509477228.56400,108856,2583.758,208378991.46770,0
1744351200000,80774.20,81329.40,80774.20,81058.00,8074.915,1744354799999,654594443.32170,140416,4205.972,340999555.06080,0
1744354800000,81058.00,81388.00,80800.00,81213.60,8021.557,1744358399999,650934831.22730,130279,4242.899,344396998.04150,0
1744358400000,81213.70,81874.50,80691.30,81591.90,25648.069,1744361999999,2087045390.10840,330612,14223.253,1158085008.74110,0
1744362000000,81591.90,82395.80,81404.40,82388.00,14292.782,1744365599999,1172016888.68350,213650,7964.347,652893231.75470,0
1744365600000,82388.00,82944.30,82259.10,82666.00,14687.554,1744369199999,1213165306.84800,240652,7378.981,609492295.16780,0
1744369200000,82666.00,82860.00,81970.60,82096.60,14127.588,1744372799999,1163134625.66940,203611,6232.627,513063613.91930,0
1744372800000,82096.50,82500.00,81788.00,82075.90,12598.601,1744376399999,1034715300.29060,211357,6204.758,509687037.51070,0
1744376400000,82075.90,83297.90,81779.40,82877.50,24346.000,1744379999999,2012181635.22830,401379,12845.024,1061685614.58400,0
1744380000000,82877.60,82877.60,81305.00,81856.70,29638.021,1744383599999,2431892083.70890,456583,14292.518,1172665981.55070,0
1744383600000,81856.80,82674.40,81667.50,82486.70,13342.392,1744387199999,1096895830.31260,254033,7082.966,582356081.21670,0
1744387200000,82486.80,82979.50,81968.00,82748.70,13718.730,1744390799999,1132644018.38530,223806,6737.935,556430763.03610,0
1744390800000,82748.70,84049.80,82650.00,83888.20,20978.466,1744394399999,1752135475.03230,339283,11627.077,971253976.85420,0
1744394400000,83888.20,84178.70,83466.00,83562.10,14069.511,1744397999999,1179452305.69970,233087,6753.144,566141395.44110,0
1744398000000,83562.10,83925.00,83504.40,83809.50,5433.377,1744401599999,455155766.43320,130736,2875.976,240933827.85520,0
1744401600000,83809.50,83990.00,83661.40,83800.10,4378.175,1744405199999,366973379.64820,89464,2035.795,170676468.25670,0
1744405200000,83800.00,84300.00,83600.00,83634.20,7106.190,1744408799999,596146690.82360,130859,3694.898,310094409.85550,0
1744408800000,83634.30,83678.20,83277.60,83380.80,5340.432,1744412399999,445644794.83100,83577,2369.980,197787453.80190,0
1744412400000,83380.80,83527.60,83115.10,83378.30,4140.711,1744415999999,344957031.15780,73286,2181.919,181791652.60570,0
