open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1671408000000,16730.40,16809.60,16708.50,16766.90,11730.287,1671411599999,196628683.20800,67233,6045.667,101341442.89940,0
1671411600000,16766.90,16795.00,16743.40,16778.00,6864.627,1671415199999,115157809.64360,39963,3337.197,55983956.91700,0
1671415200000,16778.00,16780.30,16712.20,16715.30,7908.572,1671418799999,132355205.37690,47116,3441.974,57601002.30280,0
1671418800000,16715.20,16722.00,16620.40,16673.60,23098.242,1671422399999,384839437.63300,118579,10262.845,170973512.10880,0
1671422400000,16673.50,16727.00,16664.00,16702.30,8646.666,1671425999999,144404655.99770,52450,4625.067,77241714.72020,0
1671426000000,16702.50,16722.90,16685.00,16696.50,5524.256,1671429599999,92261055.22850,38792,2549.267,42578441.76390,0
1671429600000,16696.60,16744.00,16688.00,16729.50,6734.689,1671433199999,112559579.40810,42604,3520.502,58845207.98160,0
1671433200000,16729.60,16740.00,16690.40,16714.40,7308.992,1671436799999,122174736.73380,43955,3594.150,60079906.91510,0
1671436800000,16714.50,16752.80,16702.70,16747.70,7227.460,1671440399999,120919252.46710,42921,3783.411,63300928.58230,0
1671440400000,16747.80,16762.90,16726.60,16743.60,6761.448,1671443999999,113216050.77610,40737,3626.149,60720760.87770,0
1671444000000,16743.50,16776.60,16738.80,16760.50,6239.591,1671447599999,104562089.98930,39955,3433.957,57548083.05570,0
1671447600000,16760.60,16762.20,16716.70,16725.30,7101.324,1671451199999,118853795.13500,41564,3072.274,51418524.31500,0
1671451200000,16725.20,16748.20,16711.00,16734.40,8440.912,1671454799999,141186919.72410,45704,4464.137,74671373.67670,0
1671454800000,16734.40,16746.60,16700.10,16701.80,9796.368,1671458399999,163808705.10810,47618,4454.204,74485213.36070,0
1671458400000,16701.40,16757.70,16656.40,16727.50,23498.198,1671461999999,392435330.59340,122760,11757.931,196390418.38970,0
1671462000000,16727.50,16736.00,16657.00,16660.20,12542.306,1671465599999,209419289.05880,75895,6096.604,101800272.24110,0
1671465600000,16660.30,16694.90,16574.10,16627.10,33749.014,1671469199999,561165830.21540,165306,15804.842,262822879.74200,0
1671469200000,16627.10,16642.30,16511.90,16593.60,33421.373,1671472799999,553890118.73020,168763,15657.419,259506048.87720,0
1671472800000,16593.60,16629.40,16520.40,16538.10,15827.511,1671476399999,262460445.36600,97383,7642.740,126751202.88890,0
1671476400000,16538.20,16582.70,16518.60,16549.30,14416.323,1671479999999,238562896.11400,88996,7652.845,126646343.02450,0
1671480000000,16549.30,16608.40,16533.40,16593.80,8805.397,1671483599999,145962662.38840,63192,5022.327,83253137.00220,0
1671483600000,16593.80,16642.10,16580.10,16582.20,10416.996,1671487199999,173012777.42480,64608,5146.133,85472916.10610,0
1671487200000,16582.30,16602.50,16210.00,16407.40,48760.866,1671490799999,799581299.00874,252180,20532.294,336622134.48260,0
1671490800000,16407.50,16447.20,16364.70,16429.20,19907.134,1671494399999,326589740.72470,112347,10065.774,165136398.17470,0
