open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1744848000000,83990.10,84179.30,83900.70,84176.70,3907.602,1744851599999,328305253.74540,86415,2287.892,192228284.87590,0
1744851600000,84176.70,84468.80,84080.00,84299.40,4008.793,1744855199999,337798928.29520,77512,2122.266,178835587.04770,0
1744855200000,84299.40,84299.40,83985.30,84226.50,2414.075,1744858799999,203049791.30620,59015,1215.380,102231279.22670,0
1744858800000,84226.40,84264.80,83772.50,83953.30,5848.929,1744862399999,490866028.41480,82165,2144.703,180001029.61900,0
1744862400000,83953.30,84148.00,83856.90,84117.50,2402.623,1744865999999,201781181.42220,47037,1437.909,120771415.11400,0
1744866000000,84117.60,84455.60,84054.40,84352.30,3992.995,1744869599999,336623563.42880,72716,2131.523,179698166.47740,0
1744869600000,84352.20,84844.20,84253.40,84745.40,6422.906,1744873199999,543421124.31260,99563,3371.371,285266400.49810,0
1744873200000,84745.40,85043.40,84559.00,84629.00,7957.396,1744876799999,674359414.27820,123652,3964.208,336036983.71680,0
1744876800000,84629.00,84725.30,84355.00,84407.70,4147.595,1744880399999,350607885.25570,68334,1929.871,163157018.97240,0
1744880400000,84407.80,84499.60,84310.10,84434.30,3055.932,1744883999999,257897946.76610,62510,1799.918,151900553.93660,0
1744884000000,84434.40,84470.00,84144.10,84343.90,3272.229,1744887599999,275802426.18830,66279,1553.982,130981969.76700,0
1744887600000,84344.00,84730.00,84234.80,84531.80,4649.153,1744891199999,392915067.60200,81345,2535.862,214332220.01130,0
1744891200000,84531.80,84829.40,84531.70,84729.90,4984.254,1744894799999,422263430.83140,93810,2487.123,210709822.03040,0
1744894800000,84729.90,84730.00,84269.70,84436.70,7422.396,1744898399999,627161427.21710,137804,3617.842,305684042.03880,0
1744898400000,84436.80,84436.80,83700.00,84050.00,14607.513,1744901999999,1227254619.36040,218271,6828.439,573829323.57270,0
1744902000000,84050.00,84666.60,84050.00,84495.50,9454.665,1744905599999,798541823.81100,170485,4758.663,401852347.56990,0
1744905600000,84495.60,85058.70,84358.00,84898.50,16029.053,1744909199999,1359004660.78460,222979,8994.329,762790163.71200,0
1744909200000,84898.60,85179.30,84741.70,85067.90,7309.351,1744912799999,621329028.42910,125019,3929.551,334100493.93820,0
1744912800000,85068.00,85441.50,84858.30,84867.70,10056.295,1744916399999,856989598.78490,155666,5541.786,472304233.00050,0
1744916400000,84867.60,85094.70,84450.00,84797.50,9311.817,1744919999999,789123888.08170,150816,4462.172,378231656.26800,0
1744920000000,84797.00,85100.00,84796.90,85090.20,3914.855,1744923599999,332615925.44840,71331,2001.524,170069584.11270,0
1744923600000,85090.30,85090.30,84850.00,85015.80,1912.873,1744927199999,162522669.23450,39254,965.128,81998451.04220,0
1744927200000,85015.80,85059.00,84681.40,84687.00,2263.916,1744930799999,192119478.32210,46164,916.051,77757037.41380,0
1744930800000,84687.00,84980.50,84687.00,84915.00,1685.979,1744934399999,143082079.12290,40093,1013.053,85972152.07620,0
