open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1745366400000,93404.90,93619.20,93404.90,93619.20,440.201,1745366459999,41154723.10090,6437,319.417,29861904.96670,0
1745366460000,93619.20,93619.20,93450.10,93520.30,299.024,1745366519999,27959866.63640,5561,95.720,8950245.44870,0
1745366520000,93520.40,93741.90,93520.30,93699.30,328.097,1745366579999,30725658.08660,5891,202.258,18940649.64540,0
1745366580000,93699.20,93740.10,93608.70,93680.00,373.681,1745366639999,34999490.27930,4849,111.572,10450649.06960,0
1745366640000,93679.90,93686.20,93536.50,93584.80,211.838,1745366699999,19830431.09680,4787,105.209,9850506.34470,0
1745366700000,93584.80,93584.80,93452.70,93487.10,186.296,1745366759999,17419130.74170,3999,53.190,4973229.89190,0
1745366760000,93487.20,93558.30,93464.70,93500.00,156.731,1745366819999,14655985.18680,3170,68.502,6405293.34010,0
1745366820000,93500.00,93540.80,93450.00,93529.80,99.329,1745366879999,9285923.30650,3192,41.302,3861185.60960,0
1745366880000,93529.90,93582.00,93515.10,93542.70,105.595,1745366939999,9878841.92100,2885,52.091,4873175.67520,0
1745366940000,93542.50,93542.50,93405.00,93416.20,223.473,1745366999999,20880599.83960,3944,55.698,5204024.88870,0
1745367000000,93416.20,93489.80,93404.60,93418.70,117.879,1745367059999,11013454.35980,2737,43.624,4075865.79690,0
1745367060000,93418.70,93418.70,93353.10,93377.60,180.166,1745367119999,16824692.39850,3664,55.249,5159326.05270,0
1745367120000,93377.70,93383.00,93336.50,93356.10,205.794,1745367179999,19211690.73840,3058,125.896,11752789.82100,0
1745367180000,93356.20,93400.00,93341.40,93379.00,186.856,1745367239999,17446109.92820,2949,129.901,12128107.73250,0
1745367240000,93378.90,93449.30,93353.50,93436.20,124.393,1745367299999,11619596.79930,2621,62.588,5846346.32230,0
1745367300000,93436.10,93572.00,93423.70,93568.90,231.135,1745367359999,21608412.80760,4030,159.556,14916742.11440,0
1745367360000,93568.90,93579.80,93490.30,93579.70,146.999,1745367419999,13749869.24040,3348,76.293,7135752.41970,0
1745367420000,93579.70,93789.80,93579.70,93786.10,524.401,1745367479999,49151334.64800,7230,277.993,26054022.19010,0
1745367480000,93786.00,93864.90,93666.70,93698.60,564.781,1745367539999,52963969.61800,7529,257.922,24193375.03310,0
1745367540000,93698.70,93738.90,93600.00,93602.80,178.555,1745367599999,16726073.15540,3632,65.442,6132124.31240,0
1745367600000,93602.90,93738.30,93585.00,93705.30,181.944,1745367659999,17036882.20220,3459,113.762,10651884.45220,0
1745367660000,93705.30,93757.30,93687.30,93725.30,346.079,1745367719999,32438419.73200,3670,212.101,19879824.08760,0
1745367720000,93725.30,93725.70,93596.10,93611.80,245.933,1745367779999,23032163.86430,3340,43.838,4104092.81310,0
1745367780000,93611.80,93626.60,93560.00,93560.00,103.761,1745367839999,9711432.69150,2512,40.267,3768793.35970,0
1745367840000,93560.00,93640.80,93545.00,93587.00,131.126,1745367899999,12274080.79740,2313,36.284,3396221.25900,0
1745367900000,93586.90,93587.00,93350.50,93366.10,720.611,1745367959999,67346530.91410,7503,108.322,10118714.17310,0
1745367960000,93366.10,93389.50,93305.80,93330.10,238.511,1745368019999,22262907.70680,4202,94.252,8797196.85450,0
1745368020000,93330.10,93339.90,93207.20,93233.70,509.207,1745368079999,47491012.28740,7684,155.844,14534188.07180,0
1745368080000,93233.70,93279.20,93200.00,93272.00,230.848,1745368139999,21524015.04220,4487,114.991,10722484.26520,0
1745368140000,93271.90,93272.00,93212.10,93265.70,102.905,1745368199999,9594986.20490,2399,48.508,4522763.24460,0
1745368200000,93265.60,93268.70,93172.90,93226.50,261.682,1745368259999,24394080.23770,4048,74.270,6923124.26430,0
1745368260000,93226.50,93288.00,93206.40,93222.30,91.426,1745368319999,8525900.71100,2385,44.104,4113280.34770,0
1745368320000,93222.30,93248.90,93149.00,93158.10,165.602,1745368379999,15428721.91520,2983,72.890,6790614.13160,0
1745368380000,93158.20,93184.10,93117.70,93159.40,156.895,1745368439999,14613949.89020,3275,74.718,6959652.30200,0
1745368440000,93159.40,93225.30,93150.00,93225.30,123.800,1745368499999,11537606.35630,2862,90.860,8467824.36170,0
1745368500000,93225.40,93369.60,93210.00,93250.00,205.295,1745368559999,19153017.68200,4054,117.499,10962084.98590,0
1745368560000,93250.10,93306.20,93231.50,93245.30,92.887,1745368619999,8662911.63670,2637,34.286,3197644.79980,0
1745368620000,93245.30,93245.30,93120.00,93127.70,107.432,1745368679999,10007524.24730,2618,31.053,2892459.05600,0
1745368680000,93127.80,93190.40,93127.70,93148.10,57.593,1745368739999,5364769.57430,2316,23.319,2172131.06700,0
1745368740000,93148.10,93208.50,93127.70,93181.90,49.827,1745368799999,4642382.02730,1901,23.644,2202873.31810,0
1745368800000,93181.80,93181.90,93110.00,93127.40,104.493,1745368859999,9732253.44220,2307,23.669,2204256.10550,0
1745368860000,93127.40,93127.40,93080.50,93127.30,108.725,1745368919999,10122981.63530,2516,42.522,3959156.95090,0
1745368920000,93127.20,93140.50,93064.00,93073.30,127.382,1745368979999,11859243.18170,2499,41.378,3852511.34220,0
1745368980000,93073.30,93117.80,93057.00,93094.70,104.721,1745369039999,9747410.56510,2232,46.718,4348517.96680,0
1745369040000,93094.70,93095.40,93060.10,93074.20,100.143,1745369099999,9320777.03350,2111,35.748,3327075.21290,0
1745369100000,93074.20,93148.30,93058.60,93113.20,173.645,1745369159999,16163154.09050,2947,89.293,8312065.13620,0
1745369160000,93113.20,93166.90,93100.00,93133.00,86.349,1745369219999,8042430.26660,2386,45.393,4227989.71890,0
1745369220000,93133.00,93133.00,92961.00,92961.00,224.319,1745369279999,20865113.39420,4289,30.245,2812974.37990,0
1745369280000,92961.00,93010.80,92955.00,93007.80,181.065,1745369339999,16836817.10220,2901,92.792,8628607.81070,0
1745369340000,93007.80,93055.00,93007.70,93050.90,73.641,1745369399999,6850973.52410,2150,43.625,4058509.26470,0
1745369400000,93051.00,93060.00,93023.30,93023.30,43.492,1745369459999,4046833.49720,1556,22.541,2097407.51480,0
1745369460000,93023.30,93032.30,92924.20,92937.60,105.194,1745369519999,9780167.49140,2655,37.025,3442330.89500,0
1745369520000,92937.60,92945.00,92836.40,92869.90,411.623,1745369579999,38233250.99010,5138,106.298,9874245.88330,0
1745369580000,92870.00,92928.80,92870.00,92910.00,153.093,1745369639999,14222673.50700,2891,93.170,8655303.34700,0
1745369640000,92910.00,92933.10,92881.80,92903.30,121.421,1745369699999,11281800.69310,1955,55.348,5142374.72190,0
1745369700000,92903.20,92965.60,92903.20,92943.10,153.072,1745369759999,14225589.68910,2444,96.873,9002817.24110,0
1745369760000,92943.10,92948.40,92802.10,92805.50,259.065,1745369819999,24057727.27900,3578,77.179,7168159.32940,0
1745369820000,92807.20,92854.30,92730.00,92765.40,626.883,1745369879999,58169986.18170,7058,254.496,23619643.83750,0
1745369880000,92765.40,92821.00,92745.70,92807.20,183.916,1745369939999,17063311.02300,3218,86.202,7997601.57390,0
1745369940000,92807.30,92858.20,92781.80,92858.20,147.758,1745369999999,13716285.22340,2682,92.054,8545363.96010,0
1745370000000,92858.20,92920.60,92820.00,92820.00,227.513,1745370059999,21132500.45920,3673,149.787,13912840.36010,0
1745370060000,92820.10,92995.70,92811.90,92970.10,137.466,1745370119999,12773099.10050,3281,89.774,8341809.47850,0
1745370120000,92970.10,93032.70,92909.40,93024.10,452.313,1745370179999,42064212.84290,5208,308.098,28653713.13600,0
1745370180000,93024.10,93024.10,92958.00,93007.20,121.045,1745370239999,11257421.83050,2478,58.720,5460918.85840,0
1745370240000,93007.20,93049.00,93007.10,93044.40,168.310,1745370299999,15658442.87420,2574,94.643,8804969.68490,0
1745370300000,93044.40,93160.40,93016.70,93133.50,315.101,1745370359999,29337758.17920,4944,188.979,17594273.82990,0
1745370360000,93133.50,93144.60,93059.70,93117.30,381.098,1745370419999,35481735.36520,4438,157.391,14653842.03690,0
1745370420000,93117.40,93179.10,93025.50,93061.80,189.177,1745370479999,17615585.93920,3052,101.270,9430193.06800,0
1745370480000,93061.70,93135.00,93061.70,93135.00,89.268,1745370539999,8310820.30580,1971,66.016,6146016.03880,0
1745370540000,93135.00,93190.00,93134.90,93180.00,224.540,1745370599999,20920922.57270,3774,122.596,11422237.63760,0
1745370600000,93179.90,93276.40,93147.70,93244.70,249.131,1745370659999,23226817.97920,5282,152.797,14245643.60870,0
1745370660000,93244.60,93464.80,93225.30,93369.10,648.318,1745370719999,60522992.73320,8916,357.480,33371593.71610,0
1745370720000,93369.20,93369.20,93250.00,93250.00,229.429,1745370779999,21404312.31360,3838,64.805,6045463.06050,0
1745370780000,93250.00,93330.00,93219.70,93266.60,349.197,1745370839999,32565619.34700,3060,94.924,8853497.34330,0
1745370840000,93266.50,93266.60,93127.20,93163.30,155.779,1745370899999,14513617.00800,3052,38.074,3547283.09760,0
1745370900000,93163.30,93243.80,93163.30,93200.00,77.748,1745370959999,7246407.99740,2245,48.502,4520575.91640,0
1745370960000,93200.10,93242.70,93194.00,93230.50,91.298,1745371019999,8510623.82830,1925,56.045,5224329.36610,0
1745371020000,93230.60,93300.00,93230.60,93270.00,68.365,1745371079999,6376865.32750,1877,36.153,3372149.65580,0
1745371080000,93270.10,93291.30,93151.00,93151.00,147.582,1745371139999,13759419.23250,2608,48.082,4483878.94270,0
