open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1746403200000,0.2859000,0.2891000,0.2856000,0.2872000,15537135,1746406799999,4465332.6003000,18307,7684280,2208445.0066000,0
1746406800000,0.2872000,0.2872000,0.2801000,0.2833000,39106909,1746410399999,11054825.2450000,27448,17947949,5074261.5105000,0
1746410400000,0.2832000,0.2888000,0.2818000,0.2875000,35899028,1746413999999,10262963.4268000,23832,19149386,5473615.5015000,0
1746414000000,0.2875000,0.2891000,0.2865000,0.2876000,13937281,1746417599999,4010878.5038000,12447,7455228,2146279.3867000,0
1746417600000,0.2877000,0.2922000,0.2862000,0.2921000,22158565,1746421199999,6424997.4793000,18023,12877034,3736680.8939000,0
1746421200000,0.2921000,0.2928000,0.2897000,0.2926000,19076775,1746424799999,5555922.3757000,15755,9991052,2910407.7623000,0
1746424800000,0.2927000,0.2941000,0.2903000,0.2909000,17506974,1746428399999,5106672.6481000,21084,8365761,2441693.5176000,0
1746428400000,0.2908000,0.2932000,0.2897000,0.2922000,16036741,1746431999999,4673552.4767000,31331,8646892,2520654.6713000,0
1746432000000,0.2921000,0.2976000,0.2892000,0.2906000,50321284,1746435599999,14745024.7920000,33373,28483538,8356549.6387000,0
1746435600000,0.2906000,0.2915000,0.2874000,0.2876000,15785708,1746439199999,4566043.1231000,17135,6641888,1922373.7976000,0
1746439200000,0.2875000,0.2878000,0.2776000,0.2806000,68567562,1746442799999,19345709.1614000,38414,26019099,7341045.5262000,0
1746442800000,0.2807000,0.2822000,0.2788000,0.2802000,27804549,1746446399999,7801218.8327000,20864,14038589,3940553.9102000,0
1746446400000,0.2803000,0.2819000,0.2764000,0.2789000,46636759,1746449999999,13010006.7599000,26127,22022350,6148028.1526000,0
1746450000000,0.2790000,0.2806000,0.2764000,0.2804000,32298633,1746453599999,8993233.0897000,23147,16730975,4660932.5445000,0
1746453600000,0.2805000,0.2823000,0.2776000,0.2803000,37071893,1746457199999,10380708.0632000,23050,19698790,5516511.2928000,0
1746457200000,0.2803000,0.2804000,0.2750000,0.2771000,33218531,1746460799999,9207592.6490000,19113,14139235,3922875.9931000,0
1746460800000,0.2771000,0.2804000,0.2764000,0.2778000,23220818,1746464399999,6472030.1364000,16600,11815993,3293638.6574000,0
1746464400000,0.2778000,0.2829000,0.2764000,0.2815000,27773739,1746467999999,7786958.3901000,18637,14938226,4188456.2209000,0
1746468000000,0.2816000,0.2837000,0.2808000,0.2828000,20178037,1746471599999,5692586.5033000,14876,10381563,2929390.4757000,0
1746471600000,0.2828000,0.2834000,0.2777000,0.2783000,19400225,1746475199999,5435168.1762000,14736,7793070,2183479.7449000,0
1746475200000,0.2783000,0.2786000,0.2678000,0.2708000,91403140,1746478799999,24883179.8825000,40640,37838644,10295406.0339000,0
1746478800000,0.2708000,0.2736000,0.2691000,0.2705000,32553214,1746482399999,8832618.7971000,21239,16619699,4509098.2737000,0
1746482400000,0.2704000,0.2728000,0.2692000,0.2713000,26075562,1746485999999,7063087.6359000,23354,12718313,3446023.9583000,0
1746486000000,0.2713000,0.2716000,0.2601000,0.2619000,92840430,1746489599999,24563439.9526000,44852,40667104,10757891.1894000,0
