open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1731456000000,0.5918000,0.5975000,0.5771000,0.5773000,34592277,1731459599999,20270222.3109000,85041,15976724,9367161.1303000,0
1731459600000,0.5774000,0.5832000,0.5630000,0.5691000,30828059,1731463199999,17589878.7166000,72924,14377011,8206779.4556000,0
1731463200000,0.5691000,0.5724000,0.5465000,0.5613000,42265904,1731466799999,23548700.2198000,74610,17202661,9609500.2385000,0
1731466800000,0.5614000,0.5626000,0.5399000,0.5409000,33331822,1731470399999,18295090.0357000,63446,13908871,7643566.3148000,0
1731470400000,0.5410000,0.5489000,0.5210000,0.5366000,46290049,1731473999999,24770445.8762000,75419,20504156,10984206.7116000,0
1731474000000,0.5366000,0.5398000,0.5265000,0.5293000,32828843,1731477599999,17519066.2259000,55245,16508520,8815269.6285000,0
1731477600000,0.5293000,0.5396000,0.5208000,0.5290000,27444421,1731481199999,14557231.1798000,47463,13257659,7038903.0070000,0
1731481200000,0.5291000,0.5474000,0.5270000,0.5468000,29195930,1731484799999,15709999.9913000,48168,16025365,8632526.5031000,0
1731484800000,0.5469000,0.5645000,0.5449000,0.5590000,35555936,1731488399999,19767583.5799000,59913,18902531,10510275.9819000,0
1731488400000,0.5591000,0.5605000,0.5493000,0.5506000,30955351,1731491999999,17165778.3231000,50490,13982610,7752722.9547000,0
1731492000000,0.5506000,0.5592000,0.5462000,0.5570000,22720722,1731495599999,12535889.6665000,40684,11002483,6074347.8937000,0
1731495600000,0.5569000,0.5654000,0.5498000,0.5515000,21720177,1731499199999,12086054.6674000,41202,11132109,6196482.9728000,0
1731499200000,0.5514000,0.5570000,0.5434000,0.5505000,20477170,1731502799999,11268985.5400000,36804,9896520,5450513.2034000,0
1731502800000,0.5505000,0.5772000,0.5484000,0.5652000,56706812,1731506399999,32086595.2977000,97364,27546096,15585806.1361000,0
1731506400000,0.5650000,0.6500000,0.5559000,0.6432000,99298834,1731509999999,58819887.2886000,183155,52695835,31301816.7969000,0
1731510000000,0.6433000,0.6502000,0.6129000,0.6171000,79765102,1731513599999,49708714.2951000,165958,37112449,23131795.9196000,0
1731513600000,0.6172000,0.6300000,0.5956000,0.5998000,46663321,1731517199999,28485174.3579000,101655,21725517,13268417.3453000,0
1731517200000,0.5999000,0.6107000,0.5935000,0.5954000,19780653,1731520799999,11894164.6129000,50676,9063051,5455647.4118000,0
1731520800000,0.5954000,0.6056000,0.5909000,0.5958000,20144766,1731524399999,12036372.3229000,50150,9923027,5929276.2851000,0
1731524400000,0.5958000,0.5976000,0.5722000,0.5771000,61706686,1731527999999,36211045.5802000,102250,24808654,14571930.9309000,0
1731528000000,0.5770000,0.5848000,0.5701000,0.5728000,26178225,1731531599999,15120270.5557000,62353,13004057,7512513.3088000,0
1731531600000,0.5727000,0.5780000,0.5560000,0.5759000,39690050,1731535199999,22455890.4337000,80460,20127853,11395285.4146000,0
1731535200000,0.5759000,0.5928000,0.5734000,0.5911000,26730264,1731538799999,15657857.9725000,52356,12123164,7106520.9776000,0
1731538800000,0.5911000,0.5972000,0.5841000,0.5904000,14023778,1731542399999,8292432.3419000,33744,6951786,4113147.7494000,0
