open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1745107200000,0.2849000,0.2870000,0.2838000,0.2852000,10970330,1745110799999,3132334.5501000,10591,5481518,1565141.0333000,0
1745110800000,0.2853000,0.2878000,0.2851000,0.2877000,8833740,1745114399999,2533168.4773000,10093,4610374,1322084.9820000,0
1745114400000,0.2877000,0.2896000,0.2867000,0.2876000,14765589,1745117999999,4255265.1719000,12250,8405602,2423216.6238000,0
1745118000000,0.2877000,0.2885000,0.2857000,0.2871000,12652740,1745121599999,3634505.3182000,10705,5240717,1506499.7875000,0
1745121600000,0.2872000,0.2914000,0.2866000,0.2892000,17051519,1745125199999,4933127.3884000,14660,8265730,2391552.5526000,0
1745125200000,0.2892000,0.2912000,0.2863000,0.2863000,17513808,1745128799999,5058142.9107000,13105,8265281,2386512.0303000,0
1745128800000,0.2863000,0.2894000,0.2858000,0.2871000,14087815,1745132399999,4050672.4125000,12350,7208342,2072233.4150000,0
1745132400000,0.2871000,0.2872000,0.2815000,0.2828000,38512633,1745135999999,10928909.1511000,21952,15455426,4384661.9974000,0
1745136000000,0.2828000,0.2830000,0.2800000,0.2811000,22730241,1745139599999,6398571.9981000,14683,9681765,2726497.8407000,0
1745139600000,0.2812000,0.2827000,0.2800000,0.2810000,11487676,1745143199999,3231503.7459000,13377,6246191,1757480.1456000,0
1745143200000,0.2810000,0.2815000,0.2750000,0.2770000,30766882,1745146799999,8566003.6577000,24208,11842466,3301019.1313000,0
1745146800000,0.2770000,0.2784000,0.2742000,0.2760000,26063645,1745150399999,7190361.1884000,29307,11785610,3254000.2391000,0
1745150400000,0.2760000,0.2797000,0.2755000,0.2782000,24163609,1745153999999,6721571.8847000,24010,12330737,3429796.0681000,0
1745154000000,0.2781000,0.2797000,0.2771000,0.2791000,13643434,1745157599999,3799792.5280000,15960,6901041,1922325.7089000,0
1745157600000,0.2790000,0.2833000,0.2783000,0.2822000,25437341,1745161199999,7153823.8854000,24925,12826415,3605121.8941000,0
1745161200000,0.2823000,0.2831000,0.2792000,0.2801000,19646912,1745164799999,5517502.6039000,19638,8278180,2326430.9967000,0
1745164800000,0.2801000,0.2849000,0.2794000,0.2848000,22584029,1745168399999,6395216.0449000,21781,11212847,3175061.2205000,0
1745168400000,0.2848000,0.2850000,0.2817000,0.2833000,8632659,1745171999999,2444583.8849000,10585,3821935,1082222.8705000,0
1745172000000,0.2832000,0.2872000,0.2828000,0.2868000,13310138,1745175599999,3797016.3060000,12761,7223215,2060109.1740000,0
1745175600000,0.2869000,0.2880000,0.2857000,0.2873000,12944426,1745179199999,3713308.7228000,13886,5072270,1455118.7858000,0
1745179200000,0.2874000,0.2906000,0.2870000,0.2905000,23613283,1745182799999,6828791.9340000,19872,11845510,3426737.6217000,0
1745182800000,0.2905000,0.2907000,0.2862000,0.2882000,15304166,1745186399999,4409849.7930000,14036,5847846,1684762.8043000,0
1745186400000,0.2883000,0.2884000,0.2830000,0.2841000,16134332,1745189999999,4594509.3946000,15043,6584526,1875737.7820000,0
1745190000000,0.2842000,0.2869000,0.2842000,0.2857000,10675805,1745193599999,3046452.0786000,11252,5597001,1597125.4232000,0
