open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1742515200000,0.3836000,0.3838000,0.3830000,0.3835000,146647,1742515259999,56216.5625000,327,55636,21325.7066000,0
1742515260000,0.3835000,0.3840000,0.3835000,0.3835000,182447,1742515319999,70006.9388000,375,110732,42489.3186000,0
1742515320000,0.3836000,0.3838000,0.3833000,0.3835000,167938,1742515379999,64423.8642000,340,32640,12523.5575000,0
1742515380000,0.3835000,0.3858000,0.3835000,0.3854000,1538263,1742515439999,592194.7287000,1273,1286548,495300.2771000,0
1742515440000,0.3855000,0.3869000,0.3853000,0.3862000,1106819,1742515499999,427653.0968000,1159,598525,231316.0911000,0
1742515500000,0.3862000,0.3864000,0.3857000,0.3862000,914190,1742515559999,352994.2130000,520,156496,60439.9455000,0
1742515560000,0.3861000,0.3866000,0.3857000,0.3865000,806221,1742515619999,311265.8153000,572,341932,132033.9687000,0
1742515620000,0.3864000,0.3867000,0.3858000,0.3858000,227139,1742515679999,87726.0311000,398,23499,9081.5778000,0
1742515680000,0.3859000,0.3864000,0.3854000,0.3861000,377519,1742515739999,145655.7558000,400,315379,121687.5152000,0
1742515740000,0.3861000,0.3868000,0.3860000,0.3867000,244718,1742515799999,94579.2108000,475,175971,68011.8940000,0
1742515800000,0.3866000,0.3884000,0.3864000,0.3877000,936851,1742515859999,363199.7076000,1071,494956,191786.5985000,0
1742515860000,0.3878000,0.3879000,0.3873000,0.3875000,260554,1742515919999,100994.4374000,454,108059,41887.6846000,0
1742515920000,0.3876000,0.3886000,0.3876000,0.3883000,653848,1742515979999,253820.9608000,712,251529,97646.7499000,0
1742515980000,0.3884000,0.3884000,0.3874000,0.3877000,265159,1742516039999,102852.8382000,366,81439,31578.5127000,0
1742516040000,0.3877000,0.3877000,0.3873000,0.3875000,253698,1742516099999,98306.6489000,312,69183,26812.7641000,0
1742516100000,0.3875000,0.3883000,0.3862000,0.3865000,838930,1742516159999,324539.1543000,1304,124382,48176.7642000,0
1742516160000,0.3866000,0.3866000,0.3861000,0.3863000,201042,1742516219999,77658.9153000,561,83658,32314.1093000,0
1742516220000,0.3864000,0.3870000,0.3860000,0.3865000,411335,1742516279999,158960.1083000,447,175286,67768.3892000,0
1742516280000,0.3865000,0.3865000,0.3852000,0.3856000,1003213,1742516339999,386856.9586000,874,140698,54281.2638000,0
1742516340000,0.3857000,0.3866000,0.3856000,0.3862000,110314,1742516399999,42590.7214000,292,79140,30552.9454000,0
1742516400000,0.3863000,0.3864000,0.3848000,0.3852000,640616,1742516459999,246852.3931000,578,437663,168610.6040000,0
1742516460000,0.3853000,0.3853000,0.3846000,0.3848000,675954,1742516519999,260126.9417000,444,545381,209884.2084000,0
1742516520000,0.3849000,0.3852000,0.3848000,0.3851000,138933,1742516579999,53495.0866000,225,79404,30575.2811000,0
1742516580000,0.3850000,0.3852000,0.3848000,0.3850000,118400,1742516639999,45582.4170000,271,47335,18225.1447000,0
1742516640000,0.3850000,0.3852000,0.3846000,0.3849000,155918,1742516699999,60010.5405000,313,87621,33723.3712000,0
1742516700000,0.3848000,0.3849000,0.3841000,0.3846000,375599,1742516759999,144447.5974000,520,130434,50160.8787000,0
1742516760000,0.3847000,0.3856000,0.3844000,0.3855000,307728,1742516819999,118474.9047000,489,243748,93854.7920000,0
1742516820000,0.3856000,0.3856000,0.3848000,0.3849000,91968,1742516879999,35423.2201000,293,27065,10426.1008000,0
1742516880000,0.3849000,0.3849000,0.3837000,0.3840000,305007,1742516939999,117133.7231000,475,90963,34931.7101000,0
1742516940000,0.3840000,0.3844000,0.3840000,0.3842000,93375,1742516999999,35880.1667000,202,75943,29182.2240000,0
1742517000000,0.3843000,0.3856000,0.3842000,0.3856000,235194,1742517059999,90514.2922000,426,190804,73438.6678000,0
1742517060000,0.3856000,0.3867000,0.3856000,0.3865000,266733,1742517119999,103037.2102000,529,190968,73767.6837000,0
1742517120000,0.3865000,0.3869000,0.3856000,0.3856000,849674,1742517179999,328369.3620000,660,509814,197104.2496000,0
1742517180000,0.3855000,0.3868000,0.3855000,0.3868000,163082,1742517239999,62965.7878000,641,103202,39855.0866000,0
1742517240000,0.3868000,0.3869000,0.3862000,0.3864000,106455,1742517299999,41161.1194000,231,21120,8163.7841000,0
1742517300000,0.3864000,0.3870000,0.3861000,0.3863000,166492,1742517359999,64380.3503000,342,81111,31370.4556000,0
1742517360000,0.3863000,0.3865000,0.3856000,0.3865000,114164,1742517419999,44063.2104000,358,41121,15872.6627000,0
1742517420000,0.3865000,0.3869000,0.3864000,0.3865000,135785,1742517479999,52497.7812000,263,27177,10508.4173000,0
1742517480000,0.3865000,0.3869000,0.3864000,0.3865000,66846,1742517539999,25841.9860000,270,15893,6143.6697000,0
1742517540000,0.3865000,0.3865000,0.3856000,0.3858000,107782,1742517599999,41607.7668000,315,28104,10847.4399000,0
1742517600000,0.3858000,0.3859000,0.3848000,0.3850000,657169,1742517659999,253129.0737000,656,92991,35837.0716000,0
1742517660000,0.3850000,0.3852000,0.3845000,0.3845000,509553,1742517719999,196065.7363000,479,68352,26309.9933000,0
1742517720000,0.3846000,0.3847000,0.3838000,0.3839000,758617,1742517779999,291359.8009000,576,104698,40237.2274000,0
1742517780000,0.3840000,0.3844000,0.3839000,0.3842000,188474,1742517839999,72397.5617000,673,151413,58162.0947000,0
1742517840000,0.3842000,0.3842000,0.3836000,0.3836000,138323,1742517899999,53096.4909000,354,67232,25807.5442000,0
1742517900000,0.3835000,0.3842000,0.3833000,0.3840000,318619,1742517959999,122268.8327000,744,184124,70662.6358000,0
1742517960000,0.3840000,0.3841000,0.3834000,0.3836000,215724,1742518019999,82794.7153000,337,65601,25180.1099000,0
1742518020000,0.3837000,0.3843000,0.3835000,0.3842000,130011,1742518079999,49907.4021000,256,85837,32948.9352000,0
1742518080000,0.3842000,0.3845000,0.3839000,0.3842000,102309,1742518139999,39324.1061000,265,82570,31740.8408000,0
1742518140000,0.3841000,0.3849000,0.3841000,0.3847000,76201,1742518199999,29314.5829000,191,43582,16763.7059000,0
1742518200000,0.3847000,0.3851000,0.3843000,0.3847000,400371,1742518259999,153985.0783000,483,116793,44934.2647000,0
1742518260000,0.3847000,0.3850000,0.3846000,0.3849000,91040,1742518319999,35029.9274000,200,54956,21145.2203000,0
1742518320000,0.3849000,0.3856000,0.3847000,0.3854000,142035,1742518379999,54694.3766000,295,105860,40769.9140000,0
1742518380000,0.3854000,0.3854000,0.3849000,0.3853000,60462,1742518439999,23286.3109000,200,27056,10419.8292000,0
1742518440000,0.3854000,0.3858000,0.3849000,0.3849000,151207,1742518499999,58304.0521000,286,23662,9124.4149000,0
1742518500000,0.3849000,0.3857000,0.3848000,0.3854000,137206,1742518559999,52844.1018000,275,68096,26228.2331000,0
1742518560000,0.3855000,0.3855000,0.3851000,0.3851000,30620,1742518619999,11798.7942000,173,10407,4010.1662000,0
1742518620000,0.3850000,0.3853000,0.3845000,0.3846000,59634,1742518679999,22950.9539000,212,17279,6653.0859000,0
1742518680000,0.3846000,0.3847000,0.3839000,0.3843000,236320,1742518739999,90800.1554000,328,48964,18812.2606000,0
1742518740000,0.3843000,0.3843000,0.3839000,0.3839000,175522,1742518799999,67408.7759000,254,41580,15969.7622000,0
1742518800000,0.3840000,0.3844000,0.3836000,0.3844000,330685,1742518859999,126975.3440000,597,242597,93165.0704000,0
1742518860000,0.3844000,0.3849000,0.3843000,0.3849000,139542,1742518919999,53666.0659000,385,107264,41250.7711000,0
