open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1745193600000,0.2857000,0.2859000,0.2857000,0.2857000,233071,1745193659999,66606.9755000,272,84321,24100.2166000,0
1745193660000,0.2857000,0.2859000,0.2856000,0.2859000,134863,1745193719999,38539.4420000,314,49344,14101.4763000,0
1745193720000,0.2859000,0.2861000,0.2853000,0.2854000,423060,1745193779999,120864.7380000,469,60100,17179.8135000,0
1745193780000,0.2854000,0.2854000,0.2850000,0.2850000,164023,1745193839999,46775.2263000,232,54494,15542.5835000,0
1745193840000,0.2851000,0.2856000,0.2849000,0.2856000,324789,1745193899999,92632.9764000,291,225475,64322.3396000,0
1745193900000,0.2856000,0.2858000,0.2853000,0.2856000,248645,1745193959999,71003.0540000,291,138178,39465.0937000,0
1745193960000,0.2857000,0.2869000,0.2856000,0.2868000,870946,1745194019999,249340.3228000,563,779034,223036.7679000,0
1745194020000,0.2868000,0.2869000,0.2865000,0.2868000,306961,1745194079999,88020.7098000,303,208349,59746.7914000,0
1745194080000,0.2868000,0.2870000,0.2867000,0.2869000,202886,1745194139999,58202.3626000,292,167444,48038.5111000,0
1745194140000,0.2870000,0.2872000,0.2868000,0.2869000,299574,1745194199999,85981.9432000,396,113606,32614.4746000,0
1745194200000,0.2870000,0.2874000,0.2868000,0.2873000,732394,1745194259999,210244.5117000,845,326305,93696.3702000,0
1745194260000,0.2872000,0.2872000,0.2868000,0.2869000,164484,1745194319999,47206.9605000,317,52759,15141.6673000,0
1745194320000,0.2870000,0.2874000,0.2869000,0.2870000,404904,1745194379999,116272.0212000,298,222862,63995.2803000,0
1745194380000,0.2871000,0.2873000,0.2869000,0.2869000,83589,1745194439999,23995.6504000,215,49544,14223.7594000,0
1745194440000,0.2870000,0.2870000,0.2868000,0.2870000,78716,1745194499999,22584.3108000,171,18952,5438.0741000,0
1745194500000,0.2871000,0.2877000,0.2871000,0.2874000,581276,1745194559999,167128.3595000,363,465434,133824.5719000,0
1745194560000,0.2875000,0.2879000,0.2875000,0.2879000,315701,1745194619999,90820.7618000,322,221446,63703.9251000,0
1745194620000,0.2879000,0.2883000,0.2878000,0.2882000,320558,1745194679999,92339.3220000,347,218763,63011.3659000,0
1745194680000,0.2882000,0.2888000,0.2882000,0.2888000,372451,1745194739999,107511.0005000,411,202473,58447.2460000,0
1745194740000,0.2888000,0.2893000,0.2888000,0.2891000,1034293,1745194799999,298923.5591000,468,903265,261044.4566000,0
1745194800000,0.2892000,0.2900000,0.2890000,0.2896000,2635516,1745194859999,763344.1984000,1007,2164221,626880.2613000,0
1745194860000,0.2896000,0.2896000,0.2890000,0.2894000,756032,1745194919999,218691.0603000,443,317405,91803.7867000,0
1745194920000,0.2894000,0.2900000,0.2892000,0.2900000,717082,1745194979999,207677.6573000,388,529704,153417.7214000,0
1745194980000,0.2900000,0.2902000,0.2898000,0.2901000,264811,1745195039999,76796.8801000,276,143170,41526.6472000,0
1745195040000,0.2902000,0.2905000,0.2900000,0.2902000,612871,1745195099999,177907.0692000,479,373692,108486.1525000,0
1745195100000,0.2902000,0.2904000,0.2902000,0.2903000,325887,1745195159999,94618.2672000,296,170749,49583.1867000,0
1745195160000,0.2902000,0.2920000,0.2902000,0.2918000,2813882,1745195219999,818919.2867000,1425,2140078,622790.0586000,0
1745195220000,0.2917000,0.2929000,0.2914000,0.2928000,2029105,1745195279999,592582.4165000,1229,1122982,328024.5929000,0
1745195280000,0.2929000,0.2935000,0.2922000,0.2926000,1776940,1745195339999,520423.7131000,1202,525520,153952.6519000,0
