open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1705968000000,2314.33,2325.73,2312.44,2322.87,37317.961,1705968899999,86577336.14555,48259,21239.671,49275703.94469,0
1705968900000,2322.87,2328.00,2322.08,2325.94,17166.836,1705969799999,39925014.95202,27438,8517.155,19807834.17041,0
1705969800000,2325.94,2330.72,2314.41,2320.09,31369.536,1705970699999,72830866.81135,40878,11803.215,27408643.73892,0
1705970700000,2320.09,2327.78,2318.16,2326.42,14682.201,1705971599999,34138718.99119,26028,7709.437,17923587.93910,0
1705971600000,2326.43,2329.69,2324.10,2326.89,14778.248,1705972499999,34386608.78177,21027,5886.436,13697595.68265,0
1705972500000,2326.90,2332.98,2326.19,2328.68,18670.952,1705973399999,43491783.56592,24765,7885.186,18366766.52066,0
1705973400000,2328.68,2334.01,2324.86,2333.30,17298.293,1705974299999,40286029.00424,26800,10036.850,23375609.40650,0
1705974300000,2333.29,2336.32,2330.01,2334.18,15421.655,1705975199999,35988076.43213,22142,8395.749,19593561.11723,0
1705975200000,2334.18,2335.64,2332.22,2333.23,19426.903,1705976099999,45341744.69439,20200,10201.028,23809019.57449,0
1705976100000,2333.24,2337.07,2329.10,2332.43,18428.560,1705976999999,42992066.45069,20388,8745.976,20405284.91335,0
1705977000000,2332.43,2339.70,2331.43,2339.01,17695.465,1705977899999,41345742.19538,21657,10950.141,25588007.44863,0
1705977900000,2339.00,2339.95,2336.04,2339.28,14351.617,1705978799999,33556423.85443,18880,7488.546,17510720.19363,0
1705978800000,2339.32,2343.10,2337.50,2342.61,16645.211,1705979699999,38950477.28320,20153,9963.276,23314265.15706,0
1705979700000,2342.60,2343.10,2337.88,2339.18,10665.548,1705980599999,24961372.03717,15671,5402.196,12642908.93853,0
1705980600000,2339.19,2340.83,2338.24,2339.85,5798.075,1705981499999,13565140.82224,9364,2815.402,6587033.80846,0
1705981500000,2339.85,2340.82,2337.98,2339.01,17715.187,1705982399999,41437490.56170,15284,5430.530,12702945.87957,0
1705982400000,2339.01,2344.98,2339.00,2344.48,15676.567,1705983299999,36728752.93453,16128,9845.052,23065277.81370,0
1705983300000,2344.48,2351.76,2344.47,2349.29,28480.798,1705984199999,66869484.83083,26945,17979.600,42210614.40094,0
1705984200000,2349.30,2349.99,2346.60,2348.60,12124.318,1705985099999,28474958.76961,14673,4960.260,11650209.80788,0
