open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1743811200000,1815.97,1816.32,1811.54,1814.00,18425.183,1743812099999,33420847.56013,17201,7461.003,13533736.07591,0
1743812100000,1814.00,1819.00,1813.99,1816.90,14630.166,1743812999999,26581585.08651,14765,8365.810,15199500.57486,0
1743813000000,1816.89,1817.28,1812.55,1814.05,14126.522,1743813899999,25638839.96709,13693,4623.337,8390530.92659,0
1743813900000,1814.05,1824.28,1813.91,1822.00,37030.961,1743814799999,67417158.33911,26984,21961.797,39972370.56493,0
1743814800000,1821.99,1823.93,1819.10,1819.64,21668.072,1743815699999,39471198.34762,22414,10274.853,18720935.14609,0
1743815700000,1819.64,1826.63,1819.63,1824.56,33994.728,1743816599999,62029238.00628,30025,19039.874,34741411.32347,0
1743816600000,1824.56,1825.50,1821.34,1821.90,16308.732,1743817499999,29736485.33256,17317,5750.851,10485542.71435,0
1743817500000,1821.90,1822.20,1818.01,1818.63,18187.097,1743818399999,33100290.02691,16770,8724.414,15878725.23599,0
1743818400000,1818.63,1820.62,1814.59,1816.22,23183.395,1743819299999,42138727.95625,19453,11556.328,21006271.69425,0
1743819300000,1816.23,1817.56,1813.14,1813.61,17665.491,1743820199999,32069800.23282,17739,7704.163,13989580.66332,0
1743820200000,1813.60,1819.62,1812.12,1819.51,17687.187,1743821099999,32110399.73538,20212,11733.666,21307546.78587,0
1743821100000,1819.50,1819.50,1813.55,1814.91,12200.526,1743821999999,22157522.89464,14840,5375.387,9762411.16186,0
1743822000000,1814.92,1815.66,1811.11,1811.20,14800.763,1743822899999,26830463.25224,16305,7161.116,12983052.03160,0
1743822900000,1811.21,1814.55,1808.27,1809.02,25443.057,1743823799999,46069318.26652,20272,8141.696,14749564.43451,0
1743823800000,1809.01,1812.00,1808.69,1811.54,12164.943,1743824699999,22026709.49420,14067,7321.173,13255978.60540,0
1743824700000,1811.54,1812.61,1809.00,1809.01,10357.738,1743825599999,18753514.22085,10599,4770.356,8637660.58834,0
1743825600000,1809.00,1814.00,1809.00,1813.47,16146.725,1743826499999,29253388.54488,12628,10864.397,19680717.51729,0
