open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1721433600000,3502.18,3507.00,3478.47,3483.29,68550.893,1721437199999,239291848.39840,101260,30968.577,108112031.52349,0
1721437200000,3483.29,3495.53,3478.01,3483.16,33611.766,1721440799999,117185806.57007,58455,16975.621,59195847.16479,0
1721440800000,3483.16,3494.40,3479.01,3491.85,31156.455,1721444399999,108692361.25784,50694,18668.323,65129684.47942,0
1721444400000,3491.86,3501.88,3491.41,3493.78,32524.138,1721447999999,113750198.84882,49065,18181.285,63592860.21961,0
1721448000000,3493.77,3506.94,3490.06,3506.28,37838.197,1721451599999,132457484.18020,54170,22716.877,79531295.90777,0
1721451600000,3506.28,3506.55,3494.40,3500.32,25714.335,1721455199999,89994432.88375,35073,11327.156,39644239.65940,0
1721455200000,3500.33,3503.68,3498.97,3500.01,13649.251,1721458799999,47787704.92840,26338,7226.855,25303239.00199,0
1721458800000,3500.01,3502.23,3485.70,3485.99,41342.399,1721462399999,144443214.25906,56236,18102.057,63258853.62091,0
1721462400000,3485.99,3492.99,3479.00,3484.47,46896.856,1721465999999,163428227.98824,61386,22798.500,79464044.72171,0
1721466000000,3484.46,3493.40,3480.00,3482.17,39724.315,1721469599999,138463756.17988,52041,20142.811,70208690.38743,0
1721469600000,3482.16,3489.28,3478.84,3486.84,34055.577,1721473199999,118637851.60161,46308,19175.205,66810078.58639,0
1721473200000,3486.84,3490.49,3479.12,3483.39,25478.549,1721476799999,88777301.26243,42161,11952.166,41648476.46173,0
1721476800000,3483.39,3495.30,3482.55,3490.44,30145.893,1721480399999,105218406.48569,46629,16483.009,57532649.80941,0
1721480400000,3490.44,3496.86,3479.03,3489.05,49904.390,1721483999999,173993381.28315,70344,22092.627,77043973.18165,0
1721484000000,3489.04,3507.07,3487.22,3495.70,51178.762,1721487599999,178944311.21648,67848,29439.921,102941269.24740,0
1721487600000,3495.69,3506.28,3492.75,3501.82,35985.593,1721491199999,125920125.95507,60129,18675.471,65359033.49850,0
1721491200000,3501.83,3512.52,3489.01,3496.87,58980.072,1721494799999,206499276.32138,87775,28199.300,98753210.90853,0
1721494800000,3496.86,3538.38,3490.73,3525.55,158297.230,1721498399999,556545101.06722,200089,82798.462,291122286.76472,0
1721498400000,3525.56,3536.83,3515.39,3529.30,56174.049,1721501999999,198094564.99673,88425,28056.261,98954182.96013,0
1721502000000,3529.30,3535.70,3507.07,3513.21,59141.765,1721505599999,208091057.84061,89889,25078.681,88240485.24659,0
1721505600000,3513.21,3525.26,3513.17,3520.79,23460.758,1721509199999,82604976.72393,48363,12790.062,45028808.62858,0
1721509200000,3520.79,3521.80,3497.35,3513.69,48387.464,1721512799999,169770684.31711,81133,21160.111,74252207.87453,0
1721512800000,3513.70,3521.76,3506.32,3512.60,29426.840,1721516399999,103398198.37879,53946,13166.557,46261875.05609,0
1721516400000,3512.59,3520.45,3511.87,3516.03,16533.445,1721519999999,58149578.59245,31038,7717.311,27143292.74091,0
