open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1745798400000,1790.22,1793.25,1766.26,1772.79,462341.913,1745801999999,821967958.94704,306269,204672.608,363960009.49703,0
1745802000000,1772.79,1777.80,1750.99,1763.11,407306.619,1745805599999,718337436.50141,294499,183880.686,324334779.21719,0
1745805600000,1763.11,1773.34,1761.04,1772.02,149744.814,1745809199999,264860020.19739,144141,83696.293,148039308.14513,0
1745809200000,1772.02,1786.59,1768.60,1783.25,145024.726,1745812799999,257926897.34223,129641,80888.902,143885126.54343,0
1745812800000,1783.24,1793.60,1783.24,1786.85,152074.770,1745816399999,271858585.16365,127141,73494.680,131397842.66203,0
1745816400000,1786.85,1802.40,1785.10,1794.77,186690.517,1745819999999,334876699.25591,141735,96733.091,173538538.35718,0
1745820000000,1794.77,1805.22,1794.50,1803.80,150901.449,1745823599999,271736241.94827,133981,75965.646,136820972.47657,0
1745823600000,1803.80,1811.82,1799.28,1803.95,178266.150,1745827199999,321892780.70474,142808,90638.942,163711053.02313,0
1745827200000,1803.95,1809.63,1800.56,1808.50,106862.368,1745830799999,192941439.12041,123272,52768.634,95290326.63275,0
1745830800000,1808.49,1815.78,1803.52,1804.83,140454.708,1745834399999,254158215.61015,128307,67388.950,121969021.94961,0
1745834400000,1804.84,1823.70,1787.10,1814.41,540962.985,1745837999999,977546157.87439,313988,283300.280,512402424.07827,0
1745838000000,1814.42,1826.71,1809.29,1815.00,272516.806,1745841599999,495239229.15834,174248,138249.374,251232882.09380,0
1745841600000,1815.00,1816.48,1803.13,1805.70,259470.107,1745845199999,469515965.37991,179689,126266.250,228511827.45340,0
1745845200000,1805.70,1809.53,1780.96,1783.20,435761.845,1745848799999,781513948.51051,321898,203813.025,365574252.32984,0
1745848800000,1783.21,1798.21,1778.48,1781.00,326275.382,1745852399999,583321137.75792,248171,159597.222,285396344.41833,0
1745852400000,1781.00,1784.69,1751.42,1762.08,508152.326,1745855999999,896171724.90991,381485,241628.993,426160511.86059,0
1745856000000,1762.08,1767.59,1742.15,1757.05,433076.823,1745859599999,760938776.78153,304029,199813.562,351273625.70463,0
1745859600000,1757.04,1773.68,1753.37,1770.01,229024.051,1745863199999,403639107.04833,165641,124116.130,218746540.92628,0
1745863200000,1770.00,1781.34,1763.60,1777.37,186436.691,1745866799999,330239649.04839,153999,101703.428,180191448.60030,0
1745866800000,1777.36,1805.00,1776.78,1796.36,458004.593,1745870399999,822137742.48282,317904,252684.234,453580275.95547,0
1745870400000,1796.35,1798.35,1782.62,1785.11,143101.862,1745873999999,255889495.26155,124778,66030.907,118074447.52247,0
1745874000000,1785.10,1794.10,1780.24,1792.70,107015.600,1745877599999,191239225.59879,80387,61175.849,109341561.18342,0
1745877600000,1792.69,1805.85,1790.80,1801.21,225527.085,1745881199999,405604512.65989,151211,121032.927,217656167.39405,0
1745881200000,1801.21,1806.87,1794.25,1799.22,147734.497,1745884799999,265886310.03287,125248,72114.067,129807612.92537,0
