open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1743984000000,1579.98,1585.57,1574.68,1575.27,66927.537,1743984299999,105702690.47901,41136,34139.184,53929017.45586,0
1743984300000,1575.27,1580.87,1574.64,1575.40,50498.836,1743984599999,79624497.12206,34796,22591.741,35621790.63539,0
1743984600000,1575.40,1577.44,1566.00,1566.66,58529.402,1743984899999,91928259.01135,39684,26420.301,41513999.24011,0
1743984900000,1566.69,1582.53,1566.69,1577.21,62477.996,1743985199999,98500469.25251,43535,32717.668,51580079.37684,0
1743985200000,1577.21,1581.52,1568.06,1572.30,44115.179,1743985499999,69393080.10961,36674,21287.776,33488857.19054,0
1743985500000,1572.31,1579.74,1569.65,1579.11,34438.295,1743985799999,54248015.82669,28444,19317.565,30427979.84208,0
1743985800000,1579.14,1580.78,1569.27,1571.69,32357.869,1743986099999,50986762.25655,32547,13892.279,21894353.22543,0
1743986100000,1571.69,1574.74,1567.68,1574.15,29256.677,1743986399999,45965514.39025,28299,16483.265,25897041.68989,0
1743986400000,1574.14,1574.15,1561.54,1564.55,50189.826,1743986699999,78620254.76072,36379,19206.614,30093963.27360,0
1743986700000,1564.55,1564.81,1555.63,1557.29,55297.761,1743986999999,86236264.15072,41300,19809.472,30900271.11394,0
1743987000000,1557.30,1562.48,1551.50,1561.11,42367.406,1743987299999,65987047.08072,34132,25227.233,39317239.31180,0
1743987300000,1561.10,1574.13,1560.49,1572.06,42518.243,1743987599999,66716300.72023,31996,22135.492,34722916.04532,0
1743987600000,1572.06,1581.65,1572.06,1575.74,55506.103,1743987899999,87543855.19206,43628,28382.137,44772830.32184,0
1743987900000,1575.74,1578.91,1569.85,1575.63,29587.036,1743988199999,46575034.86830,28661,14219.268,22394195.14334,0
1743988200000,1575.63,1587.87,1575.25,1586.26,53097.802,1743988499999,84033919.96913,39114,31428.229,49746220.89241,0
1743988500000,1586.27,1603.21,1583.15,1600.97,84271.898,1743988799999,134403096.45655,51804,47139.098,75187971.60296,0
1743988800000,1600.97,1612.87,1600.96,1610.43,104780.891,1743989099999,168452018.85685,57268,53020.773,85242490.76722,0
1743989100000,1610.40,1613.51,1607.43,1608.23,46901.228,1743989399999,75531942.33178,35336,19645.904,31643748.56118,0
1743989400000,1608.23,1611.89,1604.22,1607.28,39747.187,1743989699999,63910515.47584,32561,19851.557,31923984.22579,0
1743989700000,1607.28,1607.93,1593.00,1595.79,74792.372,1743989999999,119688788.54500,45460,25008.471,40029087.78862,0
1743990000000,1595.79,1598.00,1589.08,1592.02,36557.261,1743990299999,58234117.34669,32377,17645.470,28111578.94361,0
1743990300000,1592.02,1599.32,1586.96,1597.84,43935.702,1743990599999,69977132.63370,34136,24466.564,38981585.81346,0
1743990600000,1597.83,1602.67,1596.29,1600.01,33483.952,1743990899999,53575985.18307,26524,17100.201,27362760.34386,0
1743990900000,1600.01,1601.13,1596.79,1597.49,22801.731,1743991199999,36462841.57574,21527,9750.539,15591992.65562,0
1743991200000,1597.50,1600.66,1592.05,1598.05,26052.571,1743991499999,41573427.70422,25778,10965.597,17503828.66530,0
1743991500000,1598.06,1600.29,1593.77,1594.31,17643.334,1743991799999,28186048.34586,20501,8857.776,14152243.71410,0
1743991800000,1594.30,1595.72,1590.44,1594.21,17399.463,1743992099999,27719219.82992,17661,8124.291,12942355.50147,0
1743992100000,1594.21,1597.80,1593.29,1596.97,20578.613,1743992399999,32832721.40749,20825,14206.755,22668298.12148,0
1743992400000,1596.96,1598.66,1585.50,1587.54,33592.510,1743992699999,53456645.29892,24103,10958.051,17448598.78558,0
1743992700000,1587.55,1588.50,1581.22,1584.72,29753.538,1743992999999,47138956.38617,24685,12931.894,20491349.64160,0
1743993000000,1584.73,1587.77,1582.35,1585.32,16685.735,1743993299999,26456804.15846,20118,9756.916,15471067.91541,0
1743993300000,1585.32,1586.44,1572.11,1574.02,40944.013,1743993599999,64568433.55008,34121,15207.132,23982627.00044,0
1743993600000,1574.02,1580.00,1573.94,1575.90,24244.513,1743993899999,38237237.45646,21274,14827.221,23387447.45621,0
1743993900000,1575.91,1584.70,1574.00,1583.42,25154.250,1743994199999,39770307.65688,22408,18170.032,28729458.52536,0
1743994200000,1583.41,1586.74,1578.95,1579.57,21696.218,1743994499999,34339574.44796,18999,8692.871,13763620.65348,0
1743994500000,1579.56,1580.00,1573.92,1578.33,18245.125,1743994799999,28765042.77794,18051,8666.962,13665631.02884,0
