open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1745366400000,148.7200,149.2600,148.3100,148.7600,394787.33,1745367299999,58776846.244300,43848,206657.55,30771368.102900,0
1745367300000,148.7600,149.3500,148.3700,148.6300,315066.01,1745368199999,46940262.228800,39397,166390.09,24792785.383400,0
1745368200000,148.6400,148.9800,148.0000,148.1300,276286.14,1745369099999,41001108.046600,36073,121697.07,18065555.457000,0
1745369100000,148.1300,148.1900,147.5600,147.8600,343044.26,1745369999999,50720171.952520,37695,147887.62,21867162.051300,0
1745370000000,147.8700,148.9600,147.5700,148.3000,350946.26,1745370899999,52092935.362700,41822,197704.16,29349708.043300,0
1745370900000,148.3000,148.7000,148.0200,148.5700,207073.26,1745371799999,30720469.460300,30239,115394.13,17122444.596600,0
1745371800000,148.5700,148.7500,147.8800,148.1300,190749.26,1745372699999,28285441.391800,27389,86994.10,12900133.641700,0
1745372700000,148.1400,148.3000,147.0000,147.3200,297817.24,1745373599999,43942920.883200,34221,101850.36,15033020.149800,0
1745373600000,147.3100,148.0500,147.3000,148.0200,149811.18,1745374499999,22122812.519200,24077,82713.69,12213209.803600,0
1745374500000,148.0300,148.7700,147.7600,148.1800,248759.87,1745375399999,36898062.692140,35274,136234.15,20208055.633340,0
1745375400000,148.1800,148.8600,147.9800,148.7000,137721.03,1745376299999,20444694.988600,24788,80185.04,11904837.285200,0
1745376300000,148.7000,148.9800,148.3200,148.3500,140460.94,1745377199999,20876568.806700,22431,60700.85,9022290.803800,0
1745377200000,148.3600,148.5600,148.0500,148.1800,132154.41,1745378099999,19597985.104700,20698,55917.09,8293274.933500,0
1745378100000,148.1800,148.6800,148.0400,148.6400,99394.81,1745378999999,14747865.531000,16838,59859.47,8883388.067900,0
1745379000000,148.6400,149.0600,148.4400,148.9200,126643.33,1745379899999,18841231.173100,20902,73461.33,10929383.007600,0
1745379900000,148.9300,149.3800,148.7700,149.1500,169872.34,1745380799999,25329798.814710,23516,97335.92,14515938.307010,0
1745380800000,149.1500,149.3800,148.9800,149.3700,168747.73,1745381699999,25177329.237300,20657,85678.38,12786279.389000,0
1745381700000,149.3700,149.4400,148.4800,148.7800,207669.49,1745382599999,30915719.459500,23713,79284.57,11804520.193200,0
1745382600000,148.7800,151.1700,148.6000,150.6900,562261.60,1745383499999,84340863.530040,58904,362475.20,54378375.900640,0
1745383500000,150.6900,151.9900,149.9700,151.4300,759074.42,1745384399999,114647419.186900,76571,430442.35,65034716.602600,0
1745384400000,151.4200,151.4200,150.3100,150.8900,439753.12,1745385299999,66318384.618200,47544,219818.13,33156555.677300,0
1745385300000,150.9000,151.0200,150.3300,150.8300,166288.03,1745386199999,25059676.708100,26619,60127.69,9062765.803300,0
1745386200000,150.8300,151.3600,150.6700,151.1600,143961.13,1745387099999,21749591.177800,25562,72240.92,10913738.952000,0
1745387100000,151.1500,151.4600,150.4700,150.5800,172789.62,1745387999999,26081025.119500,26046,75899.52,11458185.439300,0
1745388000000,150.5900,152.2400,150.4000,151.6900,326909.36,1745388899999,49499041.043500,37821,176254.38,26677610.613300,0
1745388900000,151.7000,151.8100,151.0700,151.5400,196308.21,1745389799999,29736036.102700,28146,94545.92,14323052.096600,0
1745389800000,151.5300,151.9400,150.9000,151.1800,258128.78,1745390699999,39067929.277400,31779,99284.76,15030266.234500,0
1745390700000,151.1900,151.5100,150.6500,150.6700,189193.39,1745391599999,28568646.331080,25689,89444.53,13507057.877400,0
1745391600000,150.6600,151.0300,150.2000,150.9000,285749.92,1745392499999,43022420.880400,32949,108450.25,16328928.263200,0
1745392500000,150.9100,151.0600,150.5100,150.9200,142671.79,1745393399999,21526937.646300,20593,73468.13,11085579.131300,0
1745393400000,150.9200,151.3500,150.6900,150.7000,168744.47,1745394299999,25494621.872800,24877,77317.15,11683472.439100,0
1745394300000,150.7000,151.7900,150.6200,151.5100,186839.37,1745395199999,28267959.998300,24272,121983.47,18456012.454500,0
1745395200000,151.5100,152.0000,150.9600,151.9000,262845.08,1745396099999,39794483.278500,31765,152427.23,23075784.641400,0
1745396100000,151.9000,152.8500,151.4700,152.3300,488638.24,1745396999999,74378058.883680,53710,290545.19,44231674.298880,0
1745397000000,152.3400,152.4800,151.4100,152.0800,407967.30,1745397899999,61918210.771600,37154,210447.21,31931753.848900,0
1745397900000,152.0900,152.4700,151.9400,152.3900,168736.68,1745398799999,25676863.383100,23772,81808.85,12449710.154700,0
1745398800000,152.3800,153.7000,152.2000,153.1400,350701.41,1745399699999,53632557.699800,41623,203090.74,31066296.731800,0
1745399700000,153.1500,153.2000,152.2600,152.4400,341555.50,1745400599999,52121459.574100,33128,150546.79,22964802.007300,0
1745400600000,152.4400,152.7300,152.0500,152.1200,182616.31,1745401499999,27831409.677680,27205,68190.71,10394989.878300,0
1745401500000,152.1200,152.4000,151.5300,151.5300,207241.33,1745402399999,31494828.702400,27924,83655.52,12719076.744000,0
1745402400000,151.5300,151.7500,150.8800,151.1800,415946.18,1745403299999,62925777.789600,45797,179087.70,27093816.805300,0
1745403300000,151.1700,151.9200,151.1000,151.7900,193163.14,1745404199999,29286766.975400,24564,102115.34,15483703.531500,0
1745404200000,151.8000,152.1100,151.6200,151.9200,117795.19,1745405099999,17890952.707900,19989,54349.03,8255255.318800,0
1745405100000,151.9300,152.7700,151.8700,152.5700,187651.69,1745405999999,28588854.074300,24284,104972.61,15994365.809100,0
1745406000000,152.5600,152.9500,152.1900,152.8300,189913.38,1745406899999,28976219.861900,26676,96418.81,14713773.668300,0
1745406900000,152.8300,152.9400,152.1000,152.2200,187801.97,1745407799999,28638935.835100,24222,73412.49,11200314.347900,0
1745407800000,152.2200,152.5700,151.9300,151.9300,137776.39,1745408699999,20970900.196800,21370,65002.78,9896302.581100,0
1745408700000,151.9400,152.4600,151.5600,152.0100,209029.50,1745409599999,31748177.990900,26917,95605.02,14523331.854500,0
1745409600000,152.0200,152.4200,151.6200,152.2300,276687.85,1745410499999,42056045.720200,35148,132388.46,20127127.936000,0
1745410500000,152.2300,152.2500,151.6200,151.9800,133732.76,1745411399999,20311150.397000,25304,64453.93,9788993.095200,0
1745411400000,151.9800,152.3200,151.7000,151.9500,161036.93,1745412299999,24490502.631900,22944,73872.34,11234273.571100,0
