open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1707696000000,107.4710,109.3770,107.3640,108.6390,1084142,1707699599999,117753032.8470,121332,585010,63518366.2030,0
1707699600000,108.6410,108.6910,107.6360,108.0200,545803,1707703199999,59025608.2570,71786,254948,27575578.9430,0
1707703200000,108.0190,108.2200,104.5000,105.8330,2490295,1707706799999,263917362.7240,216272,1094403,115977719.7440,0
1707706800000,105.8330,106.5960,105.4430,106.2680,887157,1707710399999,94135603.9090,86575,496501,52685419.4060,0
1707710400000,106.2670,106.2670,105.5000,105.5870,607573,1707713999999,64284832.2440,69659,272990,28885114.8150,0
1707714000000,105.5870,106.0490,105.2810,105.4520,370255,1707717599999,39149067.1850,49667,183266,19382857.5340,0
1707717600000,105.4550,105.8560,104.5800,105.4000,908473,1707721199999,95518073.3750,93850,412474,43392532.3140,0
1707721200000,105.3990,106.3860,105.3960,105.9340,749459,1707724799999,79373537.4970,93633,392187,41530410.7590,0
1707724800000,105.9340,106.3330,105.4050,105.7160,449081,1707728399999,47567390.1290,57724,209557,22200399.4220,0
1707728400000,105.7160,105.7870,104.6000,104.7480,750179,1707731999999,78866984.2090,83908,327328,34422227.8060,0
1707732000000,104.7480,105.2550,104.2000,104.5250,873722,1707735599999,91577863.5450,95055,407398,42714776.0240,0
1707735600000,104.5240,104.6580,103.3820,104.2220,1328452,1707739199999,138075542.8440,136910,605541,62949551.0360,0
1707739200000,104.2210,104.8600,103.8070,104.4940,774708,1707742799999,80852204.4220,86327,392086,40931748.6250,0
1707742800000,104.4940,104.7110,104.1030,104.4700,449457,1707746399999,46929696.7800,54052,215709,22525572.4800,0
1707746400000,104.4710,106.7680,104.4230,106.6450,1704815,1707749999999,180293610.6350,174430,910307,96252462.7650,0
1707750000000,106.6450,108.9940,106.1320,108.8340,3046164,1707753599999,327954016.6770,279855,1525254,164277985.4410,0
1707753600000,108.8340,109.2610,107.5820,108.7230,1989029,1707757199999,215725229.2500,192163,950175,103073048.0350,0
1707757200000,108.7220,110.9200,108.5550,109.7780,2979992,1707760799999,326916096.2080,272630,1513010,166002064.0350,0
1707760800000,109.7780,110.6190,109.5660,109.7120,1420951,1707764399999,156516773.9010,149048,683984,75350846.8200,0
1707764400000,109.7110,111.4480,109.5850,109.8350,1851864,1707767999999,204536731.5930,174386,925420,102220806.1320,0
1707768000000,109.8390,110.9950,109.7060,110.9640,908110,1707771599999,100146804.8610,106327,463586,51132984.3080,0
1707771600000,110.9650,111.8970,110.0150,110.2880,1284891,1707775199999,142621384.2830,150144,638774,70939953.8430,0
1707775200000,110.3030,111.6560,110.2870,111.6560,598409,1707778799999,66402187.0950,75354,301687,33471298.3200,0
1707778800000,111.6560,112.3330,111.0600,111.7370,950141,1707782399999,106085777.9000,97596,496750,55475146.0030,0
