open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1744156800000,105.3200,106.5000,104.1300,104.6600,1846855,1744160399999,194525187.2050,139186,960583,101221268.4600,0
1744160400000,104.6600,104.9800,101.2300,104.2100,4318675,1744163999999,444279695.5570,293052,2130963,219236320.0320,0
1744164000000,104.2100,105.7200,103.4200,103.5400,1540553,1744167599999,161071423.4820,125563,705611,73797781.9410,0
1744167600000,103.5500,103.8800,102.6000,103.0900,1106699,1744171199999,114306820.2300,97024,541721,55973810.0400,0
1744171200000,103.0800,106.0400,102.9800,105.0500,2189575,1744174799999,229239193.5960,172898,1148247,120183820.5560,0
1744174800000,105.0600,105.9700,104.8800,105.2800,867717,1744178399999,91462161.2350,76892,420659,44351501.9650,0
1744178400000,105.2800,106.7100,105.1300,105.6500,1445103,1744181999999,152989283.5600,99642,676254,71628720.1100,0
1744182000000,105.6600,107.9800,105.5500,107.3200,2492599,1744185599999,267110818.0840,146409,1356670,145403594.7640,0
1744185600000,107.3100,108.2400,106.5400,107.2900,1704069,1744189199999,182728079.2100,105652,780540,83726947.7400,0
1744189200000,107.2900,107.5500,106.0800,106.5600,1017592.90,1744192799999,108575949.339800,97756,491959.78,52503094.449400,0
1744192800000,106.5600,107.3100,105.9700,106.8500,821296.13,1744196399999,87497510.582100,153931,426600.46,45460765.247200,0
1744196400000,106.8300,106.8400,102.6900,103.3800,3679307.82,1744199999999,384281852.227300,326427,1783043.45,186165761.039900,0
1744200000000,103.3800,104.8800,102.2200,104.4100,2064523.51,1744203599999,214002002.657300,169065,1047111.03,108550259.394700,0
1744203600000,104.4100,107.1200,103.8200,105.9400,2827150.84,1744207199999,298128916.089700,276197,1381008.72,145669607.045100,0
1744207200000,105.9400,107.4000,105.4800,105.8100,2298883.06,1744210799999,244713373.139800,210473,1078212.57,114817668.436900,0
1744210800000,105.8100,107.0700,105.7900,106.4900,1188512.21,1744214399999,126682290.835500,113461,573939.29,61177979.824600,0
1744214400000,106.4900,108.3200,106.1700,108.2000,1506841.88,1744217999999,161753197.745700,125501,826593.93,88762492.030300,0
1744218000000,108.1900,119.5900,107.1700,119.2700,11579976.57,1744221599999,1321318351.390700,880409,5982441.82,682084339.891500,0
1744221600000,119.2600,120.6900,117.4000,117.6200,5541774.21,1744225199999,658650360.766600,401806,2583089.05,307123585.643200,0
1744225200000,117.6200,119.6100,117.6000,118.8700,1589685.06,1744228799999,188692819.758400,143846,817610.30,97072459.294500,0
1744228800000,118.8800,120.1900,118.5900,120.0300,1127285.45,1744232399999,134319004.411100,101294,622814.10,74236035.380700,0
1744232400000,120.0300,120.4500,118.0100,119.5300,1601221.88,1744235999999,190846603.302500,132468,816409.12,97323256.615500,0
1744236000000,119.5200,120.3600,118.9300,119.1900,850372.31,1744239599999,101628232.150800,94522,410243.05,49043392.340100,0
1744239600000,119.1900,119.4600,118.3800,119.0100,729700.84,1744243199999,86749413.856600,78871,372157.60,44248973.701200,0
