open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1746403200000,143.8600,143.8700,143.6600,143.7000,17467.09,1746403259999,2510696.338800,2534,6962.76,1000795.690900,0
1746403260000,143.6900,144.0500,143.6700,144.0000,16705.37,1746403319999,2404079.641500,2031,11921.92,1715592.577800,0
1746403320000,144.0000,144.0500,143.8500,143.9100,24465.84,1746403379999,3521957.296000,2056,9891.56,1423967.720600,0
1746403380000,143.9200,143.9500,143.7200,143.7400,10509.80,1746403439999,1511430.267600,1291,4120.14,592491.951400,0
1746403440000,143.7500,144.0600,143.7300,144.0200,11102.47,1746403499999,1597689.641000,1421,7672.51,1103847.774200,0
1746403500000,144.0200,144.0500,143.8500,144.0100,13769.91,1746403559999,1982490.093900,1604,6892.44,992316.404700,0
1746403560000,144.0200,144.1700,143.9900,144.0300,13993.03,1746403619999,2015934.849600,1664,9753.41,1405013.750600,0
1746403620000,144.0300,144.1000,143.9800,143.9900,13111.22,1746403679999,1888668.266700,1251,7658.99,1103374.710400,0
1746403680000,143.9900,144.0400,143.9300,143.9400,6997.49,1746403739999,1007559.184300,1015,3133.54,451218.964200,0
1746403740000,143.9500,144.0900,143.9100,144.0900,7204.22,1746403799999,1037370.388200,1249,5025.32,723592.250300,0
1746403800000,144.0800,144.1000,143.9200,143.9700,7475.38,1746403859999,1076486.598600,1042,3347.59,482057.402700,0
1746403860000,143.9600,144.1900,143.9600,144.1100,14402.48,1746403919999,2075556.967400,1495,11355.58,1636471.076500,0
1746403920000,144.1100,144.2200,144.0400,144.2200,9879.12,1746403979999,1423766.860400,1386,7341.17,1058023.641600,0
1746403980000,144.2100,144.5500,144.1600,144.5200,23699.93,1746404039999,3421480.410700,2655,15395.66,2222570.224000,0
1746404040000,144.5200,144.5500,144.4100,144.4100,14403.05,1746404099999,2081280.063200,1441,7101.18,1026153.113800,0
1746404100000,144.4100,144.4800,144.3500,144.3600,10998.90,1746404159999,1588177.902000,1783,7261.62,1048528.023600,0
1746404160000,144.3700,144.5600,144.2600,144.4400,13703.18,1746404219999,1978791.099900,1762,8008.01,1156534.065900,0
1746404220000,144.4500,144.6200,144.4200,144.5300,12511.84,1746404279999,1808593.093700,1615,8007.96,1157588.093100,0
1746404280000,144.5300,144.5800,144.4900,144.5600,12174.50,1746404339999,1759524.650000,1503,8114.37,1172726.608000,0
1746404340000,144.5600,144.5600,144.3400,144.4000,10578.05,1746404399999,1527914.694500,1148,5159.97,745322.179600,0
1746404400000,144.4000,144.6000,144.4000,144.5500,12320.29,1746404459999,1780139.222000,1592,7918.44,1143925.991200,0
1746404460000,144.5400,144.6800,144.4700,144.6800,10402.43,1746404519999,1503521.093600,1499,4252.00,614622.721100,0
1746404520000,144.6800,144.7700,144.6300,144.7400,14495.12,1746404579999,2097574.162900,1472,8825.92,1277153.036100,0
1746404580000,144.7300,144.8100,144.6700,144.8000,12634.64,1746404639999,1828657.174600,1470,7773.37,1125014.496400,0
1746404640000,144.8000,144.8100,144.6800,144.7400,7131.28,1746404699999,1032345.228600,1090,3941.11,570537.988800,0
1746404700000,144.7400,144.7600,144.5800,144.7600,7035.93,1746404759999,1017856.734600,1144,3380.24,488989.019100,0
1746404760000,144.7500,144.8900,144.6900,144.8900,13982.45,1746404819999,2024629.700900,1775,8744.76,1266215.979700,0
1746404820000,144.8800,144.9500,144.8000,144.9500,14245.28,1746404879999,2063935.730520,1682,7598.09,1100903.729020,0
1746404880000,144.9400,145.1200,144.9400,145.0900,23717.64,1746404939999,3440163.360300,2568,16832.85,2441342.257700,0
1746404940000,145.0800,145.3300,145.0300,145.3000,33436.42,1746404999999,4855830.789000,2787,22919.25,3328537.524400,0
1746405000000,145.3000,145.3900,145.1500,145.2200,36504.61,1746405059999,5303268.203500,3449,15586.32,2264486.040000,0
1746405060000,145.2200,145.3200,145.1200,145.2600,20541.02,1746405119999,2983429.993000,1952,9105.10,1322469.020700,0
1746405120000,145.2700,145.2700,145.1400,145.2100,9535.54,1746405179999,1384665.618400,1560,3222.89,467953.442000,0
1746405180000,145.2100,145.2200,144.9800,145.0400,15386.30,1746405239999,2231686.696300,1682,5144.82,746152.548400,0
1746405240000,145.0300,145.1000,144.8500,144.9500,13139.33,1746405299999,1904682.484500,1678,5919.17,858112.374000,0
1746405300000,144.9600,145.1800,144.9600,145.1500,5609.25,1746405359999,813698.341900,1151,4135.84,599925.349800,0
1746405360000,145.1600,145.1900,145.0100,145.0600,9749.96,1746405419999,1414762.254200,1690,4385.03,636230.139000,0
1746405420000,145.0500,145.1300,145.0000,145.1200,5348.46,1746405479999,775889.525500,1274,2704.21,392270.059700,0
1746405480000,145.1300,145.2400,145.1200,145.1800,5519.70,1746405539999,801366.824600,1213,4100.32,595286.853900,0
1746405540000,145.1900,145.1900,145.0300,145.0500,5266.17,1746405599999,764175.447000,1151,1286.34,186666.765900,0
1746405600000,145.0500,145.1800,145.0000,145.1100,4767.62,1746405659999,691627.764800,1201,2947.45,427548.124700,0
1746405660000,145.1200,145.1200,145.0300,145.0300,7654.23,1746405719999,1110487.572300,1188,2625.83,380973.081900,0
1746405720000,145.0300,145.0400,144.8600,144.8600,6186.56,1746405779999,896713.537900,1126,1312.71,190223.724100,0
1746405780000,144.8600,144.8600,144.7500,144.7600,8873.81,1746405839999,1285131.380600,1431,2238.68,324206.653500,0
1746405840000,144.7500,144.8100,144.7500,144.7900,2608.27,1746405899999,377603.612200,558,950.19,137566.227900,0
1746405900000,144.7900,144.9800,144.7900,144.8700,7048.31,1746405959999,1021137.552300,1664,4617.66,668932.894100,0
1746405960000,144.8700,145.0800,144.8700,144.9900,5505.68,1746406019999,798448.743800,1417,3309.71,479960.165700,0
1746406020000,144.9800,145.0800,144.9800,145.0700,3097.90,1746406079999,449226.288700,740,2304.03,334109.100800,0
1746406080000,145.0700,145.0800,144.8900,145.0300,5664.18,1746406139999,821223.483200,1122,1689.39,244889.651100,0
1746406140000,145.0200,145.0300,144.9600,145.0100,6468.22,1746406199999,937882.108000,825,4527.15,656448.618400,0
1746406200000,145.0100,145.0400,144.9600,145.0000,6512.14,1746406259999,944246.106700,920,4359.22,632068.955000,0
1746406260000,145.0000,145.1400,145.0000,145.1100,5532.25,1746406319999,802652.507500,970,3825.69,555057.291400,0
1746406320000,145.1100,145.2000,145.1100,145.1500,4453.84,1746406379999,646528.053400,833,2063.76,299572.285300,0
1746406380000,145.1400,145.1500,145.0500,145.1500,5392.84,1746406439999,782544.081400,956,2140.95,310680.022800,0
1746406440000,145.1400,145.1600,145.0400,145.0900,2859.98,1746406499999,415004.199600,803,1120.00,162505.965400,0
1746406500000,145.0900,145.1800,145.0600,145.1500,3900.31,1746406559999,566107.586000,698,3308.56,480226.705600,0
1746406560000,145.1500,145.2100,145.1400,145.1600,3547.43,1746406619999,515036.935600,681,1479.61,214809.416700,0
1746406620000,145.1600,145.2600,145.1600,145.1700,4493.65,1746406679999,652543.318000,837,2089.94,303485.573800,0
1746406680000,145.1700,145.2200,145.0800,145.1100,4626.65,1746406739999,671492.557600,770,1523.02,221063.780400,0
1746406740000,145.1000,145.1200,145.0600,145.0600,2528.69,1746406799999,366897.439900,486,868.96,126087.239400,0
1746406800000,145.0700,145.1500,144.8800,144.8800,12771.62,1746406859999,1851952.287300,2293,3771.04,546884.608600,0
1746406860000,144.8900,145.0100,144.8800,144.9300,6480.87,1746406919999,939373.417500,1174,4811.83,697412.948700,0
1746406920000,144.9300,145.0400,144.8400,144.9000,6261.85,1746406979999,907493.704300,967,2955.83,428417.795100,0
1746406980000,144.8900,144.9200,144.8600,144.8600,4436.62,1746407039999,642817.760800,780,1744.71,252783.721900,0
1746407040000,144.8600,144.8600,144.7500,144.7700,6272.54,1746407099999,908134.681000,904,2068.54,299482.135200,0
1746407100000,144.7800,144.7800,144.5900,144.6500,10613.45,1746407159999,1535386.771900,1581,3722.46,538521.509400,0
1746407160000,144.6500,144.6800,144.5300,144.5600,10392.38,1746407219999,1502717.660300,1462,2785.06,402748.338000,0
1746407220000,144.5500,144.6200,144.5000,144.6100,14575.10,1746407279999,2106986.693600,1501,6585.12,952032.789300,0
1746407280000,144.6200,144.6600,144.5800,144.6500,6509.45,1746407339999,941402.056800,878,2519.31,364345.788200,0
1746407340000,144.6500,144.6600,144.5600,144.6300,6747.50,1746407399999,975777.734400,841,3317.75,479776.655800,0
1746407400000,144.6400,144.6400,144.5500,144.6300,3611.40,1746407459999,522258.842000,648,1984.38,286964.904100,0
1746407460000,144.6300,144.6900,144.4100,144.4700,11549.10,1746407519999,1669573.508400,1764,3094.88,447527.633400,0
1746407520000,144.4700,144.4800,144.3200,144.4200,11776.97,1746407579999,1700444.461700,1423,3415.15,493132.659000,0
1746407580000,144.4200,144.5800,144.4200,144.5300,6959.75,1746407639999,1005873.261600,948,3979.27,575086.219100,0
1746407640000,144.5400,144.5700,144.4600,144.5400,4780.76,1746407699999,690996.405900,884,2666.79,385439.546400,0
1746407700000,144.5400,144.7300,144.5400,144.6600,5753.82,1746407759999,832329.058900,1263,4034.83,583625.802300,0
1746407760000,144.6600,144.6700,144.3800,144.3800,10778.41,1746407819999,1557842.305200,1587,2502.26,361673.628900,0
1746407820000,144.3700,144.3800,144.2300,144.2800,10056.61,1746407879999,1451130.031800,1355,3576.92,516141.120400,0
1746407880000,144.2700,144.3000,144.1200,144.1300,13430.95,1746407939999,1936782.312700,1677,4326.05,623823.009300,0
1746407940000,144.1200,144.2000,143.9200,144.0000,32172.93,1746407999999,4634040.281500,2838,5643.73,813122.585000,0
1746408000000,144.0000,144.2000,143.9500,144.1500,19733.47,1746408059999,2843442.216400,2106,11443.57,1649103.227900,0
1746408060000,144.1500,144.3200,144.1200,144.3000,6241.99,1746408119999,900345.519500,1362,3456.27,498541.068700,0
1746408120000,144.3000,144.3300,144.1900,144.2900,16875.36,1746408179999,2434579.787800,1454,12849.67,1853737.401500,0
1746408180000,144.2800,144.3000,144.2300,144.2900,6338.75,1746408239999,914493.687900,791,2887.27,416542.125200,0
1746408240000,144.2800,144.3200,144.1900,144.2700,5635.20,1746408299999,812964.602300,917,2657.93,383437.109300,0
1746408300000,144.2600,144.5800,144.2100,144.5000,22710.39,1746408359999,3279473.261000,2256,19241.41,2778256.972100,0
1746408360000,144.5000,144.5100,144.3900,144.3900,6307.72,1746408419999,911229.092600,817,3557.30,513882.392300,0
1746408420000,144.3900,144.3900,144.0400,144.0400,33001.68,1746408479999,4759105.438000,2662,6114.25,881762.999800,0
1746408480000,144.0400,144.1400,143.9900,144.0500,14121.02,1746408539999,2034363.952000,1598,8314.39,1197898.057300,0
1746408540000,144.0600,144.0900,143.9000,143.9400,11275.31,1746408599999,1623580.890100,1343,3061.83,440837.246500,0
1746408600000,143.9400,143.9900,143.6200,143.7100,32807.39,1746408659999,4717896.219800,3622,8781.49,1263075.873600,0
1746408660000,143.7000,143.8500,143.1500,143.1600,88067.34,1746408719999,12638516.961100,7067,14552.91,2090143.802700,0
1746408720000,143.2300,143.5300,143.1200,143.3000,48506.67,1746408779999,6951876.344600,8008,22923.56,3285810.367500,0
1746408780000,143.3000,143.3700,142.7300,143.1700,91616.87,1746408839999,13103265.123030,11557,36335.90,5199173.723200,0
1746408840000,143.1800,143.3300,143.0500,143.3100,30166.91,1746408899999,4319088.739000,3645,17377.52,2488014.685000,0
1746408900000,143.3100,143.3400,142.9900,143.1300,20267.60,1746408959999,2901500.971700,3144,10255.64,1468307.835600,0
1746408960000,143.1300,143.4800,143.0700,143.2400,33470.04,1746409019999,4795670.884900,3733,27592.92,3953642.634500,0
1746409020000,143.2300,143.4800,143.2200,143.4100,10220.73,1746409079999,1465340.848600,1603,6820.90,977893.348000,0
