open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1679270400000,21.8640,21.9810,21.8320,21.8730,129736,1679270699999,2841585.1530,5089,68822,1507400.8960,0
1679270700000,21.8720,21.9540,21.7180,21.9260,191182,1679270999999,4172346.9890,7335,90874,1982773.9200,0
1679271000000,21.9250,21.9900,21.8350,21.9900,116389,1679271299999,2551284.3010,4630,57611,1263031.0640,0
1679271300000,21.9890,22.0270,21.8790,21.9510,146729,1679271599999,3222781.9610,5140,63609,1396979.0710,0
1679271600000,21.9520,21.9730,21.8940,21.9460,90423,1679271899999,1983210.9020,3195,48975,1074218.1690,0
1679271900000,21.9450,21.9730,21.8850,21.9400,51525,1679272199999,1130183.0060,2312,26652,584641.2420,0
1679272200000,21.9400,22.0710,21.9170,22.0490,101053,1679272499999,2225747.8990,3510,55273,1217285.2780,0
1679272500000,22.0480,22.0730,21.9520,21.9770,87097,1679272799999,1918016.0650,3194,32513,716024.7850,0
1679272800000,21.9740,22.0050,21.8560,21.8600,103439,1679273099999,2267133.8490,3478,41416,908051.3050,0
1679273100000,21.8610,21.9220,21.7910,21.7910,82277,1679273399999,1796674.4620,2992,43816,956857.4750,0
1679273400000,21.7920,21.8360,21.7550,21.7950,73658,1679273699999,1605334.1660,2975,34676,755843.5970,0
1679273700000,21.7940,21.8580,21.7570,21.8340,100481,1679273999999,2190721.8130,3257,54203,1181794.4180,0
1679274000000,21.8320,21.8670,21.5870,21.8360,261940,1679274299999,5700172.6720,9447,115284,2510003.6420,0
1679274300000,21.8360,21.8930,21.7790,21.8550,109636,1679274599999,2395400.0060,3888,50863,1111494.9490,0
1679274600000,21.8560,21.9700,21.8200,21.9480,69123,1679274899999,1513562.1130,3181,33759,739391.9060,0
1679274900000,21.9510,21.9600,21.8740,21.9120,55960,1679275199999,1226914.8300,2534,32007,701804.2120,0
1679275200000,21.9130,22.3140,21.9110,22.2850,233847,1679275499999,5175932.3470,8704,132897,2941104.6400,0
1679275500000,22.2850,22.4780,22.2060,22.2230,430590,1679275799999,9619537.3980,13872,203214,4541291.9210,0
1679275800000,22.2220,22.2350,22.0430,22.0700,204733,1679276099999,4530474.2310,6250,112972,2499814.4280,0
1679276100000,22.0690,22.1690,22.0400,22.1220,133578,1679276399999,2951604.3860,4776,70901,1566585.1130,0
1679276400000,22.1240,22.2810,22.0960,22.2810,139576,1679276699999,3098499.3550,4955,78704,1746956.6320,0
1679276700000,22.2830,22.4850,22.2790,22.2810,230159,1679276999999,5147233.3020,7638,119207,2665678.8840,0
1679277000000,22.2800,22.3020,22.1680,22.1760,183281,1679277299999,4077552.3510,5360,89025,1981063.1750,0
1679277300000,22.1740,22.2620,22.1430,22.1910,136718,1679277599999,3034320.7180,3831,64783,1438199.2170,0
1679277600000,22.1910,22.3360,22.1820,22.3120,100013,1679277899999,2226490.0840,3883,55403,1233122.0940,0
1679277900000,22.3090,22.4410,22.2270,22.3430,178759,1679278199999,3998418.2460,6169,93232,2085709.9630,0
1679278200000,22.3420,22.8450,22.3350,22.7820,651414,1679278499999,14732853.3110,17743,394040,8912023.7980,0
1679278500000,22.7840,22.8590,22.6080,22.6140,332461,1679278799999,7559037.8010,12502,145512,3309330.4870,0
1679278800000,22.6160,22.6230,22.4700,22.4720,192798,1679279099999,4344963.6410,6578,89495,2017086.1990,0
1679279100000,22.4720,22.5270,22.4490,22.4560,103574,1679279399999,2328063.4300,3618,51028,1147046.8210,0
1679279400000,22.4570,22.6190,22.4460,22.5140,136584,1679279699999,3077287.4980,5100,82470,1858157.9870,0
1679279700000,22.5140,22.5150,22.2450,22.2590,243924,1679279999999,5460404.1080,8075,97685,2186984.9880,0
1679280000000,22.2560,22.2730,22.0650,22.1830,245066,1679280299999,5439480.3320,9110,106444,2362871.2150,0
1679280300000,22.1830,22.3980,22.1490,22.3910,217637,1679280599999,4846042.1880,7889,116114,2585794.2610,0
1679280600000,22.3940,22.5090,22.3510,22.4660,201785,1679280899999,4528683.8990,6897,106315,2385506.8880,0
1679280900000,22.4660,22.5600,22.4160,22.5310,149339,1679281199999,3360460.8500,4756,91394,2056626.4190,0
1679281200000,22.5270,22.7950,22.4750,22.7620,331631,1679281499999,7512094.0440,10182,188823,4277627.4960,0
1679281500000,22.7620,22.9470,22.6710,22.9400,408744,1679281799999,9325222.7090,14420,216570,4940459.4860,0
1679281800000,22.9440,23.0000,22.6900,22.7090,364314,1679282099999,8313561.3500,13504,168863,3852591.5120,0
1679282100000,22.7100,22.7150,22.4740,22.5070,269958,1679282399999,6097800.0690,8599,111069,2509554.9100,0
1679282400000,22.5060,22.5140,22.2260,22.2300,352847,1679282699999,7893350.6070,11252,175687,3931250.5230,0
1679282700000,22.2310,22.4750,22.1400,22.4520,380787,1679282999999,8503989.4080,12621,198839,4441943.4170,0
1679283000000,22.4530,22.4530,22.1700,22.3080,295633,1679283299999,6592694.0550,10754,132942,2964024.5490,0
1679283300000,22.3080,22.5150,22.2740,22.3560,174929,1679283599999,3918592.6950,7187,80365,1800534.7340,0
1679283600000,22.3540,22.4300,22.2250,22.3550,201484,1679283899999,4496429.8130,7474,99031,2210163.4540,0
1679283900000,22.3570,22.3840,21.9040,21.9360,428996,1679284199999,9494913.6110,13244,158597,3514315.1620,0
1679284200000,21.9330,21.9650,21.7450,21.7600,453995,1679284499999,9923933.0620,13977,235943,5159092.5510,0
1679284500000,21.7620,21.8750,21.6750,21.7080,258226,1679284799999,5619582.8050,9508,130390,2838363.7000,0
1679284800000,21.7080,21.7110,21.3340,21.6000,694545,1679285099999,14933084.7490,21602,297428,6396680.2990,0
1679285100000,21.6000,21.6900,21.5140,21.6830,265868,1679285399999,5746388.8980,9101,162474,3511328.3840,0
1679285400000,21.6850,21.8880,21.6490,21.8650,301237,1679285699999,6562210.7290,9465,159258,3469533.2860,0
1679285700000,21.8650,21.9940,21.8360,21.9860,199708,1679285999999,4378530.3970,6811,97619,2140211.6020,0
1679286000000,21.9860,22.3130,21.9630,22.1710,515264,1679286299999,11417239.1720,14689,257491,5705492.1910,0
1679286300000,22.1710,22.3750,22.1710,22.3050,244398,1679286599999,5442814.7760,9595,118058,2628964.6810,0
1679286600000,22.3050,22.5000,22.3050,22.4060,392761,1679286899999,8800233.9210,12519,173895,3895739.0880,0
1679286900000,22.4050,22.5030,22.2540,22.2560,281200,1679287199999,6294518.5190,8893,106898,2394000.0720,0
1679287200000,22.2560,22.4320,22.2100,22.2190,183843,1679287499999,4100592.2530,7473,82051,1831132.6980,0
1679287500000,22.2190,22.2970,22.1510,22.2440,152554,1679287799999,3390182.5270,5744,69124,1536543.8650,0
1679287800000,22.2470,22.2580,22.1190,22.1890,100613,1679288099999,2231392.8160,3741,45542,1009938.8210,0
1679288100000,22.1870,22.1870,22.0660,22.1010,107933,1679288399999,2387177.3010,4292,44702,988652.2000,0
1679288400000,22.1000,22.2460,22.0990,22.2460,102231,1679288699999,2266384.0860,4104,58654,1300405.9790,0
