open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1746230400000,2.2083,2.2109,2.2060,2.2086,3760519.6,1746231299999,8305800.21933,13316,2024787.8,4472290.94299,0
1746231300000,2.2086,2.2126,2.2052,2.2068,3043160.6,1746232199999,6723417.77960,11506,1522713.4,3364234.78670,0
1746232200000,2.2067,2.2074,2.2026,2.2027,2160729.1,1746233099999,4765063.13267,9629,891157.8,1965295.77810,0
1746233100000,2.2028,2.2060,2.2003,2.2054,2441941.7,1746233999999,5378874.93122,10250,1394601.9,3071899.01109,0
1746234000000,2.2054,2.2070,2.2015,2.2023,2123895.9,1746234899999,4680670.82408,9769,1056568.6,2328315.46448,0
1746234900000,2.2024,2.2036,2.1992,2.2002,2348992.6,1746235799999,5170171.90273,9860,917637.5,2019871.47842,0
1746235800000,2.2003,2.2003,2.1958,2.2000,3173024.6,1746236699999,6973896.23872,10423,1157710.6,2544518.60367,0
1746236700000,2.1999,2.2023,2.1983,2.2015,2148582.5,1746237599999,4727742.77849,8152,1123250.7,2471587.26210,0
1746237600000,2.2015,2.2080,2.2013,2.2074,2187861.2,1746238499999,4824959.94980,9643,1341321.0,2958014.80757,0
1746238500000,2.2074,2.2118,2.2067,2.2111,3551972.9,1746239399999,7848057.63087,11686,1839897.9,4064572.93342,0
1746239400000,2.2111,2.2190,2.2110,2.2138,4872363.1,1746240299999,10795862.87391,15709,2804315.2,6212656.77714,0
1746240300000,2.2137,2.2195,2.2135,2.2177,2184864.2,1746241199999,4842363.74316,12511,1151794.7,2553023.42395,0
1746241200000,2.2177,2.2191,2.2128,2.2139,4160983.2,1746242099999,9219015.30208,15389,1327859.7,2941775.20938,0
1746242100000,2.2138,2.2153,2.2105,2.2129,2909845.9,1746242999999,6438304.57944,10035,1148171.4,2540484.40394,0
1746243000000,2.2128,2.2144,2.2104,2.2121,1972888.0,1746243899999,4364753.63143,9006,1049719.6,2322446.50041,0
1746243900000,2.2121,2.2138,2.2100,2.2115,1745966.8,1746244799999,3861599.32149,8243,741562.4,1640253.84130,0
1746244800000,2.2114,2.2147,2.2098,2.2141,1889761.3,1746245699999,4180162.08894,9089,1060048.7,2344831.80728,0
1746245700000,2.2141,2.2148,2.2123,2.2131,1311683.8,1746246599999,2903309.02749,8221,735399.1,1627743.22821,0
1746246600000,2.2132,2.2180,2.2127,2.2170,1568667.6,1746247499999,3475358.50872,8248,889969.0,1971769.93786,0
1746247500000,2.2171,2.2175,2.2155,2.2166,1161326.2,1746248399999,2573715.15146,7430,554626.3,1229177.72246,0
1746248400000,2.2165,2.2169,2.2110,2.2115,1955636.1,1746249299999,4329287.72123,7864,808968.2,1790802.51059,0
1746249300000,2.2115,2.2143,2.2107,2.2125,1138136.6,1746250199999,2518334.71658,6782,585198.0,1294840.16717,0
1746250200000,2.2124,2.2152,2.2090,2.2150,1239419.1,1746251099999,2741788.89869,7641,654625.0,1448434.98909,0
1746251100000,2.2150,2.2150,2.2103,2.2112,935294.3,1746251999999,2068976.71461,6959,335457.0,741964.27370,0
1746252000000,2.2111,2.2115,2.2054,2.2068,2927670.6,1746252899999,6463490.02050,10045,1578157.2,3483599.43284,0
1746252900000,2.2067,2.2068,2.2023,2.2036,2662212.6,1746253799999,5868229.27682,9882,1149712.9,2534431.08721,0
1746253800000,2.2035,2.2071,2.2026,2.2068,1663672.4,1746254699999,3669833.83612,8044,1014455.8,2237672.53290,0
1746254700000,2.2067,2.2071,2.2024,2.2034,1217213.0,1746255599999,2683112.92542,7339,446848.2,984937.47250,0
1746255600000,2.2033,2.2040,2.2003,2.2022,2899201.7,1746256499999,6384083.11543,14817,1637402.3,3605626.53816,0
1746256500000,2.2022,2.2030,2.1989,2.2007,3197519.0,1746257399999,7035938.02376,10207,1347982.3,2965969.24993,0
1746257400000,2.2007,2.2043,2.1994,2.2023,3159907.5,1746258299999,6956895.77163,10940,1758231.7,3870920.77829,0
1746258300000,2.2023,2.2038,2.2004,2.2023,1770369.5,1746259199999,3898010.55811,7928,931720.9,2051505.30372,0
1746259200000,2.2024,2.2026,2.1986,2.1989,2756718.8,1746260099999,6064832.37058,9664,1427669.5,3140977.18816,0
1746260100000,2.1990,2.2035,2.1967,2.2030,2660587.3,1746260999999,5852147.74740,11152,1485519.4,3268068.52968,0
1746261000000,2.2030,2.2063,2.2023,2.2043,2155834.6,1746261899999,4752846.30905,8859,1018986.5,2246455.58455,0
1746261900000,2.2043,2.2064,2.2008,2.2027,1365144.1,1746262799999,3007974.80044,6199,633423.2,1395862.22899,0
1746262800000,2.2028,2.2033,2.1981,2.2004,1957465.8,1746263699999,4306901.91987,7370,947488.2,2084683.96281,0
1746263700000,2.2004,2.2025,2.1992,2.1994,1549801.8,1746264599999,3410995.05162,7365,897986.9,1976423.65826,0
1746264600000,2.1994,2.1994,2.1958,2.1981,2510186.0,1746265499999,5516478.47160,9372,959334.1,2108315.94425,0
1746265500000,2.1982,2.1998,2.1923,2.1983,4708667.1,1746266399999,10338524.45572,14034,2208586.2,4850006.62623,0
1746266400000,2.1982,2.1983,2.1928,2.1948,2942389.2,1746267299999,6459794.74257,9441,1500829.0,3294437.00165,0
1746267300000,2.1948,2.1982,2.1942,2.1948,2132547.4,1746268199999,4682549.15540,9615,995577.6,2186113.83805,0
1746268200000,2.1948,2.1978,2.1859,2.1885,6051630.5,1746269099999,13256481.19390,17676,1974640.8,4327431.60194,0
1746269100000,2.1884,2.1903,2.1825,2.1838,7014739.4,1746269999999,15338346.76907,24508,3221401.9,7045284.70526,0
