open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1701820800000,0.6216,0.6240,0.6195,0.6237,43087903.3,1701824399999,26784901.39350,30732,21535647.2,13388277.88423,0
1701824400000,0.6237,0.6276,0.6206,0.6236,50889856.2,1701827999999,31755189.73550,40938,25234017.7,15746774.80097,0
1701828000000,0.6236,0.6246,0.6186,0.6245,43523644.4,1701831599999,27079253.48721,31372,21250515.6,13221976.78147,0
1701831600000,0.6244,0.6247,0.6202,0.6228,33609829.8,1701835199999,20914695.45954,21870,15415720,9592758.85254,0
1701835200000,0.6229,0.6237,0.6214,0.6226,20117515.4,1701838799999,12527643.71031,14784,9058798.3,5641743.18887,0
1701838800000,0.6226,0.6247,0.6102,0.6184,100785796,1701842399999,62259370.33448,69718,48889977.6,30213430.61066,0
1701842400000,0.6185,0.6196,0.6139,0.6193,51839342.2,1701845999999,31987765.25268,39863,25773931.5,15905141.08950,0
1701846000000,0.6194,0.6295,0.6178,0.6280,79302256.8,1701849599999,49481256.24308,58763,38994401,24326627.45542,0
1701849600000,0.6279,0.6422,0.6278,0.6317,186520529.3,1701853199999,118252411.55698,137302,93864273,59506252.19077,0
1701853200000,0.6317,0.6368,0.6301,0.6358,65220868.4,1701856799999,41316527.22600,52641,33331283.1,21113982.79225,0
1701856800000,0.6359,0.6376,0.6292,0.6292,67806659.9,1701860399999,42915058.07178,51670,30848534.4,19522882.93367,0
1701860400000,0.6292,0.6298,0.6107,0.6210,167059311.8,1701863999999,103702864.89317,136060,73371040.5,45545129.62553,0
1701864000000,0.6210,0.6278,0.6206,0.6252,57591175,1701867599999,35932907.17878,43433,27514796.3,17162916.15828,0
1701867600000,0.6251,0.6268,0.6226,0.6246,43959726.1,1701871199999,27448558.18443,32206,20778578.5,12973666.87370,0
1701871200000,0.6246,0.6260,0.6205,0.6223,55887158.4,1701874799999,34852154.51956,36134,24616346.5,15354102.11062,0
1701874800000,0.6224,0.6292,0.6215,0.6278,50773065.9,1701878399999,31776255.60193,40239,25770693.1,16129203.12093,0
1701878400000,0.6278,0.6293,0.6254,0.6273,40596679.7,1701881999999,25467445.65529,31362,18135648.9,11377783.74553,0
1701882000000,0.6273,0.6292,0.6254,0.6269,26883525.8,1701885599999,16873762.70525,25051,12678811.7,7958170.93227,0
1701885600000,0.6269,0.6293,0.6255,0.6293,23938883,1701889199999,15025822.00777,21851,12076337,7581225.87425,0
1701889200000,0.6292,0.6321,0.6288,0.6314,25766487.7,1701892799999,16244977.65565,24139,14055563.8,8863313.06665,0
1701892800000,0.6314,0.6373,0.6291,0.6345,53651269.9,1701896399999,33953212.67665,42268,25865265.7,16368887.13077,0
1701896400000,0.6345,0.6388,0.6284,0.6364,97137166.6,1701899999999,61587842.88555,63112,45832301.7,29061208.09180,0
1701900000000,0.6364,0.6407,0.6304,0.6361,73798517.3,1701903599999,47008844.81322,59927,35230241.6,22448017.70510,0
1701903600000,0.6361,0.6445,0.6311,0.6405,105442381.4,1701907199999,67374797.05720,79265,53767396.3,34363070.81755,0
