open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1746316800000,2.1860,2.1959,2.1833,2.1867,9786918.0,1746320399999,21421203.97873,42512,4710837.9,10308013.63246,0
1746320400000,2.1867,2.2038,2.1838,2.2027,16641756.4,1746323999999,36539427.21772,62246,7202356.8,15814391.27623,0
1746324000000,2.2026,2.2182,2.1946,2.2002,24568822.8,1746327599999,54228151.03296,92183,11412017.2,25186924.25598,0
1746327600000,2.2001,2.2033,2.1888,2.1977,15199999.6,1746331199999,33378686.77048,56649,7967651.5,17493833.19247,0
1746331200000,2.1977,2.2051,2.1905,2.1966,9740512.7,1746334799999,21417745.44319,46530,4671791.8,10270496.70953,0
1746334800000,2.1966,2.2121,2.1956,2.2072,14519224.2,1746338399999,32035239.33858,56006,7278526.0,16059341.31549,0
1746338400000,2.2071,2.2116,2.2008,2.2086,9655043.5,1746341999999,21302324.32387,44177,4832316.8,10661581.48188,0
1746342000000,2.2085,2.2113,2.2020,2.2103,8502473.3,1746345599999,18768346.89409,38961,4438548.2,9797521.57809,0
1746345600000,2.2102,2.2107,2.1904,2.1908,16034108.0,1746349199999,35268497.30902,53054,7205609.2,15847417.87824,0
1746349200000,2.1908,2.1908,2.1766,2.1787,26340325.5,1746352799999,57476300.85485,79425,14569944.0,31793748.00490,0
1746352800000,2.1787,2.1891,2.1778,2.1847,16914632.5,1746356399999,36930882.22194,50397,10185608.8,22237993.76232,0
1746356400000,2.1846,2.1905,2.1805,2.1878,9777960.7,1746359999999,21373656.91082,39916,4635585.8,10132062.75889,0
1746360000000,2.1878,2.1916,2.1826,2.1875,8743751.0,1746363599999,19130221.46921,37370,3990882.1,8731895.53437,0
1746363600000,2.1875,2.1914,2.1701,2.1787,21893252.8,1746367199999,47707260.19624,60605,9749383.5,21243219.42271,0
1746367200000,2.1787,2.1902,2.1769,2.1894,12145243.1,1746370799999,26546409.72859,41933,5601768.5,12244345.16856,0
1746370800000,2.1893,2.2052,2.1885,2.1959,22781305.9,1746374399999,50023746.56940,67339,10527258.0,23118679.89802,0
1746374400000,2.1959,2.1987,2.1792,2.1823,16250725.7,1746377999999,35550807.23713,60314,8061109.3,17630188.18975,0
1746378000000,2.1823,2.1854,2.1675,2.1742,20219354.2,1746381599999,43983761.55402,66163,9522247.7,20714653.83925,0
1746381600000,2.1743,2.1822,2.1659,2.1680,15329417.9,1746385199999,33292308.48772,60047,7651255.8,16618191.70066,0
1746385200000,2.1681,2.1779,2.1620,2.1744,14891584.0,1746388799999,32309622.60736,52378,7262850.8,15759864.40728,0
1746388800000,2.1744,2.1832,2.1708,2.1830,10794263.8,1746392399999,23510888.07623,41635,5421554.7,11807804.87761,0
1746392400000,2.1831,2.1846,2.1741,2.1834,9790172.5,1746395999999,21328644.57173,30264,4922321.0,10722961.57960,0
1746396000000,2.1834,2.1835,2.1535,2.1611,27279333.5,1746399599999,59031236.07357,94310,11793002.6,25521002.68717,0
1746399600000,2.1610,2.1637,2.1486,2.1548,18883836.6,1746403199999,40712648.72767,65481,7843659.5,16912121.45193,0
