open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1664582400000,0.4797,0.4797,0.4786,0.4788,1695614.7,1664582459999,812309.74298,759,546081.1,261596.53235,0
1664582460000,0.4787,0.4800,0.4786,0.4800,2637489.2,1664582519999,1264213.05254,1219,1683782.8,807101.45581,0
1664582520000,0.4800,0.4815,0.4791,0.4792,6367304.9,1664582579999,3060377.03822,2832,3333864.8,1602589.56242,0
1664582580000,0.4791,0.4793,0.4776,0.4787,6617202.1,1664582639999,3165401.45469,2747,3965895.5,1897135.54912,0
1664582640000,0.4787,0.4787,0.4771,0.4772,4012129.5,1664582699999,1916860.33526,1576,1617879.3,772880.54834,0
1664582700000,0.4772,0.4784,0.4772,0.4782,1786015.7,1664582759999,853357.04420,884,1081317.1,516594.30964,0
1664582760000,0.4782,0.4794,0.4780,0.4791,1453828.2,1664582819999,696192.45639,889,873674.1,418372.34075,0
1664582820000,0.4791,0.4799,0.4789,0.4794,1181673.0,1664582879999,566383.65462,704,393327.4,188580.84570,0
1664582880000,0.4793,0.4799,0.4790,0.4798,935612.8,1664582939999,448617.23781,545,485045.0,232585.43289,0
1664582940000,0.4799,0.4799,0.4793,0.4797,1061298.5,1664582999999,509056.42535,534,467017.8,224016.13167,0
1664583000000,0.4797,0.4798,0.4789,0.4797,961959.5,1664583059999,461030.96444,558,443974.4,212803.56931,0
1664583060000,0.4797,0.4804,0.4796,0.4804,1481443.2,1664583119999,711247.78589,877,932333.8,447612.62952,0
1664583120000,0.4803,0.4806,0.4797,0.4801,1688724.0,1664583179999,810954.65701,748,664996.6,319346.80258,0
1664583180000,0.4800,0.4801,0.4794,0.4799,1030526.3,1664583239999,494303.75717,574,322547.2,154722.10510,0
1664583240000,0.4799,0.4801,0.4795,0.4800,1131718.8,1664583299999,543016.51323,570,764438.2,366778.81684,0
1664583300000,0.4799,0.4800,0.4793,0.4795,1611148.1,1664583359999,772777.42747,591,255180.5,122403.55943,0
1664583360000,0.4794,0.4801,0.4794,0.4795,1259011.1,1664583419999,604108.24348,441,791519.8,379849.54866,0
1664583420000,0.4794,0.4799,0.4794,0.4799,718007.6,1664583479999,344374.46645,425,466517.6,223758.88632,0
1664583480000,0.4798,0.4801,0.4796,0.4796,1102262.1,1664583539999,528929.05748,478,574013.3,275451.86364,0
1664583540000,0.4796,0.4799,0.4793,0.4793,852746.8,1664583599999,409074.42160,445,480207.8,230390.61029,0
1664583600000,0.4794,0.4795,0.4784,0.4786,1800220.5,1664583659999,862031.18415,895,796886.8,381578.08456,0
1664583660000,0.4787,0.4787,0.4778,0.4779,2336513.2,1664583719999,1116999.00438,1076,1270517.2,607392.21720,0
1664583720000,0.4778,0.4780,0.4772,0.4776,2251799.3,1664583779999,1075121.50086,963,1117227.1,533434.67086,0
1664583780000,0.4776,0.4781,0.4771,0.4774,1590555.4,1664583839999,759466.94623,729,878194.8,419309.62988,0
