open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1683417600000,321.760,322.720,321.240,322.660,31893.76,1683421199999,10267745.23480,16026,16186.61,5210898.50110,0
1683421200000,322.650,323.540,321.440,322.140,37137.09,1683424799999,11981283.77170,18677,18492.09,5965486.70990,0
1683424800000,322.140,323.040,321.940,322.230,22374.09,1683428399999,7214864.39570,11532,11327.92,3652770.43860,0
1683428400000,322.240,322.530,321.820,322.460,19201.77,1683431999999,6186466.20910,10850,9630.14,3102659.35730,0
1683432000000,322.470,323.100,322.460,322.860,14120.12,1683435599999,4558552.51620,9560,7165.80,2313338.99450,0
1683435600000,322.870,323.140,322.580,322.870,15419.83,1683439199999,4978988.89760,9493,7865.96,2539895.60720,0
1683439200000,322.870,323.640,322.870,323.270,15785.88,1683442799999,5103154.84000,11083,8610.80,2783549.02310,0
1683442800000,323.260,323.800,323.020,323.670,16629.72,1683446399999,5379098.95090,10764,8844.54,2860790.30970,0
1683446400000,323.660,324.120,323.090,323.470,25846.14,1683449999999,8365511.28490,15183,13013.51,4212600.94090,0
1683450000000,323.470,323.760,323.080,323.460,16030.21,1683453599999,5184932.20530,11957,6750.25,2183333.01750,0
1683453600000,323.460,323.660,323.200,323.470,13423.42,1683457199999,4342157.99660,8862,6758.35,2186184.15590,0
1683457200000,323.470,323.820,322.740,323.200,23155.71,1683460799999,7486496.15170,12070,10648.90,3443349.38770,0
1683460800000,323.200,324.040,323.190,323.670,18222.39,1683464399999,5898389.42340,12721,10091.68,3266643.36840,0
1683464400000,323.670,324.500,323.640,324.100,27615.34,1683467999999,8948252.14160,15461,15829.94,5129442.31830,0
1683468000000,324.100,325.150,323.950,324.920,57949.22,1683471599999,18806841.74900,22111,29800.87,9670735.23360,0
1683471600000,324.920,324.940,323.420,324.180,33811.22,1683475199999,10963852.09690,17964,14417.72,4675209.22800,0
1683475200000,324.180,324.580,322.840,323.790,37178.31,1683478799999,12030446.37790,16670,17432.69,5641230.21310,0
1683478800000,323.790,324.280,323.220,323.260,23824.66,1683482399999,7711439.87650,10763,13511.30,4373317.07760,0
1683482400000,323.250,323.820,322.970,323.030,16771.33,1683485999999,5423737.44740,8629,8315.11,2689086.31270,0
1683486000000,323.040,323.550,322.620,323.420,20396.40,1683489599999,6589465.90760,10234,9909.62,3201487.56560,0
1683489600000,323.420,323.930,323.400,323.760,14266.83,1683493199999,4618083.79470,8191,6380.85,2065446.05550,0
1683493200000,323.760,323.780,322.460,322.750,18789.35,1683496799999,6071766.35870,10771,8793.77,2841402.15240,0
1683496800000,322.740,323.070,322.130,322.470,25178.75,1683500399999,8122187.59300,13137,11538.47,3721900.31000,0
1683500400000,322.470,322.970,320.440,320.970,78827.21,1683503999999,25349256.99210,26395,32595.49,10486094.72220,0
