open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1680048000000,313.180,313.290,313.030,313.030,1140.11,1680048059999,357114.89020,628,318.26,99690.95890,0
1680048060000,313.030,313.040,312.720,312.830,966.09,1680048119999,302239.84740,616,445.41,139345.31070,0
1680048120000,312.840,312.880,312.660,312.840,519.80,1680048179999,162577.97720,461,247.36,77370.94540,0
1680048180000,312.840,312.850,312.760,312.820,316.44,1680048239999,98979.89280,341,154.55,48342.07520,0
1680048240000,312.820,312.880,312.780,312.870,366.93,1680048299999,114786.46050,299,179.55,56171.53960,0
1680048300000,312.870,312.880,312.550,312.580,688.97,1680048359999,215409.76290,484,305.12,95390.43440,0
1680048360000,312.580,312.830,312.540,312.710,593.10,1680048419999,185469.24000,431,314.74,98419.33880,0
1680048420000,312.710,312.950,312.700,312.940,474.78,1680048479999,148546.86160,315,225.58,70579.08190,0
1680048480000,312.950,313.050,312.910,313.010,380.33,1680048539999,119032.67630,312,194.37,60831.69410,0
1680048540000,313.000,313.030,312.990,312.990,234.55,1680048599999,73416.34510,168,111.41,34873.22380,0
1680048600000,312.990,313.140,312.940,313.050,552.66,1680048659999,173023.10200,351,220.63,69072.21270,0
1680048660000,313.060,313.240,313.010,313.180,557.30,1680048719999,174488.56110,325,400.50,125400.21120,0
1680048720000,313.190,313.190,313.010,313.150,467.77,1680048779999,146442.83480,291,194.18,60790.35550,0
1680048780000,313.150,313.190,313.130,313.140,424.87,1680048839999,133046.49260,201,181.22,56751.13320,0
1680048840000,313.130,313.130,312.950,313.040,447.70,1680048899999,140147.67980,249,238.73,74731.42680,0
1680048900000,313.040,313.040,312.710,312.850,953.41,1680048959999,298247.56440,492,347.84,108820.33480,0
1680048960000,312.850,312.900,312.820,312.830,172.07,1680049019999,53831.43170,223,107.58,33655.25300,0
1680049020000,312.840,312.920,312.780,312.900,169.28,1680049079999,52959.68430,175,116.16,36342.41570,0
1680049080000,312.910,313.130,312.910,313.130,753.82,1680049139999,235931.67810,239,539.44,168833.00720,0
1680049140000,313.130,313.250,313.110,313.150,249.38,1680049199999,78095.69380,244,73.51,23020.89050,0
1680049200000,313.140,313.320,313.140,313.310,239.39,1680049259999,74992.17280,253,165.67,51897.90200,0
1680049260000,313.320,313.400,313.170,313.360,429.60,1680049319999,134603.34630,399,201.39,63101.48420,0
1680049320000,313.360,313.430,313.310,313.420,387.58,1680049379999,121455.90010,327,230.19,72134.19650,0
