open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1693958400000,25779.70,25785.00,25763.20,25771.10,464.154,1693958699999,11961520.77480,4520,157.158,4050024.69190,0
1693958700000,25771.10,25809.00,25771.10,25805.10,989.851,1693958999999,25534774.05480,7432,702.705,18126790.15020,0
1693959000000,25805.00,25812.30,25785.40,25790.10,657.324,1693959299999,16958767.74770,6926,239.481,6178961.10070,0
1693959300000,25790.10,25800.10,25780.10,25798.80,395.933,1693959599999,10212429.64790,4601,249.623,6438795.91650,0
1693959600000,25798.80,25808.50,25797.80,25805.80,252.737,1693959899999,6521511.03520,2941,143.709,3708109.24380,0
1693959900000,25805.70,25807.80,25773.60,25776.60,430.920,1693960199999,11111571.98280,5734,118.143,3046618.18350,0
1693960200000,25776.60,25778.40,25766.00,25775.00,309.700,1693960499999,7981759.28940,3800,122.283,3151488.70570,0
1693960500000,25774.90,25787.80,25768.10,25780.10,287.217,1693960799999,7404905.99540,4221,115.267,2971837.35240,0
1693960800000,25780.10,25780.20,25769.10,25776.10,296.511,1693961099999,7642496.76560,2902,92.175,2375782.63190,0
1693961100000,25776.00,25780.20,25768.60,25780.20,191.587,1693961399999,4938136.63700,2456,90.268,2326709.35040,0
1693961400000,25780.10,25786.40,25774.50,25774.50,259.893,1693961699999,6701121.00710,2289,85.658,2208622.16900,0
1693961700000,25774.60,25793.00,25769.30,25793.00,226.656,1693961999999,5843035.81920,2979,146.451,3775496.68520,0
1693962000000,25793.00,25800.00,25784.70,25784.70,307.580,1693962299999,7933897.69850,3442,113.012,2915087.31450,0
1693962300000,25784.70,25800.00,25784.70,25799.90,242.094,1693962599999,6243824.10470,2295,180.485,4654891.76950,0
1693962600000,25799.90,25809.90,25797.60,25805.50,374.280,1693962899999,9657914.39090,4154,241.658,6235714.24240,0
1693962900000,25805.60,25808.90,25786.40,25786.50,215.712,1693963199999,5564694.69240,4183,58.615,1512073.05620,0
