open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1739491200000,0.4496000,0.4565000,0.4425000,0.4484000,27375330,1739494799999,12287769.2810000,48859,14091969,6322306.3630000,0
1739494800000,0.4483000,0.4528000,0.4429000,0.4498000,25070433,1739498399999,11218099.7457000,38070,12822952,5735722.2201000,0
1739498400000,0.4497000,0.4581000,0.4475000,0.4522000,22895153,1739501999999,10384312.5674000,38508,10539299,4780343.9290000,0
1739502000000,0.4523000,0.4579000,0.4499000,0.4558000,15168759,1739505599999,6879327.5220000,31274,7122685,3229591.2275000,0
1739505600000,0.4557000,0.4575000,0.4496000,0.4522000,13736621,1739509199999,6218467.8136000,29522,6654488,3012536.5935000,0
1739509200000,0.4522000,0.4556000,0.4490000,0.4528000,15240837,1739512799999,6886678.8762000,29535,7697642,3478099.5916000,0
1739512800000,0.4528000,0.4584000,0.4520000,0.4578000,16376944,1739516399999,7457256.9204000,33944,8641541,3935935.0534000,0
1739516400000,0.4578000,0.4675000,0.4565000,0.4600000,29728621,1739519999999,13754996.1167000,44295,15820064,7322942.7933000,0
1739520000000,0.4600000,0.4705000,0.4589000,0.4657000,27746193,1739523599999,12916213.6420000,46080,13623614,6344562.4550000,0
1739523600000,0.4657000,0.4730000,0.4646000,0.4724000,27397011,1739527199999,12859020.9383000,47216,12416641,5830395.3242000,0
1739527200000,0.4724000,0.4760000,0.4661000,0.4667000,25626819,1739530799999,12047688.3359000,41979,12331837,5800101.9272000,0
1739530800000,0.4668000,0.4746000,0.4653000,0.4699000,24513441,1739534399999,11514772.7984000,46800,12240467,5749925.3709000,0
1739534400000,0.4699000,0.4699000,0.4596000,0.4616000,25636971,1739537999999,11905422.3353000,44395,12313188,5720173.6784000,0
1739538000000,0.4617000,0.4700000,0.4595000,0.4672000,21542309,1739541599999,10003360.6110000,41409,11560501,5368662.0998000,0
1739541600000,0.4673000,0.4805000,0.4654000,0.4768000,36948231,1739545199999,17465105.0567000,58508,17929038,8480012.2703000,0
1739545200000,0.4769000,0.4807000,0.4647000,0.4776000,48775191,1739548799999,23015561.6152000,71829,24083531,11359144.8690000,0
1739548800000,0.4775000,0.4813000,0.4704000,0.4805000,33539888,1739552399999,15926390.1257000,57845,17471521,8297967.0779000,0
1739552400000,0.4804000,0.5004000,0.4777000,0.4940000,75413616,1739555999999,36982102.6263000,89672,39583554,19410679.6922000,0
1739556000000,0.4940000,0.4987000,0.4902000,0.4920000,41677371,1739559599999,20634113.2568000,60509,19045214,9434534.6448000,0
1739559600000,0.4919000,0.4966000,0.4849000,0.4911000,32846114,1739563199999,16096243.1113000,49838,15483662,7592826.9576000,0
1739563200000,0.4911000,0.4947000,0.4853000,0.4873000,24179645,1739566799999,11870553.8333000,40322,11773773,5782507.1736000,0
1739566800000,0.4873000,0.5017000,0.4798000,0.4999000,33875084,1739570399999,16578567.2045000,52572,17992808,8819903.7514000,0
1739570400000,0.4998000,0.5021000,0.4745000,0.4803000,41857138,1739573999999,20419653.3967000,59895,19530433,9530804.4307000,0
1739574000000,0.4804000,0.4878000,0.4758000,0.4843000,22221512,1739577599999,10710343.8387000,40978,11399282,5496832.7594000,0
