open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1726963200000,0.2881000,0.2882000,0.2863000,0.2864000,1345772,1726963259999,386318.3789000,891,553692,158830.4125000,0
1726963260000,0.2863000,0.2876000,0.2861000,0.2867000,785793,1726963319999,225491.7677000,779,429799,123353.4998000,0
1726963320000,0.2868000,0.2875000,0.2864000,0.2871000,886819,1726963379999,254420.1104000,836,520743,149403.2440000,0
1726963380000,0.2871000,0.2871000,0.2861000,0.2864000,646754,1726963439999,185371.1950000,706,299542,85868.6207000,0
1726963440000,0.2863000,0.2870000,0.2858000,0.2860000,717939,1726963499999,205507.9293000,640,247226,70813.5315000,0
1726963500000,0.2859000,0.2873000,0.2857000,0.2864000,514167,1726963559999,147382.3487000,579,297231,85180.1802000,0
1726963560000,0.2864000,0.2869000,0.2858000,0.2865000,563994,1726963619999,161453.7719000,630,294091,84209.2435000,0
1726963620000,0.2865000,0.2873000,0.2863000,0.2863000,1146054,1726963679999,328557.6362000,890,588152,168626.9126000,0
1726963680000,0.2864000,0.2866000,0.2852000,0.2859000,843168,1726963739999,240980.4343000,956,366896,104896.5305000,0
1726963740000,0.2859000,0.2862000,0.2853000,0.2861000,494190,1726963799999,141199.7362000,502,282741,80788.1614000,0
1726963800000,0.2862000,0.2869000,0.2849000,0.2858000,816269,1726963859999,233537.2667000,848,424580,121459.6198000,0
1726963860000,0.2858000,0.2858000,0.2844000,0.2848000,759147,1726963919999,216361.1347000,741,262763,74868.8747000,0
1726963920000,0.2847000,0.2849000,0.2838000,0.2844000,930414,1726963979999,264560.0378000,833,423342,120399.0500000,0
1726963980000,0.2845000,0.2854000,0.2841000,0.2850000,553133,1726964039999,157538.3497000,594,312232,88929.5082000,0
1726964040000,0.2849000,0.2857000,0.2844000,0.2852000,408630,1726964099999,116458.0413000,481,228446,65123.1309000,0
1726964100000,0.2852000,0.2859000,0.2846000,0.2856000,483668,1726964159999,137935.2740000,543,262550,74869.6638000,0
