open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1706400000000,2267.00,2267.50,2261.94,2266.49,33315.604,1706403599999,75452073.90411,50741,16993.772,38488087.64716,0
1706403600000,2266.48,2288.71,2266.48,2277.96,111059.924,1706407199999,253118029.74553,139381,60833.132,138651790.66904,0
1706407200000,2277.95,2283.59,2275.18,2278.28,37701.563,1706410799999,85939313.71732,60597,18483.121,42135012.55732,0
1706410800000,2278.29,2288.64,2277.52,2285.99,45655.691,1706414399999,104198130.02600,55356,26696.744,60938974.52339,0
1706414400000,2285.98,2304.52,2283.63,2302.97,127718.335,1706417999999,292844514.46351,143415,72855.119,167083553.40454,0
1706418000000,2302.98,2308.00,2285.96,2289.76,106207.722,1706421599999,243909056.82650,142352,48721.367,111895719.32644,0
1706421600000,2289.76,2290.58,2282.43,2286.49,48600.346,1706425199999,111140527.20231,69938,21655.215,49520160.03078,0
1706425200000,2286.50,2292.56,2280.41,2281.84,44840.220,1706428799999,102525847.11983,59719,19996.784,45729793.88891,0
1706428800000,2281.83,2289.99,2276.66,2285.07,71507.999,1706432399999,163311937.36213,91577,35861.750,81915629.62577,0
1706432400000,2285.06,2301.81,2283.33,2293.89,72441.673,1706435999999,166104346.54144,86655,40782.649,93521734.27006,0
1706436000000,2293.89,2295.05,2287.26,2292.56,46211.938,1706439599999,105902886.72394,63876,23373.211,53565274.77447,0
1706439600000,2292.56,2293.42,2275.70,2280.19,63896.540,1706443199999,145820161.20107,85376,27159.063,61968417.71837,0
1706443200000,2280.20,2281.69,2267.62,2275.82,95443.805,1706446799999,217016841.12491,117640,46500.906,105742949.28084,0
1706446800000,2275.82,2280.99,2270.08,2278.30,48461.858,1706450399999,110317345.18249,67717,24404.074,55558082.38445,0
1706450400000,2278.30,2285.59,2262.16,2266.87,86588.286,1706453999999,196920670.30361,104045,40090.243,91199775.23589,0
1706454000000,2266.88,2274.60,2260.57,2269.16,69441.472,1706457599999,157542446.90394,89624,32533.861,73817891.12525,0
1706457600000,2269.16,2275.31,2266.11,2273.62,38884.088,1706461199999,88302682.50434,59363,20504.212,46568333.19363,0
1706461200000,2273.61,2273.77,2261.22,2268.48,50345.148,1706464799999,114125930.18411,69400,24162.400,54773409.58318,0
1706464800000,2268.48,2269.75,2255.17,2260.36,66565.444,1706468399999,150524076.49808,89016,32077.079,72534977.43141,0
1706468400000,2260.36,2265.70,2245.04,2253.09,102278.581,1706471999999,230534787.43241,115987,44881.142,101191451.13181,0
1706472000000,2253.08,2262.62,2248.44,2261.04,59228.820,1706475599999,133611485.09103,81595,33751.162,76143250.64134,0
1706475600000,2261.04,2265.71,2257.48,2262.40,32987.562,1706479199999,74609887.22365,56499,16298.876,36865749.18597,0
1706479200000,2262.39,2263.08,2236.56,2248.57,77342.159,1706482799999,173867389.58253,85271,30932.121,69544005.07012,0
1706482800000,2248.57,2259.75,2244.57,2256.00,59944.344,1706486399999,135005464.74897,74248,33904.977,76376708.57364,0
