open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1720483200000,3017.51,3018.57,3015.45,3015.80,1509.418,1720483259999,4554762.13136,1853,678.554,2047458.38210,0
1720483260000,3015.80,3015.80,3013.02,3013.35,1692.450,1720483319999,5101126.01803,2279,377.821,1138882.09074,0
1720483320000,3013.35,3017.19,3012.60,3016.89,2285.789,1720483379999,6889134.76736,2299,1045.463,3151122.52408,0
1720483380000,3016.88,3017.20,3013.40,3014.85,1275.075,1720483439999,3844668.86430,1880,436.378,1315603.22370,0
1720483440000,3014.86,3017.11,3014.86,3016.36,1903.156,1720483499999,5740219.17985,2189,1351.275,4075654.49602,0
1720483500000,3016.37,3019.95,3015.66,3019.69,2724.479,1720483559999,8222708.91250,2497,767.655,2316872.39594,0
1720483560000,3019.68,3020.21,3017.48,3018.96,2105.120,1720483619999,6355114.22765,2447,1122.130,3387871.48601,0
1720483620000,3018.96,3019.87,3016.42,3018.19,1275.090,1720483679999,3847593.38953,1641,1057.302,3190392.61070,0
1720483680000,3018.19,3018.55,3016.48,3016.48,445.430,1720483739999,1344047.97702,1584,203.278,613431.93448,0
1720483740000,3016.48,3017.12,3014.00,3017.12,662.810,1720483799999,1998485.75577,1455,104.921,316416.60837,0
1720483800000,3017.12,3019.09,3016.00,3019.07,1405.627,1720483859999,4242290.37996,1634,806.395,2434046.64320,0
1720483860000,3019.06,3019.76,3017.46,3018.14,3131.006,1720483919999,9451500.77021,2641,1565.116,4724511.33872,0
1720483920000,3018.14,3020.71,3018.14,3020.27,1307.562,1720483979999,3948297.11492,1407,938.418,2833583.88173,0
1720483980000,3020.28,3021.04,3018.01,3018.02,931.294,1720484039999,2812682.29658,1359,261.366,789335.36360,0
1720484040000,3018.02,3019.43,3016.99,3018.44,925.664,1720484099999,2793523.51714,1538,243.668,735360.79286,0
1720484100000,3018.45,3018.78,3016.77,3016.78,877.471,1720484159999,2647931.86319,1320,418.252,1262186.93033,0
1720484160000,3016.79,3018.00,3016.44,3017.35,417.288,1720484219999,1258923.74571,1072,165.101,498113.15255,0
1720484220000,3017.36,3017.36,3014.76,3016.72,1463.057,1720484279999,4412067.09762,1770,557.387,1680796.39101,0
1720484280000,3016.73,3022.46,3016.73,3021.77,1196.634,1720484339999,3614170.90426,2239,712.317,2151200.17376,0
1720484340000,3021.77,3022.61,3020.83,3020.83,849.795,1720484399999,2568049.14779,1398,365.145,1103497.93313,0
1720484400000,3020.83,3020.83,3014.73,3017.64,2896.125,1720484459999,8737011.73350,3730,1424.998,4298938.39487,0
1720484460000,3017.63,3017.63,3016.16,3017.33,657.895,1720484519999,1984767.73384,1407,227.619,686692.08319,0
1720484520000,3017.33,3017.52,3015.33,3016.29,1063.090,1720484579999,3206629.61638,1832,559.843,1688678.80633,0
1720484580000,3016.29,3016.37,3014.93,3015.79,1095.444,1720484639999,3303537.01233,1100,370.466,1117204.00112,0
1720484640000,3015.79,3015.94,3014.31,3014.72,817.423,1720484699999,2464335.20566,1463,311.528,939133.74634,0
1720484700000,3014.72,3015.86,3014.11,3015.76,730.413,1720484759999,2202097.83902,1369,312.097,940969.33679,0
1720484760000,3015.76,3015.76,3014.00,3015.00,655.447,1720484819999,1975934.36043,1284,247.660,746584.99114,0
1720484820000,3015.00,3015.00,3013.68,3013.68,565.727,1720484879999,1705237.92518,1060,177.362,534619.08777,0
1720484880000,3013.68,3013.69,3011.97,3012.34,2368.213,1720484939999,7134146.76877,2049,882.259,2657539.82806,0
1720484940000,3012.33,3012.55,3011.29,3011.99,2154.282,1720484999999,6488683.84076,2482,823.076,2479037.08101,0
1720485000000,3011.98,3012.18,3004.31,3005.20,5630.338,1720485059999,16932440.00342,5995,2619.715,7878111.02040,0
1720485060000,3005.20,3007.58,3002.56,3004.35,3493.127,1720485119999,10494768.85385,4021,1054.895,3169728.16638,0
1720485120000,3004.34,3008.60,3003.28,3008.60,3506.220,1720485179999,10540696.74986,3637,2831.017,8510565.11547,0
1720485180000,3008.60,3009.53,3005.53,3006.77,818.705,1720485239999,2461739.50917,1712,276.002,829819.66751,0
1720485240000,3006.78,3012.29,3006.78,3011.89,855.952,1720485299999,2575980.83064,2147,672.749,2024606.53160,0
1720485300000,3011.88,3015.20,3010.12,3015.15,991.692,1720485359999,2987630.75955,2480,801.145,2413754.19057,0
1720485360000,3015.14,3018.62,3013.73,3017.45,1161.294,1720485419999,3503144.42780,2506,795.551,2399746.11948,0
1720485420000,3017.68,3018.90,3016.00,3018.89,1091.683,1720485479999,3293942.18421,1876,636.021,1919323.65086,0
1720485480000,3018.89,3021.25,3018.55,3020.06,800.240,1720485539999,2416695.70896,1989,529.313,1598507.93443,0
1720485540000,3020.06,3020.61,3018.10,3019.57,1286.593,1720485599999,3884782.82014,1753,331.167,999952.35229,0
1720485600000,3019.58,3021.10,3019.41,3019.42,597.125,1720485659999,1803490.13937,1341,259.080,782479.15658,0
1720485660000,3019.41,3020.40,3018.48,3019.63,1261.106,1720485719999,3807683.58752,1661,888.233,2681909.57079,0
1720485720000,3019.62,3022.51,3019.36,3022.18,554.013,1720485779999,1673707.28940,1376,472.916,1428725.20160,0
1720485780000,3022.19,3023.00,3021.00,3021.26,1197.103,1720485839999,3617848.55423,1712,453.400,1370334.86995,0
1720485840000,3021.26,3021.30,3019.30,3019.90,611.583,1720485899999,1847013.60470,1182,229.584,693353.64337,0
1720485900000,3019.90,3029.94,3019.90,3029.94,2861.768,1720485959999,8656945.86470,3461,2362.086,7146324.89241,0
1720485960000,3029.93,3034.50,3022.65,3023.32,3548.159,1720486019999,10751468.10903,5832,1432.740,4341899.57881,0
1720486020000,3023.33,3024.69,3012.91,3019.16,2537.784,1720486079999,7656538.57357,5952,884.523,2668673.42326,0
1720486080000,3019.16,3025.38,3018.52,3019.55,1727.330,1720486139999,5220778.67191,4263,733.128,2215959.98138,0
1720486140000,3019.55,3024.36,3019.28,3021.90,555.856,1720486199999,1679964.03084,2612,293.173,886059.71987,0
1720486200000,3021.90,3025.96,3020.19,3020.19,1184.799,1720486259999,3582283.59896,3343,728.285,2202271.82239,0
1720486260000,3020.18,3020.18,3015.15,3018.64,1995.537,1720486319999,6020795.85363,4352,504.766,1523002.11512,0
1720486320000,3018.65,3021.26,3017.46,3021.26,495.813,1720486379999,1497072.05356,2025,345.294,1042583.15924,0
1720486380000,3021.27,3022.52,3019.41,3020.76,646.538,1720486439999,1953188.17262,2004,338.773,1023455.35488,0
1720486440000,3020.75,3021.93,3019.08,3019.67,849.493,1720486499999,2565619.03392,1750,360.042,1087368.12142,0
1720486500000,3019.62,3020.36,3017.71,3018.99,419.147,1720486559999,1265300.72309,1965,161.183,486576.72412,0
