open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1693353600000,21.7720,21.9340,21.7710,21.8990,323654,1693354499999,7074446.4890,9906,183538,4012090.9040,0
1693354500000,21.8990,21.9880,21.8080,21.8440,472221,1693355399999,10340833.2770,13096,227595,4984821.6530,0
1693355400000,21.8450,21.9110,21.8040,21.8340,156915,1693356299999,3430693.0700,6161,71835,1570620.3220,0
1693356300000,21.8340,21.8340,21.6500,21.6500,298493,1693357199999,6480702.6620,9399,136151,2955515.9890,0
1693357200000,21.6510,21.6680,21.5230,21.6340,440757,1693358099999,9522961.9500,12687,208299,4501165.7540,0
1693358100000,21.6340,21.6430,21.5340,21.5820,231240,1693358999999,4993383.5110,7380,123728,2672068.9500,0
1693359000000,21.5830,21.7080,21.5120,21.6830,326797,1693359899999,7063868.0430,9327,183756,3972313.8340,0
1693359900000,21.6830,21.6930,21.6200,21.6470,126848,1693360799999,2746065.6580,4553,57101,1236258.5510,0
1693360800000,21.6470,21.6850,21.6050,21.6060,146475,1693361699999,3172001.8940,5152,62318,1349599.6600,0
1693361700000,21.6070,21.6490,21.5310,21.5380,199243,1693362599999,4302091.6490,6702,80006,1727695.9800,0
1693362600000,21.5390,21.6700,21.5200,21.6160,180795,1693363499999,3904939.2530,5626,98562,2128879.6270,0
1693363500000,21.6160,21.6440,21.5760,21.5760,104665,1693364399999,2262076.1900,3232,47223,1020814.0430,0
1693364400000,21.5750,21.5940,21.5080,21.5300,193117,1693365299999,4162627.2340,6269,98354,2120580.6880,0
1693365300000,21.5300,21.5560,21.4540,21.5030,372845,1693366199999,8012080.5330,10711,166023,3568258.0400,0
1693366200000,21.5030,21.5970,21.4960,21.5860,118935,1693367099999,2563268.8730,4121,64798,1396637.4900,0
1693367100000,21.5860,21.6640,21.5840,21.6250,147456,1693367999999,3189777.6910,4830,79227,1713636.8750,0
1693368000000,21.6250,21.7000,21.6090,21.6730,188022,1693368899999,4071989.8870,5565,97813,2118489.5430,0
1693368900000,21.6720,21.6760,21.6020,21.6390,97898,1693369799999,2118358.5550,3546,39047,844943.3680,0
1693369800000,21.6390,21.6790,21.6120,21.6730,76981,1693370699999,1666728.7720,3061,36302,786003.2930,0
1693370700000,21.6740,21.7150,21.6730,21.6880,100321,1693371599999,2176124.9510,2925,54908,1191091.0090,0
1693371600000,21.6870,21.7340,21.6630,21.7060,158091,1693372499999,3431658.1980,4587,82507,1791145.8780,0
1693372500000,21.7060,21.7120,21.6510,21.6760,152911,1693373399999,3314939.7850,3484,74949,1624853.6780,0
1693373400000,21.6760,21.7060,21.6540,21.6920,78168,1693374299999,1694912.4860,2445,40334,874458.9480,0
1693374300000,21.6930,21.7350,21.6460,21.7300,135736,1693375199999,2945241.2930,3492,70635,1532837.8320,0
1693375200000,21.7290,21.7380,21.6850,21.7120,156273,1693376099999,3393534.2760,3450,48696,1057469.0310,0
