open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1747008000000,173.1000,175.7100,172.9700,174.4400,971804.42,1747011599999,169525634.077000,129313,511631.91,89256352.305300,0
1747011600000,174.4400,175.9900,171.6200,173.6500,1188045.93,1747015199999,206602275.876610,173148,612173.81,106455726.429540,0
1747015200000,173.6600,176.8600,172.8500,173.9100,1575021.28,1747018799999,275235518.867900,201728,731973.20,127967300.610670,0
1747018800000,173.9000,174.8000,172.9300,174.8000,687426.80,1747022399999,119498677.587010,94923,359016.77,62418328.310110,0
1747022400000,174.8000,176.0500,173.9900,175.7400,701222.65,1747025999999,122763703.601500,105002,352265.34,61676071.808800,0
1747026000000,175.7300,176.1100,173.5200,174.4500,618268.95,1747029599999,108029725.350790,99213,269411.50,47074760.507200,0
1747029600000,174.4500,175.9200,173.7200,175.6400,612172.23,1747033199999,107145077.428000,99536,306979.69,53727428.964200,0
1747033200000,175.6400,180.0000,174.6100,176.0100,4676329.45,1747036799999,832566195.941740,513284,2479511.71,441651627.772720,0
1747036800000,176.0100,177.1400,173.5500,176.4700,1763329.31,1747040399999,308899342.603450,220201,875762.81,153495117.233660,0
1747040400000,176.4800,176.8700,175.4300,175.6000,601073.82,1747043999999,105884373.703800,100351,274042.99,48278815.985900,0
1747044000000,175.6000,176.1100,174.6900,175.8500,615695.85,1747047599999,108005281.970300,111409,286486.07,50271076.730100,0
1747047600000,175.8500,176.3400,173.6600,174.0100,811277.99,1747051199999,141928593.574170,130143,358110.48,62656765.788260,0
1747051200000,174.0100,176.9000,173.8900,176.2900,975666.59,1747054799999,171210911.155060,144897,521410.99,91521293.342360,0
1747054800000,176.3000,180.6800,175.7100,179.2600,3043653.28,1747058399999,542535524.419190,335388,1568040.04,279659956.464460,0
1747058400000,179.2500,181.4400,175.2200,175.8100,4515455.65,1747061999999,804233435.256130,470382,2210114.07,393817797.449260,0
1747062000000,175.8100,177.2000,174.0100,174.3400,2166262.32,1747065599999,380328790.271950,272623,1036332.70,182015507.739360,0
1747065600000,174.3400,176.2200,173.1700,175.8700,1214553.82,1747069199999,212310459.045200,179292,623525.96,108994185.326500,0
1747069200000,175.8700,176.6100,171.6900,172.0500,1160197.72,1747072799999,201608451.087100,151415,489526.56,85110643.923760,0
1747072800000,172.0400,172.6400,168.2700,170.3600,2691015.77,1747076399999,458565228.596530,308530,1225144.42,208854066.765940,0
1747076400000,170.3600,171.5900,169.6900,171.1300,1288531.06,1747079999999,219972938.731040,160430,654680.87,111811868.424440,0
1747080000000,171.1300,172.7600,170.3300,172.1900,694654.59,1747083599999,119342618.051540,102772,369270.63,63439678.898240,0
1747083600000,172.2000,172.8800,171.8100,172.6000,319072.29,1747087199999,54999002.314900,57387,152641.23,26314349.954400,0
1747087200000,172.5900,174.5800,172.0200,173.6200,481772.01,1747090799999,83545334.025590,86599,260243.21,45120779.715890,0
1747090800000,173.6300,174.7900,173.5500,174.1400,338095.18,1747094399999,58885964.667020,65074,156169.31,27207479.279920,0
