open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1689465600000,0.7145,0.7231,0.7112,0.7201,127478722.2,1689469199999,91429482.67994,94176,66542966.0,47727979.61581,0
1689469200000,0.7202,0.7273,0.7168,0.7190,115505815.4,1689472799999,83359311.39686,83637,58010054.1,41871008.03007,0
1689472800000,0.7191,0.7245,0.6980,0.7204,228560154.0,1689476399999,163416641.23890,173508,110671781.9,79152324.39383,0
1689476400000,0.7203,0.7210,0.7101,0.7116,119515655.6,1689479999999,85467954.25505,83460,58714224.9,41994198.40494,0
1689480000000,0.7116,0.7129,0.7067,0.7117,78874628.5,1689483599999,56025655.50353,59805,39075169.2,27759630.39896,0
1689483600000,0.7116,0.7154,0.7101,0.7135,61857297.6,1689487199999,44085092.07281,43899,31153925.7,22204590.29105,0
1689487200000,0.7135,0.7196,0.7111,0.7156,75570084.0,1689490799999,54078000.84446,56448,37895424.1,27117647.17045,0
1689490800000,0.7156,0.7180,0.7144,0.7149,47002157.1,1689494399999,33660208.06648,36339,23037215.3,16499065.76403,0
1689494400000,0.7150,0.7193,0.7136,0.7180,50275640.0,1689497999999,36039454.04807,39421,24996037.8,17918529.73576,0
1689498000000,0.7180,0.7230,0.7160,0.7204,64839239.1,1689501599999,46675441.32264,51314,34078609.1,24533643.77854,0
1689501600000,0.7204,0.7625,0.7196,0.7387,790301757.7,1689505199999,589263824.85592,573180,402327209.4,299926441.33642,0
1689505200000,0.7387,0.7546,0.7333,0.7496,288095401.9,1689508799999,214823105.73998,215085,148928907.5,111062073.75729,0
1689508800000,0.7496,0.7558,0.7414,0.7481,213371678.4,1689512399999,159591058.10217,156159,103392142.8,77350841.69088,0
1689512400000,0.7480,0.7501,0.7420,0.7463,113229746.9,1689515999999,84405172.29512,92616,55006232.8,41009354.35931,0
1689516000000,0.7464,0.7788,0.7461,0.7684,535308665.7,1689519599999,409039923.99793,380959,269838958.3,206194615.43868,0
1689519600000,0.7684,0.7793,0.7638,0.7710,300530317.7,1689523199999,231671013.94971,223587,148939708.4,114840219.58812,0
1689523200000,0.7710,0.7729,0.7603,0.7652,226812956.3,1689526799999,174054740.49218,165069,107728058.2,82688070.58994,0
1689526800000,0.7652,0.7786,0.7626,0.7733,206257839.5,1689530399999,159281884.71284,154839,105786646.2,81694818.40932,0
1689530400000,0.7733,0.7899,0.7636,0.7694,532818296.6,1689533999999,414410650.35436,391333,263272377.0,204851589.46927,0
1689534000000,0.7693,0.7713,0.7200,0.7417,386114209.6,1689537599999,289978478.79959,284830,172575445.8,129775937.50996,0
1689537600000,0.7417,0.7478,0.7373,0.7421,181854619.9,1689541199999,135191821.85934,139080,92128262.1,68496538.60764,0
1689541200000,0.7421,0.7591,0.7411,0.7563,151268021.5,1689544799999,113727103.70598,113125,78886196.6,59296198.99748,0
1689544800000,0.7564,0.7618,0.7533,0.7542,137179706.1,1689548399999,103890294.10395,95892,64682616.2,48996620.64704,0
1689548400000,0.7541,0.7563,0.7401,0.7463,215348812.4,1689551999999,161008039.61849,138542,103500080.1,77380726.16918,0
