open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713225600000,0.4974,0.4975,0.4958,0.4960,1501730.1,1713225659999,745538.46379,1420,499951.8,248214.59874,0
1713225660000,0.4959,0.4961,0.4951,0.4954,1183839.6,1713225719999,586661.51348,1712,445980.7,221016.06329,0
1713225720000,0.4953,0.4963,0.4951,0.4961,956167.7,1713225779999,473924.64962,1055,524482.6,259965.07671,0
1713225780000,0.4961,0.4962,0.4954,0.4958,513950.1,1713225839999,254775.80232,596,199667.1,98986.02673,0
1713225840000,0.4959,0.4966,0.4957,0.4963,736889.9,1713225899999,365679.73813,722,339835.5,168658.80988,0
1713225900000,0.4964,0.4972,0.4959,0.4959,1329654.1,1713225959999,660195.33891,1014,360288.8,178857.45736,0
1713225960000,0.4959,0.4959,0.4953,0.4956,1583959.9,1713226019999,784960.56556,1107,519567.2,257502.39283,0
1713226020000,0.4955,0.4955,0.4947,0.4952,904014.7,1713226079999,447652.54836,768,458950.3,227255.80359,0
1713226080000,0.4952,0.4955,0.4947,0.4948,736302.4,1713226139999,364572.28758,755,431314.5,213587.43606,0
1713226140000,0.4949,0.4953,0.4949,0.4950,255343.1,1713226199999,126412.06912,346,110704.1,54805.02253,0
1713226200000,0.4950,0.4955,0.4949,0.4955,400299.4,1713226259999,198177.26935,389,280675.6,138957.93055,0
1713226260000,0.4954,0.4967,0.4952,0.4961,700096.4,1713226319999,347296.09982,789,325731.9,161547.59797,0
1713226320000,0.4960,0.4969,0.4958,0.4964,774720.7,1713226379999,384572.05899,638,247220.6,122708.69013,0
1713226380000,0.4965,0.4974,0.4963,0.4973,932703.1,1713226439999,463722.16188,637,424699.4,211141.71431,0
1713226440000,0.4974,0.4976,0.4971,0.4975,511927.6,1713226499999,254555.38333,447,214013.0,106420.56015,0
1713226500000,0.4975,0.4979,0.4970,0.4972,1110653.2,1713226559999,552490.75223,736,470736.7,234183.56717,0
1713226560000,0.4972,0.4975,0.4969,0.4971,632610.7,1713226619999,314490.92583,584,219696.5,109218.99517,0
1713226620000,0.4970,0.4972,0.4964,0.4964,766706.5,1713226679999,380936.62064,682,316267.9,157168.05795,0
1713226680000,0.4964,0.4966,0.4949,0.4951,630491.2,1713226739999,312524.28108,734,315105.1,156144.98269,0
1713226740000,0.4951,0.4951,0.4941,0.4944,1200486.2,1713226799999,593600.52787,1034,543562.0,268746.61038,0
1713226800000,0.4944,0.4949,0.4942,0.4948,836302.9,1713226859999,413583.56427,733,453875.3,224449.07433,0
1713226860000,0.4947,0.4951,0.4943,0.4946,2228684.6,1713226919999,1102643.87940,759,435151.7,215226.58415,0
1713226920000,0.4945,0.4956,0.4943,0.4949,1227850.5,1713226979999,607716.01467,823,678676.3,335907.78270,0
1713226980000,0.4949,0.4956,0.4948,0.4953,911680.7,1713227039999,451440.71128,639,464946.1,230224.43919,0
1713227040000,0.4953,0.4953,0.4943,0.4945,738347.5,1713227099999,365175.12874,617,232370.0,114930.50725,0
