open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1744502400000,597.110,597.220,594.790,596.670,13486.09,1744505999999,8037459.17820,21770,5779.98,3445753.79650,0
1744506000000,596.670,598.460,593.540,594.210,18213.00,1744509599999,10856810.89670,30461,9340.83,5570205.88570,0
1744509600000,594.200,595.080,592.790,594.650,15960.59,1744513199999,9479917.00180,27203,8352.58,4962038.05260,0
1744513200000,594.650,596.000,593.920,595.510,11849.32,1744516799999,7048587.79790,19639,6920.06,4116973.14190,0
1744516800000,595.500,595.600,591.220,592.110,18656.39,1744520399999,11064993.96350,27831,7894.62,4682686.95300,0
1744520400000,592.100,593.220,590.550,592.590,11855.32,1744523999999,7017846.87470,24937,5588.61,3308190.23140,0
1744524000000,592.600,593.930,592.500,592.550,9748.98,1744527599999,5783395.87650,18924,4943.73,2932854.90910,0
1744527600000,592.550,593.870,591.810,593.030,8558.61,1744531199999,5074946.93830,17022,3619.13,2145946.47200,0
1744531200000,593.030,593.650,592.170,593.450,9299.56,1744534799999,5514946.18260,19208,4882.77,2895714.97780,0
1744534800000,593.460,594.100,592.250,594.020,13415.25,1744538399999,7958311.27350,21598,7035.09,4173823.42330,0
1744538400000,594.030,594.390,590.080,590.720,17636.30,1744541999999,10433318.60390,29936,7706.17,4558906.33240,0
1744542000000,590.730,590.730,587.110,588.250,24798.94,1744545599999,14592466.71780,36027,12155.87,7152905.98530,0
1744545600000,588.250,588.420,586.700,587.130,15846.01,1744549199999,9307370.46010,27191,8445.26,4960586.16970,0
1744549200000,587.130,588.940,582.970,583.870,43056.19,1744552799999,25223616.97140,49320,20325.34,11908423.65950,0
1744552800000,583.870,585.590,583.070,585.050,26265.93,1744556399999,15348372.18780,36538,14478.62,8460278.66000,0
1744556400000,585.050,585.060,583.320,583.820,19433.27,1744559999999,11346622.06370,25986,7139.31,4168824.55520,0
1744560000000,583.820,585.950,583.790,584.960,15668.95,1744563599999,9162642.25760,23699,9400.00,5496593.65920,0
1744563600000,584.960,588.660,584.400,588.190,21896.87,1744567199999,12854810.15010,33945,11841.48,6950344.56320,0
1744567200000,588.220,589.200,585.470,586.090,19926.19,1744570799999,11699180.08090,32333,8674.53,5093269.48970,0
1744570800000,586.080,586.120,579.170,582.330,41513.45,1744574399999,24163441.02640,58874,19603.56,11410183.72540,0
1744574400000,582.340,585.050,581.050,581.730,25066.99,1744577999999,14618244.43640,42933,13220.80,7711363.77370,0
1744578000000,581.730,583.640,580.260,582.890,16500.68,1744581599999,9598001.64130,30768,8972.65,5219650.16740,0
1744581600000,582.900,584.060,582.010,582.280,11503.97,1744585199999,6706902.79420,24041,5596.15,3262538.49550,0
1744585200000,582.280,584.330,581.890,584.060,12372.28,1744588799999,7216211.02020,23604,6077.13,3545046.64530,0
