open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1745193600000,85138.90,85346.10,85100.00,85295.40,2385.467,1745194499999,203339095.32240,32885,1453.328,123898185.63020,0
1745194500000,85295.30,86331.80,85295.30,86182.60,13569.387,1745195399999,1163845224.88680,142086,9402.304,806370839.24110,0
1745195400000,86183.20,86820.00,86183.20,86644.20,12086.088,1745196299999,1046066795.86860,167937,6575.570,569163073.33810,0
1745196300000,86644.30,86997.00,86511.40,86600.00,6469.385,1745197199999,561598241.49220,104194,3220.324,279614551.37310,0
1745197200000,86599.90,87250.00,86599.90,86929.90,8052.302,1745198099999,700383502.69850,120634,4050.790,352335079.43660,0
1745198100000,86929.90,87140.00,86790.00,87059.90,2916.010,1745198999999,253545426.46900,50052,1429.934,124332921.65660,0
1745199000000,87059.90,87396.80,87030.90,87230.00,4699.995,1745199899999,409925533.91350,70345,2787.900,243177808.98980,0
1745199900000,87230.10,87418.30,87100.70,87248.90,5087.999,1745200799999,443977703.98700,71171,2063.965,180132394.81130,0
1745200800000,87248.90,87375.10,87100.00,87245.00,2578.156,1745201699999,224831085.40340,45752,1252.340,109205411.00690,0
1745201700000,87245.00,87621.80,87181.80,87337.30,4086.037,1745202599999,357233465.49060,57477,2043.471,178687674.77640,0
1745202600000,87337.30,87466.80,87098.00,87132.20,2641.364,1745203499999,230479625.45550,44212,1442.378,125876324.37320,0
1745203500000,87132.30,87375.60,87116.80,87310.80,1630.908,1745204399999,142333942.41970,29327,704.836,61508337.19100,0
1745204400000,87310.80,87587.00,87310.80,87378.50,2132.308,1745205299999,186451558.43370,35950,1100.813,96252577.35080,0
1745205300000,87378.60,87478.80,87311.60,87343.60,1237.978,1745206199999,108189214.00880,23774,455.215,39784082.65370,0
1745206200000,87343.70,87410.00,87173.10,87207.50,1380.832,1745207099999,120507709.49980,29614,636.800,55573304.83860,0
1745207100000,87207.50,87285.70,87118.00,87166.60,1253.037,1745207999999,109262964.15120,24571,615.624,53681722.32050,0
1745208000000,87166.60,87300.00,87124.40,87214.90,1387.483,1745208899999,121033360.93180,24416,602.746,52581862.02990,0
1745208900000,87214.90,87215.00,87060.20,87067.20,1382.393,1745209799999,120441958.89340,28501,520.308,45330883.51870,0
1745209800000,87067.10,87264.70,87007.00,87216.40,1566.249,1745210699999,136447086.22510,28453,875.540,76275658.46970,0
1745210700000,87216.50,87355.10,87185.80,87315.60,1325.664,1745211599999,115724285.42630,22083,703.524,61415189.86380,0
1745211600000,87315.70,87464.90,87284.30,87328.70,1400.126,1745212499999,122333416.33690,25623,623.028,54436326.84090,0
1745212500000,87328.80,87425.50,87328.70,87419.90,559.463,1745213399999,48894591.87530,15695,264.149,23085333.03960,0
1745213400000,87420.00,87465.00,87312.90,87424.60,730.375,1745214299999,63840517.26940,14600,294.232,25719202.65260,0
1745214300000,87424.60,87702.30,87424.50,87505.00,3283.439,1745215199999,287550166.22320,46158,1913.561,167601373.50000,0
1745215200000,87504.90,87651.50,87423.90,87444.90,1389.583,1745216099999,121609881.51660,24689,622.005,54438563.20570,0
1745216100000,87445.00,87545.40,87400.00,87460.80,1181.810,1745216999999,103377286.93680,23309,616.498,53930079.40940,0
1745217000000,87460.90,87478.60,87329.60,87374.60,941.909,1745217899999,82305294.74730,18159,388.788,33973083.79120,0
1745217900000,87374.50,87508.90,87370.60,87475.60,627.616,1745218799999,54892507.29860,13482,313.598,27427471.86660,0
1745218800000,87475.60,87577.10,87398.30,87441.30,926.128,1745219699999,81037365.18780,17107,392.133,34315580.82340,0
1745219700000,87441.30,87448.00,87298.50,87374.40,965.517,1745220599999,84363792.59070,16744,415.665,36320494.00520,0
1745220600000,87374.40,87525.20,87374.40,87509.40,1196.019,1745221499999,104618363.17890,16380,785.798,68736916.40800,0
1745221500000,87509.40,87560.00,87391.20,87400.60,932.454,1745222399999,81553944.67830,15160,436.833,38211982.12870,0
1745222400000,87400.70,87582.00,87382.70,87489.60,954.223,1745223299999,83495233.67900,17263,498.021,43576637.48630,0
1745223300000,87489.70,87675.00,87424.50,87600.00,1228.561,1745224199999,107565414.42810,19885,632.022,55333124.95910,0
1745224200000,87600.00,87620.00,87529.90,87544.40,649.765,1745225099999,56901058.14770,14440,272.032,23822353.06310,0
1745225100000,87544.30,87626.30,87510.00,87536.40,491.203,1745225999999,43014574.98060,11848,214.498,18784427.02760,0
1745226000000,87536.40,87777.00,87479.80,87498.90,2570.279,1745226899999,225223758.37640,32722,1252.451,109770654.45050,0
1745226900000,87499.00,87527.30,87262.00,87298.20,2140.357,1745227799999,187001739.07700,29026,935.541,81736666.89680,0
1745227800000,87298.20,87400.20,87260.40,87358.60,2399.257,1745228699999,209498512.22720,25147,901.376,78712406.09240,0
1745228700000,87358.60,87478.00,87358.00,87473.40,967.062,1745229599999,84554441.73390,15338,511.613,44731621.51150,0
1745229600000,87473.30,87535.00,87299.90,87369.70,1991.620,1745230499999,174082486.74460,22061,807.569,70612916.80860,0
1745230500000,87369.80,87393.80,87226.70,87250.10,1286.749,1745231399999,112334585.51320,15971,313.929,27411147.04370,0
1745231400000,87250.10,87280.00,87208.20,87224.30,1606.749,1745232299999,140163251.04260,21566,784.094,68400266.39850,0
1745232300000,87224.30,87362.30,87213.00,87305.10,1031.800,1745233199999,90069449.15730,15720,609.711,53225487.36790,0
1745233200000,87305.00,87313.00,87077.10,87120.20,1785.091,1745234099999,155626675.26230,27000,640.142,55793860.98630,0
1745234100000,87120.20,87120.20,86610.00,86779.50,6496.758,1745234999999,563980921.92990,78652,3043.991,264229510.89170,0
1745235000000,86779.60,86889.90,86724.40,86889.90,1829.410,1745235899999,158790888.79710,31683,1221.076,105989142.81670,0
