open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1746489600000,94696.70,94746.00,94379.50,94558.50,3929.242,1746493199999,371605600.07040,69547,1644.052,155476280.49860,0
1746493200000,94558.40,94893.30,94251.70,94254.70,4703.605,1746496799999,444697084.99300,86510,2189.411,207043973.75930,0
1746496800000,94254.80,94358.00,93961.00,94291.30,4792.376,1746500399999,451220765.12170,92128,2463.094,231919432.64360,0
1746500400000,94291.20,94473.90,94181.10,94418.30,2575.175,1746503999999,242934234.73400,50135,1518.755,143274561.70820,0
1746504000000,94418.40,94552.40,94300.30,94540.70,2209.451,1746507599999,208696431.33970,44303,1235.295,116685427.76970,0
1746507600000,94540.70,94572.20,94267.00,94300.00,2970.962,1746511199999,280361173.98650,47263,1403.212,132410199.82600,0
1746511200000,94300.00,94464.00,94300.00,94464.00,1366.064,1746514799999,128946715.27450,30517,753.136,71091332.05070,0
1746514800000,94464.00,94600.00,94310.00,94350.00,2315.856,1746518399999,218710504.80650,49768,1208.401,114125679.64530,0
1746518400000,94350.00,94354.60,93931.10,94341.70,7167.006,1746521999999,674723079.11790,92022,3375.314,317761546.16660,0
1746522000000,94341.60,94341.70,94068.00,94179.60,2013.884,1746525599999,189649628.51040,39900,920.468,86677562.59100,0
1746525600000,94179.50,94300.00,93812.00,93896.10,8807.333,1746529199999,827786374.82320,97195,3373.674,317097168.08560,0
1746529200000,93896.10,94020.30,93662.20,93770.30,5711.596,1746532799999,535948266.72210,89803,2848.159,267281061.23990,0
1746532800000,93770.30,94000.00,93722.10,93898.20,4393.998,1746536399999,412417764.95900,78538,2332.411,218905896.35810,0
1746536400000,93898.10,93982.20,93327.00,93565.40,13686.695,1746539999999,1281716429.09550,187945,6254.653,585865735.32570,0
1746540000000,93565.40,94642.30,93561.30,94098.40,20939.833,1746543599999,1972534074.68940,251363,10945.252,1030877345.51730,0
1746543600000,94097.40,94697.20,94025.60,94513.20,9611.471,1746547199999,907934692.22720,140635,4940.012,466604331.43060,0
1746547200000,94513.20,94768.70,94145.40,94186.30,9218.162,1746550799999,870976418.54960,148676,3964.588,374656248.55310,0
1746550800000,94186.30,94800.00,94175.90,94470.80,6489.468,1746554399999,613644996.51630,106116,3539.680,334675067.83290,0
1746554400000,94470.90,95050.00,94449.70,95027.60,5723.990,1746557999999,542690951.66410,88911,3498.354,331710613.11660,0
1746558000000,95027.70,95119.90,94864.40,94910.80,5795.895,1746561599999,550655712.12820,83266,2389.653,227069951.30300,0
1746561600000,94910.80,94979.60,94568.70,94625.30,4389.095,1746565199999,415907070.16650,69163,1762.502,166987429.65580,0
1746565200000,94625.30,94750.10,94400.00,94637.90,2879.971,1746568799999,272368075.03150,45914,1364.731,129069865.22770,0
1746568800000,94637.90,96248.90,94623.70,96206.20,25713.772,1746572399999,2456863478.66690,327776,14393.943,1375264199.69150,0
1746572400000,96206.30,96879.50,96053.80,96798.90,16278.166,1746575999999,1571025775.76370,239444,8915.367,860593392.70380,0
