open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1745712000000,0.3648000,0.3678000,0.3620000,0.3649000,28514461,1745715599999,10417374.7495000,30908,16327395,5965753.7262000,0
1745715600000,0.3649000,0.3652000,0.3489000,0.3506000,41995188,1745719199999,14943824.0996000,40278,18417100,6554342.3992000,0
1745719200000,0.3507000,0.3534000,0.3491000,0.3523000,21553710,1745722799999,7577241.9886000,23842,9253196,3254260.7714000,0
1745722800000,0.3522000,0.3571000,0.3514000,0.3553000,18530591,1745726399999,6562849.4909000,19268,10023934,3551709.0409000,0
1745726400000,0.3553000,0.3568000,0.3476000,0.3484000,20572053,1745729999999,7229202.5467000,19611,7847493,2762419.5716000,0
1745730000000,0.3484000,0.3499000,0.3450000,0.3473000,27630494,1745733599999,9590310.7644000,28171,11654566,4047356.6524000,0
1745733600000,0.3474000,0.3493000,0.3462000,0.3479000,12044143,1745737199999,4189819.1677000,16923,5927092,2062631.7752000,0
1745737200000,0.3479000,0.3512000,0.3465000,0.3510000,11725109,1745740799999,4097210.5993000,15768,6414314,2241654.5160000,0
1745740800000,0.3509000,0.3538000,0.3501000,0.3507000,17877036,1745744399999,6288970.2099000,18553,7138533,2511628.7672000,0
1745744400000,0.3508000,0.3525000,0.3490000,0.3515000,13464484,1745747999999,4721684.5586000,17419,6819350,2391187.2634000,0
1745748000000,0.3515000,0.3523000,0.3495000,0.3513000,14007873,1745751599999,4915004.3353000,16555,5991910,2102784.0844000,0
1745751600000,0.3513000,0.3537000,0.3504000,0.3531000,14549196,1745755199999,5123712.6195000,21783,7366809,2594731.0741000,0
1745755200000,0.3531000,0.3545000,0.3479000,0.3485000,27727201,1745758799999,9736950.9391000,32948,12384051,4350105.0524000,0
1745758800000,0.3485000,0.3551000,0.3453000,0.3549000,32202751,1745762399999,11259046.1236000,31237,14574046,5103138.9271000,0
1745762400000,0.3549000,0.3615000,0.3535000,0.3539000,36000378,1745765999999,12873136.8673000,33262,19193390,6865673.9826000,0
1745766000000,0.3538000,0.3554000,0.3485000,0.3492000,28413675,1745769599999,9992935.1292000,24983,12559116,4416922.2157000,0
1745769600000,0.3491000,0.3498000,0.3422000,0.3448000,35642334,1745773199999,12318492.5894000,30518,14950338,5170601.7044000,0
1745773200000,0.3448000,0.3486000,0.3439000,0.3475000,19668251,1745776799999,6812395.3228000,20941,10158383,3518975.9003000,0
1745776800000,0.3475000,0.3550000,0.3468000,0.3538000,15139369,1745780399999,5320695.6676000,18811,7911548,2779172.7506000,0
1745780400000,0.3539000,0.3549000,0.3493000,0.3516000,13808758,1745783999999,4855458.8504000,15223,6015750,2115076.1532000,0
1745784000000,0.3515000,0.3519000,0.3484000,0.3492000,8210859,1745787599999,2872884.3454000,12599,4017736,1405719.6291000,0
1745787600000,0.3492000,0.3526000,0.3482000,0.3507000,6371626,1745791199999,2231826.4889000,11519,3189649,1117360.8306000,0
1745791200000,0.3507000,0.3515000,0.3451000,0.3458000,17245385,1745794799999,5985066.2757000,19751,8049533,2793199.9285000,0
1745794800000,0.3458000,0.3458000,0.3424000,0.3437000,13093460,1745798399999,4502366.0029000,18659,5656795,1945379.6905000,0
