open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1744934400000,1582.84,1584.32,1576.21,1579.00,91318.259,1744937999999,144282452.89008,101642,43955.290,69459224.89020,0
1744938000000,1578.99,1588.69,1577.11,1582.22,98979.158,1744941599999,156829922.03087,96813,55368.617,87739164.13170,0
1744941600000,1582.21,1586.78,1578.00,1583.97,78673.497,1744945199999,124513109.24690,76679,36750.109,58161309.89220,0
1744945200000,1583.97,1584.80,1578.26,1583.40,75147.466,1744948799999,118838734.46829,69281,39741.019,62857099.87407,0
1744948800000,1583.40,1584.49,1578.02,1580.23,70016.522,1744952399999,110684188.38743,66152,33182.934,52459497.49120,0
1744952400000,1580.23,1581.09,1572.65,1580.77,134456.289,1744955999999,211997888.53159,101238,65261.263,102914730.77984,0
1744956000000,1580.76,1581.30,1575.03,1580.48,76218.017,1744959599999,120327255.34966,67816,39297.757,62043341.82362,0
1744959600000,1580.48,1584.47,1575.98,1583.45,99073.249,1744963199999,156618358.35482,88953,50116.473,79238737.05625,0
1744963200000,1583.46,1592.40,1582.79,1586.18,126714.146,1744966799999,201121850.59020,105606,63509.159,100810721.27762,0
1744966800000,1586.17,1591.28,1583.34,1587.65,84512.322,1744970399999,134126942.78412,76932,47360.307,75167194.65346,0
1744970400000,1587.64,1589.30,1582.06,1583.38,79836.847,1744973999999,126578521.26872,69840,34801.956,55187423.64894,0
1744974000000,1583.37,1590.46,1581.34,1589.89,92964.731,1744977599999,147494114.14313,76170,49213.002,78084114.02506,0
1744977600000,1589.90,1596.63,1586.18,1592.45,144490.868,1744981199999,230019580.45301,102632,74772.901,119044482.01702,0
1744981200000,1592.45,1592.97,1586.19,1592.08,99927.576,1744984799999,158870455.77535,79519,47658.650,75774762.23811,0
1744984800000,1592.08,1595.42,1585.21,1588.34,136110.760,1744988399999,216413398.54350,87332,66548.167,105826635.17041,0
1744988400000,1588.34,1589.20,1577.56,1582.27,180356.958,1744991999999,285320635.93904,121689,83229.835,131658761.65667,0
1744992000000,1582.28,1587.28,1580.95,1586.71,87747.040,1744995599999,139027921.30693,71033,46083.449,73019675.33412,0
1744995600000,1586.71,1592.22,1584.35,1591.03,143548.894,1744999199999,227994117.75371,79858,71403.889,113417828.47956,0
1744999200000,1591.03,1594.28,1589.00,1592.72,106000.583,1745002799999,168732458.28076,69166,54542.733,86826862.62957,0
1745002800000,1592.72,1594.45,1589.82,1592.38,85733.136,1745006399999,136463713.33610,55754,40875.340,65054230.26401,0
1745006400000,1592.38,1593.92,1589.04,1592.56,62188.803,1745009999999,98989796.78419,52949,27683.744,44069056.96310,0
1745010000000,1592.56,1600.00,1591.81,1598.98,88943.689,1745013599999,141957941.77680,64850,51480.188,82164062.39446,0
1745013600000,1598.98,1599.30,1591.24,1592.00,53891.771,1745017199999,85933319.86761,59891,24551.387,39147127.75242,0
1745017200000,1592.00,1592.46,1586.27,1587.91,103613.156,1745020799999,164655258.56860,65018,51757.804,82245574.70103,0
