open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1746230400000,1841.22,1841.44,1839.42,1840.51,5435.011,1746230699999,10003918.63350,5898,2686.474,4944908.29069,0
1746230700000,1840.51,1841.60,1838.93,1840.53,4776.092,1746230999999,8789316.27147,5399,2737.228,5037786.87701,0
1746231000000,1840.53,1841.33,1839.84,1840.19,4476.619,1746231299999,8239349.06850,4130,2936.579,5404794.40733,0
1746231300000,1840.19,1842.00,1839.21,1841.72,3933.719,1746231599999,7241701.99719,4226,2530.081,4658336.30074,0
1746231600000,1841.71,1842.44,1838.88,1838.92,4420.190,1746231899999,8139124.98070,4568,1972.027,3631907.29024,0
1746231900000,1838.91,1839.13,1837.26,1838.27,6845.107,1746232199999,12583179.16340,5273,2900.820,5332685.87255,0
1746232200000,1838.27,1838.97,1837.75,1838.95,3875.023,1746232499999,7123524.83488,4176,2271.066,4175019.33772,0
1746232500000,1838.94,1841.96,1837.91,1841.90,8081.687,1746232799999,14869954.14286,6111,5874.431,10808620.89339,0
1746232800000,1841.90,1841.90,1837.73,1838.29,4918.229,1746233099999,9045545.41215,6030,2249.948,4137721.47786,0
1746233100000,1838.28,1839.16,1836.50,1836.88,8209.911,1746233399999,15087243.04810,6904,5040.216,9262843.63818,0
1746233400000,1836.89,1837.50,1835.37,1836.58,4926.141,1746233699999,9045763.87782,6218,2006.244,3684208.08414,0
1746233700000,1836.57,1838.26,1836.48,1838.06,2176.783,1746233999999,3999841.64941,3706,1393.204,2559983.99163,0
1746234000000,1838.07,1839.75,1837.00,1837.00,3849.842,1746234299999,7076342.81554,5369,2096.737,3854207.54745,0
1746234300000,1837.01,1837.57,1835.00,1835.29,4104.528,1746234599999,7537226.34443,4707,1329.519,2441576.89380,0
1746234600000,1835.28,1836.00,1833.44,1834.10,17522.200,1746234899999,32142700.59024,7962,9879.184,18120525.30145,0
1746234900000,1834.10,1835.00,1833.40,1834.40,5798.361,1746235199999,10634919.23299,6766,2784.957,5107854.65663,0
1746235200000,1834.40,1836.14,1834.14,1834.44,3482.685,1746235499999,6391339.66543,4771,2237.311,4105993.72634,0
1746235500000,1834.44,1835.31,1832.20,1832.75,16598.812,1746235799999,30434669.52770,8795,5777.165,10592261.82838,0
1746235800000,1832.76,1833.00,1826.52,1826.85,43411.206,1746236099999,79404663.05375,22789,14494.484,26511243.91051,0
1746236100000,1826.84,1830.63,1825.72,1830.25,8676.004,1746236399999,15863480.11790,9453,6085.585,11127621.67394,0
1746236400000,1830.26,1830.26,1825.52,1827.78,13582.819,1746236699999,24818251.54040,15522,4498.678,8219302.96850,0
1746236700000,1827.78,1828.00,1826.56,1827.31,6078.162,1746236999999,11108563.72821,5803,2941.991,5376835.46058,0
1746237000000,1827.31,1828.00,1826.04,1828.00,9578.213,1746237299999,17505694.03881,5657,7020.788,12832122.34750,0
1746237300000,1828.00,1828.00,1826.00,1828.00,7436.746,1746237599999,13589371.01080,6317,4816.775,8801614.96872,0
1746237600000,1827.99,1830.42,1827.71,1829.34,12710.831,1746237899999,23249786.61034,8418,9253.983,16926328.22994,0
1746237900000,1829.33,1831.82,1829.33,1831.06,5824.442,1746238199999,10662890.46093,5465,3913.362,7164053.29523,0
1746238200000,1831.05,1832.03,1830.35,1831.99,4472.086,1746238499999,8188853.44970,5685,2793.915,5115933.57685,0
1746238500000,1831.99,1832.77,1830.88,1832.69,4720.434,1746238799999,8647043.24059,5848,3007.386,5509225.80325,0
1746238800000,1832.69,1833.31,1831.78,1833.08,4843.187,1746239099999,8875225.71544,5311,2635.041,4828909.24396,0
1746239100000,1833.07,1834.20,1832.00,1833.91,5561.642,1746239399999,10195684.90811,5618,2941.619,5392897.60627,0
1746239400000,1833.92,1834.94,1833.25,1833.75,13468.312,1746239699999,24703303.26488,7344,4087.516,7497879.46970,0
1746239700000,1833.75,1834.12,1830.99,1831.55,5550.950,1746239999999,10170816.32466,5693,2111.178,3868498.58772,0
1746240000000,1831.55,1832.24,1830.88,1831.41,4733.664,1746240299999,8669845.30516,4393,2146.114,3930734.14864,0
1746240300000,1831.41,1833.44,1830.15,1833.04,5492.929,1746240599999,10061926.87467,4639,2969.582,5440498.32367,0
1746240600000,1833.04,1833.69,1832.37,1833.59,2304.565,1746240899999,4224537.37819,4276,1076.558,1973504.53755,0
1746240900000,1833.59,1834.16,1832.75,1833.22,3682.448,1746241199999,6752387.81891,3727,2304.386,4225663.87130,0
1746241200000,1833.22,1834.47,1832.90,1833.48,2357.856,1746241499999,4323231.57522,3919,1212.164,2222424.64487,0
1746241500000,1833.49,1835.24,1833.25,1835.08,4707.579,1746241799999,8636763.08164,5132,2892.368,5306626.83816,0
1746241800000,1835.08,1835.08,1832.25,1832.25,3673.394,1746242099999,6737365.82314,4237,1228.471,2253427.59426,0
1746242100000,1832.25,1833.30,1831.28,1831.41,3971.647,1746242399999,7276647.24148,4849,1662.969,3046597.99201,0
1746242400000,1831.41,1832.50,1830.41,1831.67,3584.331,1746242699999,6564731.03660,4796,1364.526,2499097.31353,0
1746242700000,1831.66,1834.01,1831.33,1833.49,6266.822,1746242999999,11486539.82589,5206,4898.752,8978485.71861,0
1746243000000,1833.48,1833.85,1832.64,1833.04,2911.321,1746243299999,5336628.24367,3428,1563.525,2866035.61727,0
1746243300000,1833.03,1836.08,1832.38,1835.88,6018.890,1746243599999,11040241.36891,5376,3833.157,7032570.02440,0
1746243600000,1835.87,1835.92,1834.21,1835.51,4708.187,1746243899999,8640692.53292,4769,2288.467,4199878.78565,0
1746243900000,1835.51,1837.17,1835.26,1835.87,5169.631,1746244199999,9492854.65682,5290,3695.452,6785954.08029,0
1746244200000,1835.88,1836.00,1833.93,1834.40,4347.479,1746244499999,7977604.26949,4080,1388.778,2548882.94964,0
1746244500000,1834.41,1835.00,1833.55,1834.08,2216.087,1746244799999,4065118.21377,2760,774.428,1420544.00646,0
1746244800000,1834.07,1835.58,1833.81,1833.82,3026.646,1746245099999,5551944.50071,4090,1405.516,2578258.13917,0
1746245100000,1833.82,1835.58,1833.00,1835.38,3733.314,1746245399999,6847527.47519,4480,2259.588,4144343.01179,0
1746245400000,1835.39,1835.93,1834.91,1835.61,2134.337,1746245699999,3917546.66904,3905,1282.991,2354832.64182,0
1746245700000,1835.61,1835.70,1833.60,1833.72,2548.741,1746245999999,4676004.98953,4266,974.787,1788254.12080,0
1746246000000,1833.72,1836.80,1833.25,1836.40,7273.869,1746246299999,13350897.04386,7297,5515.679,10123397.62315,0
1746246300000,1836.40,1836.99,1835.77,1836.13,4980.553,1746246599999,9145823.16093,4616,2514.793,4617820.48158,0
1746246600000,1836.12,1837.22,1836.08,1836.80,2780.977,1746246899999,5107326.97454,3759,1650.701,3031593.36772,0
1746246900000,1836.79,1838.00,1835.62,1835.72,6940.128,1746247199999,12749950.50154,5745,4961.887,9115625.40877,0
1746247200000,1835.72,1837.58,1835.72,1837.05,2773.653,1746247499999,5094719.90937,3723,1422.014,2611897.79935,0
1746247500000,1837.05,1837.46,1835.80,1835.94,3153.826,1746247799999,5791815.69511,4000,1542.282,2832239.20097,0
1746247800000,1835.94,1837.62,1835.94,1837.48,3958.470,1746248099999,7271574.48675,3036,2083.302,3826766.42433,0
1746248100000,1837.47,1838.55,1836.91,1837.45,3950.887,1746248399999,7260492.88905,3783,1841.192,3383623.00162,0
1746248400000,1837.44,1837.71,1836.04,1836.11,4130.793,1746248699999,7587549.54257,4593,1330.327,2443767.34405,0
1746248700000,1836.12,1836.37,1834.90,1834.90,8772.778,1746248999999,16105969.04246,3577,918.328,1685847.10847,0
1746249000000,1834.90,1835.20,1834.21,1834.73,3212.487,1746249299999,5894208.44900,3709,1316.645,2415761.41458,0
1746249300000,1834.74,1837.37,1834.73,1836.62,5916.299,1746249599999,10863773.77145,5498,4460.375,8190622.74032,0
1746249600000,1836.62,1836.63,1835.09,1835.56,2799.021,1746249899999,5138744.93663,3391,1375.651,2525491.48468,0
1746249900000,1835.56,1835.79,1834.73,1835.35,1721.298,1746250199999,3158947.60783,2783,772.930,1418471.80468,0
1746250200000,1835.35,1835.36,1833.00,1833.37,4153.032,1746250499999,7615900.74309,4325,779.266,1428962.41284,0
1746250500000,1833.36,1835.62,1832.90,1834.53,7641.529,1746250799999,14017705.70615,5275,3802.659,6976131.54145,0
1746250800000,1834.54,1835.68,1834.53,1835.50,3037.925,1746251099999,5575487.74728,2910,2050.287,3762863.55268,0
1746251100000,1835.49,1835.50,1833.76,1833.79,2707.897,1746251399999,4966942.44346,3168,877.615,1609702.97442,0
1746251400000,1833.79,1834.01,1832.26,1832.83,3778.788,1746251699999,6926477.49678,4330,1769.543,3243477.54450,0
1746251700000,1832.82,1832.99,1832.13,1832.44,2486.703,1746251999999,4557166.85792,2693,973.296,1783652.41935,0
1746252000000,1832.44,1832.65,1830.65,1831.48,8385.804,1746252299999,15359672.79267,6731,4988.567,9137207.95990,0
1746252300000,1831.48,1831.49,1827.93,1829.95,19793.780,1746252599999,36204865.90912,9935,8126.335,14861565.46786,0
1746252600000,1829.95,1830.02,1827.55,1828.51,12482.253,1746252899999,22825702.79158,7665,5122.715,9366877.52624,0
1746252900000,1828.50,1828.51,1823.39,1825.06,34019.774,1746253199999,62091638.23157,17186,8850.449,16151907.06195,0
1746253200000,1825.06,1827.54,1825.06,1826.59,10851.981,1746253499999,19818925.85562,8710,7293.979,13320905.94163,0
1746253500000,1826.58,1826.66,1824.44,1824.90,11529.952,1746253799999,21049280.46683,7912,3001.750,5480993.27574,0
1746253800000,1824.90,1827.06,1823.73,1826.49,13921.763,1746254099999,25420173.30862,10115,6656.311,12152854.49958,0
1746254100000,1826.49,1828.64,1826.44,1828.59,10542.991,1746254399999,19265348.92102,7465,6006.143,10975235.49263,0
1746254400000,1828.59,1828.99,1828.00,1828.89,6494.790,1746254699999,11875482.78330,4078,3902.227,7135047.88837,0
1746254700000,1828.89,1830.19,1826.31,1826.36,10066.311,1746254999999,18406183.29654,8113,4921.157,9000606.53824,0
1746255000000,1826.35,1826.94,1824.44,1826.66,6704.297,1746255299999,12241408.11290,6329,3157.830,5766100.91991,0
