open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1745107200000,139.7700,141.0000,139.3100,140.8400,511625.76,1745108099999,71758596.223400,45311,300680.06,42200648.443900,0
1745108100000,140.8300,141.4000,140.4000,140.5800,463196.23,1745108999999,65266117.325800,43378,253546.29,35736786.082800,0
1745109000000,140.5800,141.0300,140.3400,140.6100,163900.21,1745109899999,23060743.341900,22526,76533.00,10769251.720500,0
1745109900000,140.6100,140.8500,140.1100,140.2000,206834.41,1745110799999,29050864.786600,21445,92181.35,12945648.052500,0
1745110800000,140.2000,141.0000,140.0900,140.7500,175694.77,1745111699999,24698623.666600,23649,94189.00,13238031.122500,0
1745111700000,140.7600,141.1500,140.7100,141.0900,116971.66,1745112599999,16486106.236300,18495,61965.30,8732928.232200,0
1745112600000,141.0800,141.6800,140.6800,141.3000,252066.27,1745113499999,35624422.959800,32288,133548.18,18879222.859400,0
1745113500000,141.3100,141.8700,141.3100,141.7200,282952.74,1745114399999,40084543.311600,27348,165689.07,23471667.651300,0
1745114400000,141.7200,141.8200,141.3400,141.3900,153339.18,1745115299999,21704785.136800,20284,62162.00,8798941.669800,0
1745115300000,141.3800,141.5500,141.1300,141.2000,104055.46,1745116199999,14705020.417800,15871,46031.79,6505672.947300,0
1745116200000,141.1900,141.7100,141.1200,141.6200,135360.86,1745117099999,19153318.668400,17496,66818.49,9455112.359200,0
1745117100000,141.6200,141.6600,141.2100,141.3200,108424.59,1745117999999,15326805.609800,12952,42534.53,6012455.452900,0
1745118000000,141.3300,141.4100,140.8400,141.1300,167283.49,1745118899999,23597572.170500,18908,69552.92,9811424.225200,0
1745118900000,141.1200,141.1700,140.6200,140.8000,142978.83,1745119799999,20136093.203900,16472,65587.59,9238134.853200,0
1745119800000,140.8000,140.9300,140.4400,140.5600,123862.66,1745120699999,17418079.815500,16131,54988.53,7733899.165000,0
1745120700000,140.5600,141.0000,140.5000,140.8700,126171.34,1745121599999,17761828.122300,13461,71039.17,10000759.787200,0
1745121600000,140.8700,141.0100,140.5500,140.7600,110094.87,1745122499999,15492169.925800,13489,52985.97,7456474.658300,0
1745122500000,140.7600,141.1200,140.5900,141.0600,108988.79,1745123399999,15358131.279500,12614,60504.91,8527275.339000,0
1745123400000,141.0600,141.4700,140.9100,141.3700,150802.35,1745124299999,21294174.887600,17067,82846.18,11698233.459400,0
1745124300000,141.3600,141.4800,141.0200,141.1000,102196.35,1745125199999,14432880.733000,13348,44978.44,6352996.448500,0
1745125200000,141.0900,141.1000,140.6600,140.6600,114188.01,1745126099999,16083830.269800,14475,47116.75,6636423.435500,0
1745126100000,140.6600,140.9300,140.6100,140.7700,69183.91,1745126999999,9738064.361800,10522,35046.80,4933310.298200,0
1745127000000,140.7600,140.9500,140.6000,140.8600,73518.92,1745127899999,10350795.522700,11220,35039.15,4933378.332300,0
1745127900000,140.8600,140.9900,140.6500,140.6500,67595.03,1745128799999,9520008.401600,10886,30308.42,4268636.375900,0
1745128800000,140.6500,141.1300,140.6000,140.8100,124120.18,1745129699999,17481478.994800,15040,50871.09,7165376.605400,0
1745129700000,140.8100,140.8200,140.4600,140.5300,148384.31,1745130599999,20865349.707100,14340,63652.87,8949598.776700,0
1745130600000,140.5300,140.7000,140.1500,140.1700,168269.09,1745131499999,23629693.450900,19003,59510.21,8356480.029700,0
1745131500000,140.1600,140.1700,139.6200,139.8000,283761.50,1745132399999,39699650.242900,26939,105329.53,14735416.216000,0
1745132400000,139.7900,139.8800,138.8000,139.1700,424682.92,1745133299999,59163238.419500,39613,168473.78,23472366.954000,0
1745133300000,139.1600,139.1900,138.5100,139.1400,361132.68,1745134199999,50169487.836700,34723,163656.54,22737313.171400,0
1745134200000,139.1400,139.5100,139.0200,139.2700,223645.32,1745135099999,31145092.302900,22376,109878.33,15303988.262700,0
1745135100000,139.2800,139.6000,139.2200,139.5000,160782.17,1745135999999,22417678.381300,17119,87965.74,12266203.682500,0
1745136000000,139.5100,139.5400,138.9600,139.4800,172557.00,1745136899999,24021385.083600,16701,73434.51,10225033.930600,0
1745136900000,139.4800,139.5600,139.3200,139.5500,88202.70,1745137799999,12299429.974600,12507,46401.36,6470848.469400,0
1745137800000,139.5400,139.7400,139.4000,139.4500,148327.81,1745138699999,20699246.077200,16662,83063.96,11592496.160900,0
1745138700000,139.4500,139.5600,138.5500,138.9900,465047.81,1745139599999,64561268.755200,25321,251194.32,34850824.476600,0
1745139600000,138.9900,139.2400,138.6600,139.0800,238652.06,1745140499999,33143584.001100,17315,101313.35,14069834.012100,0
1745140500000,139.0700,139.3400,138.9800,139.2000,87195.01,1745141399999,12136646.492400,12055,53421.21,7436231.420200,0
1745141400000,139.2000,139.4200,138.8000,138.8100,118727.63,1745142299999,16512655.908500,15460,42018.17,5845819.983100,0
1745142300000,138.8000,139.1700,138.7300,139.1100,136009.35,1745143199999,18898762.173000,15835,70197.64,9755396.624800,0
1745143200000,139.1000,139.3100,138.8800,139.2800,131188.10,1745144099999,18251163.108600,15074,60045.43,8354460.275300,0
1745144100000,139.2900,139.4700,139.1200,139.1600,110149.76,1745144999999,15344327.135200,12963,59680.67,8314738.804900,0
1745145000000,139.1500,139.4900,138.7200,138.9000,227872.32,1745145899999,31709645.923300,21781,118915.73,16549985.456900,0
1745145900000,138.9000,138.9000,137.6600,138.2100,748561.30,1745146799999,103444784.650420,52101,305953.92,42267276.033800,0
1745146800000,138.2100,138.4100,137.9000,138.3200,267122.31,1745147699999,36894560.965200,27886,150873.55,20838430.279400,0
1745147700000,138.3100,138.3400,136.7300,136.9700,883550.30,1745148599999,121371920.080300,62637,403340.27,55403991.516000,0
1745148600000,136.9800,137.0900,136.2600,136.3800,548607.00,1745149499999,74940423.496900,44819,265786.76,36307874.073900,0
1745149500000,136.3800,136.4600,135.7100,136.3200,602344.20,1745150399999,81935523.831200,43860,350720.62,47709256.899800,0
1745150400000,136.3200,136.9500,135.9800,136.8600,414807.81,1745151299999,56657966.370300,36430,246296.33,33643901.399200,0
1745151300000,136.8500,137.0300,136.6700,136.9900,248383.05,1745152199999,33994902.459700,24724,138578.49,18969203.703600,0
1745152200000,137.0000,137.3700,136.7900,137.0100,208166.64,1745153099999,28541800.328700,25565,116609.53,15988836.293200,0
1745153100000,137.0000,137.1600,136.8000,136.8200,248410.78,1745153999999,34017004.504600,18813,68305.84,9355310.432000,0
1745154000000,136.8200,136.9900,136.3000,136.4700,224615.78,1745154899999,30691921.246900,21789,91961.84,12564484.627400,0
1745154900000,136.4700,137.1900,136.3400,137.0400,198276.92,1745155799999,27120637.340100,18985,90394.84,12366148.182500,0
1745155800000,137.0300,137.3800,136.8400,137.1600,165774.38,1745156699999,22730389.835800,19390,83357.76,11432880.865900,0
1745156700000,137.1700,137.2400,136.8600,137.0600,103795.31,1745157599999,14225609.108000,14720,49965.73,6848676.389600,0
1745157600000,137.0600,137.9800,136.8200,137.5400,268906.37,1745158499999,36962845.960200,28696,165685.81,22786026.514900,0
1745158500000,137.5300,137.5500,137.0900,137.3300,170405.75,1745159399999,23400009.381100,25594,71593.63,9831138.698200,0
1745159400000,137.3300,137.5900,137.2900,137.3600,111444.27,1745160299999,15317116.639500,15253,61951.99,8515110.849700,0
1745160300000,137.3500,137.5700,137.1600,137.4700,97092.68,1745161199999,13337659.901100,13655,48871.72,6713962.343200,0
1745161200000,137.4700,137.4800,136.9400,137.1700,147001.69,1745162099999,20158960.377200,17774,64075.83,8785971.541600,0
1745162100000,137.1600,137.2500,136.4900,136.6000,185577.49,1745162999999,25383804.845400,21760,77853.49,10648392.846600,0
1745163000000,136.6000,136.8300,136.4800,136.6900,186931.71,1745163899999,25550037.758900,17028,101420.27,13863695.603700,0
1745163900000,136.6800,136.7400,135.5000,135.8700,496147.60,1745164799999,67428411.131500,33877,147331.57,20021642.113300,0
1745164800000,135.8600,136.5000,135.6200,136.3800,261562.95,1745165699999,35577305.179000,26597,161617.78,21986086.984700,0
1745165700000,136.3700,136.9500,136.1300,136.2300,198265.66,1745166599999,27069756.399100,24614,110386.35,15075104.243100,0
1745166600000,136.2200,136.8200,135.8600,136.5300,163387.97,1745167499999,22288287.990800,19923,92241.20,12583621.363100,0
1745167500000,136.5400,136.8700,136.5300,136.8300,88437.49,1745168399999,12092043.058800,14941,48910.74,6687619.973900,0
