open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1745107200000,2.0865,2.0881,2.0838,2.0846,1271878.6,1745107499999,2653043.64562,3990,727484.9,1517482.73491,0
1745107500000,2.0845,2.0868,2.0845,2.0860,526332.0,1745107799999,1097730.49972,2379,290143.7,605114.09723,0
1745107800000,2.0859,2.0898,2.0859,2.0898,1501964.7,1745108099999,3137118.73825,3832,1061169.5,2216562.98279,0
1745108100000,2.0897,2.0911,2.0878,2.0898,2147100.5,1745108399999,4486958.29648,5021,1088076.4,2273995.61675,0
1745108400000,2.0897,2.0937,2.0896,2.0917,1465174.4,1745108699999,3065456.68156,5225,833883.8,1744627.67326,0
1745108700000,2.0917,2.0917,2.0872,2.0884,890391.1,1745108999999,1859941.08691,3351,403166.2,841972.02467,0
1745109000000,2.0883,2.0893,2.0860,2.0884,902256.4,1745109299999,1883494.02751,4226,585786.5,1222883.36179,0
1745109300000,2.0883,2.0890,2.0863,2.0872,637486.5,1745109599999,1330930.89863,3400,220271.0,459850.83280,0
1745109600000,2.0872,2.0872,2.0825,2.0832,1305058.8,1745109899999,2720521.31888,4327,773237.8,1611970.25668,0
1745109900000,2.0832,2.0848,2.0823,2.0834,941307.8,1745110199999,1960871.41945,3814,581652.5,1211658.67411,0
1745110200000,2.0835,2.0849,2.0830,2.0845,404036.5,1745110499999,842063.62133,2348,275911.5,575034.15296,0
1745110500000,2.0845,2.0850,2.0833,2.0839,438739.9,1745110799999,914449.08843,2568,185479.6,386609.34061,0
1745110800000,2.0839,2.0859,2.0826,2.0849,900982.6,1745111099999,1877803.22678,3451,615255.1,1282312.42356,0
1745111100000,2.0850,2.0859,2.0835,2.0859,537830.7,1745111399999,1121025.39814,2442,344045.0,717117.84721,0
1745111400000,2.0859,2.0895,2.0858,2.0882,1519438.4,1745111699999,3173009.70561,3382,667311.5,1393174.62127,0
1745111700000,2.0881,2.0902,2.0867,2.0867,1024788.0,1745111999999,2140573.53347,3161,394967.2,825087.96577,0
1745112000000,2.0868,2.0893,2.0866,2.0890,533737.1,1745112299999,1114421.87532,2389,279419.6,583420.78151,0
1745112300000,2.0890,2.0894,2.0864,2.0866,371218.8,1745112599999,775128.15292,2160,127655.1,266556.20223,0
1745112600000,2.0867,2.0867,2.0839,2.0859,451880.7,1745112899999,942086.17289,2998,274806.7,572913.09905,0
1745112900000,2.0860,2.0882,2.0859,2.0870,631727.8,1745113199999,1318413.38139,3424,327519.2,683548.85820,0
1745113200000,2.0870,2.0895,2.0863,2.0863,569423.6,1745113499999,1188793.51383,3120,262743.8,548561.75560,0
1745113500000,2.0864,2.0889,2.0864,2.0878,355829.2,1745113799999,743000.24107,2636,195442.9,408091.31484,0
1745113800000,2.0878,2.0903,2.0878,2.0887,590874.8,1745114099999,1234357.18291,2848,279928.3,584738.44679,0
1745114100000,2.0888,2.0901,2.0875,2.0901,344849.6,1745114399999,720272.17169,2274,194543.5,406335.23677,0
1745114400000,2.0902,2.0910,2.0881,2.0894,924603.2,1745114699999,1932206.83639,3847,574988.6,1201655.04014,0
1745114700000,2.0893,2.0894,2.0862,2.0874,626693.6,1745114999999,1308137.73701,2736,294760.9,615212.78693,0
