open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1744416000000,1566.75619048,1569.18238095,1561.02190476,1561.95880952,0,1744419599999,0,3600,0,0,0
1744419600000,1561.95476190,1564.43638889,1553.12404762,1554.68285714,0,1744423199999,0,3600,0,0,0
1744423200000,1554.62785714,1556.82361111,1547.28452381,1548.15500000,0,1744426799999,0,3600,0,0,0
1744426800000,1548.06476190,1559.07404762,1546.99500000,1554.21214286,0,1744430399999,0,3600,0,0,0
1744430400000,1554.21142857,1568.74119048,1550.78000000,1567.31952381,0,1744433999999,0,3600,0,0,0
1744434000000,1567.25166667,1572.09690476,1564.99285714,1568.41880952,0,1744437599999,0,3600,0,0,0
1744437600000,1568.41809524,1578.42619048,1568.41714286,1573.88222222,0,1744441199999,0,3600,0,0,0
1744441200000,1573.88138889,1585.02809524,1571.44444444,1581.90738095,0,1744444799999,0,3600,0,0,0
1744444800000,1581.90738095,1605.47190476,1581.09142857,1591.96142857,0,1744448399999,0,3600,0,0,0
1744448400000,1591.86738095,1601.38023810,1588.83119048,1597.68000000,0,1744451999999,0,3600,0,0,0
1744452000000,1597.65880952,1597.82047619,1588.10261905,1591.80666667,0,1744455599999,0,3600,0,0,0
1744455600000,1591.84916667,1598.25238095,1591.84916667,1594.17238095,0,1744459199999,0,3600,0,0,0
1744459200000,1594.17238095,1612.90730000,1590.83023810,1607.10833333,0,1744462799999,0,3600,0,0,0
1744462800000,1607.09238095,1645.79166667,1606.13904762,1638.84952381,0,1744466399999,0,3600,0,0,0
1744466400000,1638.83952381,1668.60714286,1636.22142857,1654.37666667,0,1744469999999,0,3599,0,0,0
1744470000000,1654.35357143,1666.88428571,1648.52452381,1655.84238095,0,1744473599999,0,3600,0,0,0
1744473600000,1655.84380952,1662.09785714,1637.84476190,1643.70666667,0,1744477199999,0,3600,0,0,0
1744477200000,1643.68619048,1646.84095238,1628.57309524,1633.98476190,0,1744480799999,0,3600,0,0,0
1744480800000,1633.95761905,1654.86119048,1633.43642857,1650.65119048,0,1744484399999,0,3600,0,0,0
1744484400000,1650.64500000,1651.33952381,1635.03523810,1642.57952381,0,1744487999999,0,3600,0,0,0
1744488000000,1642.64142857,1659.58214286,1641.44285714,1649.30571429,0,1744491599999,0,3600,0,0,0
1744491600000,1649.30500000,1654.85333333,1645.92238095,1647.44690476,0,1744495199999,0,3600,0,0,0
1744495200000,1647.43619048,1656.15976190,1647.43619048,1649.96785714,0,1744498799999,0,3600,0,0,0
1744498800000,1649.96761905,1651.83547619,1643.14071429,1644.03857143,0,1744502399999,0,3600,0,0,0
