create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2024-05-01 00:05:00,BNBUSDT,448839.8100000000000000,258869816.0902834000000000,1.63666667,1.23836100,1.85502833,0.61689100
2024-05-01 00:10:00,BNBUSDT,449080.3500000000000000,259707657.2085000000000000,1.63696943,1.23681700,1.85656258,0.73437100
2024-05-01 00:15:00,BNBUSDT,448353.7000000000000000,258901844.0650000000000000,1.62768875,1.24236300,1.84720465,1.58393700
2024-05-01 00:20:00,BNBUSDT,448429.0600000000000000,258729402.4231225000000000,1.62465753,1.24108800,1.84147675,1.19005600
2024-05-01 00:25:00,BNBUSDT,448683.2700000000000000,258778075.9725000000000000,1.62705509,1.23917300,1.83900227,1.07847000
2024-05-01 00:30:00,BNBUSDT,448639.6100000000000000,257783833.5099000000000000,1.62449568,1.24027500,1.82312187,0.46505500
2024-05-01 00:35:00,BNBUSDT,447397.6200000000000000,257338845.2577044000000000,1.62734082,1.24262100,1.82940930,0.91748400
2024-05-01 00:40:00,BNBUSDT,446950.7800000000000000,256581034.2746000000000000,1.62275535,1.24265500,1.83065192,0.83372300
2024-05-01 00:45:00,BNBUSDT,446821.5600000000000000,256605153.6924000000000000,1.62105112,1.24279500,1.82235029,1.02382700
2024-05-01 00:50:00,BNBUSDT,446096.4500000000000000,256118310.6982853400000000,1.61573742,1.24534500,1.81895474,0.95033900
2024-05-01 00:55:00,BNBUSDT,446067.3200000000000000,255689592.9165204800000000,1.68185894,1.24318400,1.87851916,1.04578800
2024-05-01 01:00:00,BNBUSDT,446432.3700000000000000,255729854.5071000000000000,1.67835298,1.24242500,1.87255239,1.15205700
2024-05-01 01:05:00,BNBUSDT,446505.9200000000000000,256510152.5847867000000000,1.67681289,1.24088600,1.87120041,1.23334100
2024-05-01 01:10:00,BNBUSDT,446010.5700000000000000,255175489.6368552000000000,1.68356513,1.24080100,1.87065189,0.94907100
2024-05-01 01:15:00,BNBUSDT,446667.6900000000000000,254631850.0383000000000000,1.69441517,1.24517000,1.87882984,0.56394100
2024-05-01 01:20:00,BNBUSDT,446155.8500000000000000,255448518.0293434300000000,1.68632748,1.24706700,1.87024087,1.12045800
2024-05-01 01:25:00,BNBUSDT,445300.0600000000000000,255866669.5529171500000000,1.67483196,1.24571300,1.85578243,1.58474600
2024-05-01 01:30:00,BNBUSDT,445207.7500000000000000,255719997.3276639000000000,1.68882221,1.24460700,1.86388650,0.71565500
2024-05-01 01:35:00,BNBUSDT,445327.2700000000000000,255512152.5573993300000000,1.69430674,1.24346700,1.86815835,0.72733400
2024-05-01 01:40:00,BNBUSDT,444764.1500000000000000,255245698.0435000000000000,1.69354354,1.24959100,1.86607680,1.17011500
2024-05-01 01:45:00,BNBUSDT,442965.3200000000000000,253453247.8516974400000000,1.68225276,1.25953200,1.85458747,1.03756500
2024-05-01 01:50:00,BNBUSDT,442629.6600000000000000,253432038.1296000000000000,1.68280293,1.25875400,1.85742422,0.90590700
2024-05-01 01:55:00,BNBUSDT,442491.8100000000000000,253235097.7519306800000000,1.68334578,1.26061000,1.85809711,0.56837000
2024-05-01 02:00:00,BNBUSDT,442470.5100000000000000,253074708.4647575000000000,1.67954647,1.25994800,1.85360014,0.60332400
2024-05-01 02:05:00,BNBUSDT,442879.4700000000000000,252823489.1666328000000000,1.67703990,1.20689300,1.85390665,0.61695700
2024-05-01 02:10:00,BNBUSDT,442486.0600000000000000,251796692.4430000000000000,1.78029851,1.21342500,1.94903106,0.49439900
2024-05-01 02:15:00,BNBUSDT,442549.3400000000000000,251053815.0886000000000000,1.82774366,1.21505100,1.94349633,0.66759900
2024-05-01 02:20:00,BNBUSDT,442170.4600000000000000,251508178.0656630700000000,1.81569749,1.21677700,1.93922554,1.32845400
2024-05-01 02:25:00,BNBUSDT,441921.8500000000000000,251877777.6260000000000000,1.77180709,1.21722500,1.93865680,0.86380400
2024-05-01 02:30:01,BNBUSDT,441880.8600000000000000,251434628.1486000000000000,1.77263252,1.21654400,1.93824877,1.00787100
2024-05-01 02:35:00,BNBUSDT,441848.3700000000000000,250991536.0679591600000000,1.76154529,1.21610300,1.90968246,0.74060300
2024-05-01 02:40:00,BNBUSDT,441888.6100000000000000,250957669.3761814200000000,1.76552542,1.21833700,1.91367781,0.65941100
2024-05-01 02:45:00,BNBUSDT,441788.0500000000000000,251527608.3870000000000000,1.75583801,1.21933900,1.90547565,2.44824900
2024-05-01 02:50:00,BNBUSDT,441762.9500000000000000,251657743.3817146000000000,1.75802396,1.21877800,1.91055782,1.03985600
2024-05-01 02:55:00,BNBUSDT,441123.9800000000000000,251522006.5243118400000000,1.74272701,1.21209000,1.89201999,1.21528400
2024-05-01 03:00:00,BNBUSDT,440947.4700000000000000,251736910.6230000000000000,1.74514706,1.21175900,1.89401518,1.41671500
2024-05-01 03:05:00,BNBUSDT,441133.0800000000000000,252650148.9084000000000000,1.73710434,1.21146300,1.88824845,2.88208100
2024-05-01 03:10:00,BNBUSDT,441309.7900000000000000,252367416.5094000000000000,1.74101247,1.21078200,1.89687608,0.77715100
2024-05-01 03:15:00,BNBUSDT,441338.2500000000000000,252653097.6867467800000000,1.74349934,1.21071400,1.89788520,1.13908900
2024-05-01 03:20:00,BNBUSDT,441310.9300000000000000,252442947.3852319400000000,1.74415871,1.21028900,1.90025045,1.18381000
2024-05-01 03:25:00,BNBUSDT,441382.0400000000000000,252765838.0094759000000000,1.74083309,1.20979800,1.89880079,0.82666000
2024-05-01 03:30:00,BNBUSDT,441294.3600000000000000,252542356.7805937000000000,1.74302496,1.20966100,1.89879206,0.99190200
