create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2024-08-31 00:05:00,BTCUSDT,79876.9030000000000000,4719305202.9350410000000000,2.27597298,1.06529200,2.32616048,0.33175900
2024-08-31 00:10:00,BTCUSDT,79916.3270000000000000,4725068817.1404000000000000,2.28184598,1.06546000,2.33020371,1.00334100
2024-08-31 00:15:00,BTCUSDT,79891.7300000000000000,4721490680.2116980000000000,2.28176551,1.06502600,2.32873524,0.48575400
2024-08-31 00:20:00,BTCUSDT,80066.1760000000000000,4742327611.0976000000000000,2.27149103,1.06719000,2.32332428,2.53959800
2024-08-31 00:25:00,BTCUSDT,80290.0580000000000000,4759260459.0602030000000000,2.27703436,1.06912800,2.33155828,0.85465300
2024-08-31 00:30:00,BTCUSDT,80354.3070000000000000,4767830841.2757000000000000,2.27169372,1.07045200,2.32887950,1.54293500
2024-08-31 00:35:00,BTCUSDT,80330.4780000000000000,4771084145.9496000000000000,2.27998546,1.07127200,2.35140103,1.51301700
2024-08-31 00:40:00,BTCUSDT,80417.9130000000000000,4766623349.5922970000000000,2.28267637,1.06954500,2.35167565,0.46628000
2024-08-31 00:45:00,BTCUSDT,80469.0520000000000000,4771167185.7909040000000000,2.27742352,1.06897100,2.34369658,0.91027300
2024-08-31 00:50:00,BTCUSDT,80464.8830000000000000,4769525207.9462630000000000,2.27804012,1.06864700,2.34241659,0.99300200
2024-08-31 00:55:00,BTCUSDT,80491.0180000000000000,4766034157.8160000000000000,2.27118985,1.06869900,2.33304552,0.48724200
2024-08-31 01:00:00,BTCUSDT,80469.6060000000000000,4765097528.5066710000000000,2.26711172,1.06910600,2.32807035,0.71427900
2024-08-31 01:05:00,BTCUSDT,80472.5860000000000000,4763011420.1680000000000000,2.26435858,1.06972300,2.32292717,0.95120800
2024-08-31 01:10:00,BTCUSDT,80493.2300000000000000,4770745199.5470000000000000,2.26106497,1.06894600,2.31550933,0.65266000
2024-08-31 01:15:00,BTCUSDT,80505.0560000000000000,4772354046.7252590000000000,2.26555533,1.06863500,2.32210676,1.08296100
2024-08-31 01:20:00,BTCUSDT,80519.9880000000000000,4769822502.2708660000000000,2.28911372,1.06805500,2.33736367,0.57859400
2024-08-31 01:25:00,BTCUSDT,80525.3160000000000000,4768306586.9400000000000000,2.28356220,1.06726700,2.33090497,0.67032700
2024-08-31 01:30:00,BTCUSDT,80510.4810000000000000,4769966770.0592190000000000,2.27850347,1.06852900,2.32401178,2.85253700
2024-08-31 01:35:00,BTCUSDT,80491.3820000000000000,4771521075.8218000000000000,2.28073217,1.06864400,2.32570474,2.17393200
