create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-01-19 00:05:00,ENAUSDT,302888657.0000000000000000,268510794.4305000000000000,4.54535828,1.50603400,4.32146182,1.10778000
2025-01-19 00:10:00,ENAUSDT,303074924.0000000000000000,269844286.0810169600000000,4.45839112,1.50473800,4.20636010,1.57018400
2025-01-19 00:15:00,ENAUSDT,303346794.0000000000000000,270372997.4922000000000000,4.15528351,1.50650100,3.81834975,1.41795800
2025-01-19 00:20:00,ENAUSDT,302785431.0000000000000000,274723313.5891717000000000,3.81532891,1.50360300,3.38079032,1.35154400
2025-01-19 00:25:00,ENAUSDT,301682626.0000000000000000,273391302.9754428000000000,3.84521633,1.51571600,3.39958079,0.60212600
2025-01-19 00:30:00,ENAUSDT,301062955.0000000000000000,273312462.0697272400000000,4.04433023,1.52025900,3.66928321,1.10663500
2025-01-19 00:35:00,ENAUSDT,300938634.0000000000000000,273131904.2184000000000000,4.25160419,1.51920400,3.83347714,0.97195600
2025-01-19 00:40:00,ENAUSDT,300934246.0000000000000000,270188775.1318219300000000,4.44977088,1.51704000,4.18324362,0.59764700
2025-01-19 00:45:00,ENAUSDT,301360643.0000000000000000,270561585.2854000000000000,4.34932689,1.51627700,4.02169492,1.69841500
2025-01-19 00:50:00,ENAUSDT,301246974.0000000000000000,272841044.2226267500000000,4.30409556,1.51653600,3.86348862,1.63363200
2025-01-19 00:55:00,ENAUSDT,301161683.0000000000000000,273304227.3225000000000000,4.30700855,1.51801000,3.85956522,1.86676000
2025-01-19 01:00:00,ENAUSDT,300851167.0000000000000000,273142774.5193000000000000,4.02656850,1.52354900,3.53402514,1.57256400
2025-01-19 01:05:00,ENAUSDT,298657377.0000000000000000,274854384.0531000000000000,3.94871795,1.54140100,3.45366909,0.95680400
2025-01-19 01:10:00,ENAUSDT,298273830.0000000000000000,277507015.6862844000000000,3.72653430,1.55332500,3.28036856,1.16201100
2025-01-19 01:15:00,ENAUSDT,296536134.0000000000000000,276743328.5901035700000000,3.69769530,1.58391600,3.24584034,0.55102200
2025-01-19 01:20:00,ENAUSDT,295459909.0000000000000000,277467269.1940324300000000,3.62785185,1.60884200,3.16682028,0.71550200
2025-01-19 01:25:00,ENAUSDT,294999147.0000000000000000,276441266.9107373000000000,3.53951191,1.62548600,3.08563686,0.46215800
2025-01-19 01:30:00,ENAUSDT,294108388.0000000000000000,276458043.6644527300000000,3.50086455,1.63848700,3.04239714,0.87649700
2025-01-19 01:35:00,ENAUSDT,293593731.0000000000000000,276080133.8974598000000000,3.46800000,1.64570100,3.03369585,1.16879500
2025-01-19 01:40:00,ENAUSDT,292891885.0000000000000000,276753542.1365000000000000,3.48346276,1.64906700,3.05102407,1.10296500
2025-01-19 01:45:00,ENAUSDT,292535213.0000000000000000,275637568.7745800000000000,3.51391304,1.64703300,3.03600215,0.67204000
2025-01-19 01:50:00,ENAUSDT,292305832.0000000000000000,275059787.9120000000000000,3.53832702,1.64699800,3.06451030,0.91598100
2025-01-19 01:55:00,ENAUSDT,292066085.0000000000000000,273500594.7169249000000000,3.56310395,1.65016700,3.07167421,0.70981300
2025-01-19 02:00:00,ENAUSDT,291947952.0000000000000000,273342856.4057971000000000,3.55575066,1.65090400,3.07561197,0.93543400
2025-01-19 02:05:00,ENAUSDT,291700681.0000000000000000,272028632.1019320500000000,3.69375951,1.65645900,3.14926484,0.70312400
2025-01-19 02:10:00,ENAUSDT,291355455.0000000000000000,272121222.5676471000000000,3.67558528,1.66107300,3.10559350,1.37951400
2025-01-19 02:15:00,ENAUSDT,291376802.0000000000000000,271345110.1516152000000000,3.67506833,1.66302900,3.09324995,0.95491000
2025-01-19 02:20:00,ENAUSDT,291418651.0000000000000000,272088927.6480192500000000,3.66555589,1.66417000,3.09039133,1.47810400
2025-01-19 02:25:00,ENAUSDT,291428704.0000000000000000,271827177.3118025700000000,3.67375456,1.66416200,3.09067500,1.28425500
2025-01-19 02:30:00,ENAUSDT,291546884.0000000000000000,272042397.4604000000000000,3.67862572,1.66387700,3.09154412,2.30387700
2025-01-19 02:35:00,ENAUSDT,291381783.0000000000000000,270431572.6655558300000000,3.68313510,1.66781000,3.06702069,0.46318900
2025-01-19 02:40:00,ENAUSDT,291353319.0000000000000000,272149708.9628686000000000,3.71178637,1.66974100,3.09866962,0.84226600
2025-01-19 02:45:00,ENAUSDT,291146794.0000000000000000,273318650.0753773000000000,3.76901583,1.66702600,3.15512725,0.94599300
2025-01-19 02:50:00,ENAUSDT,291109079.0000000000000000,270847875.4572368000000000,3.75448916,1.66622200,3.13901847,0.50253400
2025-01-19 02:55:00,ENAUSDT,291458264.0000000000000000,270755633.7581632000000000,3.62575392,1.52031000,3.14411379,0.53088300
2025-01-19 03:00:00,ENAUSDT,291038550.0000000000000000,269564494.6879335000000000,3.60463019,1.52890800,3.13524130,1.76335100
2025-01-19 03:05:00,ENAUSDT,290970720.0000000000000000,269732193.9348816000000000,3.63702580,1.53035600,3.17541201,0.75629600
2025-01-19 03:10:00,ENAUSDT,290526575.0000000000000000,267810488.0377580000000000,3.64368517,1.53128800,3.17638095,0.28767000
2025-01-19 03:15:00,ENAUSDT,290595120.0000000000000000,267754343.5680000000000000,3.86094003,1.53544600,3.38431772,0.71863400
2025-01-19 03:20:00,ENAUSDT,290474363.0000000000000000,267365843.5266655400000000,3.87740463,1.53771900,3.38497653,0.80362600
