create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2024-04-09 00:05:00,ETHUSDT,896144.3670000000000000,3315921248.4059725000000000,2.37642678,2.33966300,1.96701817,0.98953600
2024-04-09 00:10:00,ETHUSDT,896350.6550000000000000,3319840811.4431500000000000,2.35016346,2.33690300,1.95581276,0.95385400
2024-04-09 00:15:00,ETHUSDT,896484.2300000000000000,3323262979.7336645000000000,2.37407092,2.33149900,1.96761654,0.78943200
2024-04-09 00:20:00,ETHUSDT,896978.0450000000000000,3327618121.1214500000000000,2.37436116,2.32909400,1.96317692,1.11371200
2024-04-09 00:25:00,ETHUSDT,897529.9210000000000000,3321049188.9834100000000000,2.35578667,2.32280200,1.95120431,0.59878400
2024-04-09 00:30:00,ETHUSDT,896304.8510000000000000,3309343112.9002123000000000,2.37630874,2.32914000,1.95551703,0.66881800
2024-04-09 00:35:00,ETHUSDT,897219.2290000000000000,3324325490.9477353000000000,2.33806459,2.32832200,1.93323003,2.12368000
2024-04-09 00:40:00,ETHUSDT,898502.4550000000000000,3335277053.0582000000000000,2.35978900,2.34708800,1.94714156,1.22548700
2024-04-09 00:45:00,ETHUSDT,898484.9200000000000000,3327080660.2987533000000000,2.35102657,2.33571000,1.94901395,0.50692300
2024-04-09 00:50:00,ETHUSDT,898495.1710000000000000,3321241651.2193820000000000,2.36978155,2.33205300,1.95468715,0.64491200
2024-04-09 00:55:00,ETHUSDT,898852.9590000000000000,3327844460.3854814000000000,2.34457425,2.32878500,1.94392260,1.45221200
2024-04-09 01:00:01,ETHUSDT,898484.8920000000000000,3321411130.5585600000000000,2.34016591,2.32864100,1.93348334,0.98448100
2024-04-09 01:05:00,ETHUSDT,897528.3520000000000000,3315020968.1120000000000000,2.35728531,2.32488100,1.94278067,0.49106600
2024-04-09 01:10:00,ETHUSDT,895659.8910000000000000,3297311696.2965720000000000,2.35622655,2.33247800,1.94127811,0.67456600
2024-04-09 01:15:00,ETHUSDT,897651.0810000000000000,3303584192.2679305000000000,2.34537328,2.33283100,1.92802282,0.84346600
2024-04-09 01:20:00,ETHUSDT,898167.6590000000000000,3304770402.7907367000000000,2.35611554,2.32695500,1.93275935,0.70994200
2024-04-09 01:25:00,ETHUSDT,898030.7150000000000000,3310626152.0761000000000000,2.36678390,2.32711100,1.92759517,1.21323100
2024-04-09 01:30:00,ETHUSDT,898395.4740000000000000,3312779406.6465600000000000,2.35135950,2.32941000,1.92207463,0.93661900
2024-04-09 01:35:00,ETHUSDT,899221.6330000000000000,3316383335.8019800000000000,2.36916737,2.32581900,1.92704902,1.02713300
2024-04-09 01:40:00,ETHUSDT,899945.0210000000000000,3314677501.3472000000000000,2.35450597,2.32301800,1.91739338,0.69659000
2024-04-09 01:45:00,ETHUSDT,900991.0230000000000000,3325359647.8679400000000000,2.34723476,2.32011300,1.91372505,2.02751000
2024-04-09 01:50:00,ETHUSDT,900412.6400000000000000,3321865340.3728000000000000,2.36987711,2.32145800,1.92895868,0.75147200
2024-04-09 01:55:00,ETHUSDT,899389.0270000000000000,3313681949.4079900000000000,2.37640211,2.32105800,1.93117102,0.38120500
2024-04-09 02:00:00,ETHUSDT,899411.2320000000000000,3312010930.9963875000000000,2.36255581,2.32012400,1.92198641,0.92182600
2024-04-09 02:05:00,ETHUSDT,899784.7700000000000000,3312890551.1199000000000000,2.36964016,2.31480200,1.92348993,0.67226800
2024-04-09 02:10:00,ETHUSDT,899957.4260000000000000,3319834949.6228800000000000,2.35911969,2.31679400,1.91963039,2.00656400
2024-04-09 02:15:00,ETHUSDT,900262.5020000000000000,3325686716.5132600000000000,2.34813435,2.31796100,1.91877040,1.90062400
2024-04-09 02:20:00,ETHUSDT,898382.2180000000000000,3324741896.1965800000000000,2.34843835,2.32683000,1.92916013,1.84553700
2024-04-09 02:25:00,ETHUSDT,896925.4090000000000000,3330705598.5592300000000000,2.34869293,2.33299000,1.92953595,1.33540400
2024-04-09 02:30:00,ETHUSDT,899997.4090000000000000,3346883364.6669300000000000,2.35431883,2.34495900,1.91567408,1.62610100
2024-04-09 02:35:00,ETHUSDT,900998.7240000000000000,3346090331.8961987000000000,2.47660375,2.33864800,1.88367926,0.49680300
2024-04-09 02:40:00,ETHUSDT,900941.5950000000000000,3342398472.8687240000000000,2.48138702,2.39775300,1.88325167,0.73484500
2024-04-09 02:45:00,ETHUSDT,900684.9910000000000000,3337966525.1714764000000000,2.49704754,2.40098000,1.89774361,0.91461700
2024-04-09 02:50:00,ETHUSDT,900858.5810000000000000,3343374468.8369200000000000,2.47529000,2.40048000,1.89722797,1.89665000
2024-04-09 02:55:00,ETHUSDT,900869.5200000000000000,3343469119.1376000000000000,2.49720501,2.40036900,1.90565151,1.23487300
2024-04-09 03:00:00,ETHUSDT,901347.1220000000000000,3342550020.1498785000000000,2.49310910,2.39268100,1.90589926,0.73288700
2024-04-09 03:05:00,ETHUSDT,900813.2510000000000000,3339498207.5586000000000000,2.50764731,2.40053200,1.90396976,0.41430900
