open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1686960000000,239.160,239.290,238.300,238.600,18224.97,1686960899999,4350641.07700,7628,8544.80,2039797.12590,0
1686960900000,238.610,238.730,237.380,237.490,25671.67,1686961799999,6107876.78880,8975,9882.93,2351618.84190,0
1686961800000,237.500,238.050,237.180,238.010,19626.02,1686962699999,4661192.10540,8280,9577.27,2274743.32260,0
1686962700000,238.010,238.100,237.360,237.420,13358.27,1686963599999,3175409.66670,5423,6577.81,1563636.98210,0
1686963600000,237.420,237.680,237.120,237.650,14473.58,1686964499999,3436091.13630,4927,7206.13,1710911.18650,0
1686964500000,237.650,238.170,237.560,238.060,9412.52,1686965399999,2238274.36610,3723,4956.45,1178607.30500,0
1686965400000,238.050,238.410,237.690,238.160,9756.17,1686966299999,2322444.02430,4143,5047.22,1201387.17400,0
1686966300000,238.170,238.710,238.020,238.620,18995.43,1686967199999,4527617.08610,7135,11216.04,2673440.41700,0
1686967200000,238.620,239.310,238.430,238.880,29098.90,1686968099999,6950347.06040,8897,16606.22,3966299.40810,0
1686968100000,238.890,239.240,238.620,239.110,13288.36,1686968999999,3174453.33060,4909,6774.90,1618388.68340,0
1686969000000,239.110,240.140,239.110,239.850,17205.49,1686969899999,4123137.18800,6655,10557.89,2530062.87820,0
1686969900000,239.840,240.100,239.510,239.800,11731.77,1686970799999,2812861.51320,4192,5947.59,1426002.32510,0
1686970800000,239.810,240.220,239.760,240.050,12026.23,1686971699999,2886167.76210,4574,6724.63,1613880.66250,0
1686971700000,240.050,240.480,239.420,239.460,20135.56,1686972599999,4829180.35680,6705,8532.98,2047043.04350,0
1686972600000,239.460,239.870,239.340,239.530,10105.13,1686973499999,2421069.63910,3896,5134.19,1230080.51340,0
1686973500000,239.530,239.600,239.320,239.500,6478.96,1686974399999,1551449.50550,2939,3133.03,750273.95510,0
1686974400000,239.500,239.610,239.200,239.580,7218.22,1686975299999,1728284.28790,3200,3532.76,845849.19140,0
1686975300000,239.570,240.310,239.490,240.290,12059.42,1686976199999,2893735.26310,4939,7322.39,1757106.10840,0
1686976200000,240.290,240.550,240.100,240.540,12148.48,1686977099999,2919577.84630,5139,6698.73,1609947.27010,0
1686977100000,240.540,241.770,240.540,241.630,30158.66,1686977999999,7272319.11240,11344,17012.57,4102427.18190,0
1686978000000,241.630,241.920,241.190,241.900,19626.04,1686978899999,4740089.69520,8055,11467.00,2769663.91540,0
1686978900000,241.890,243.700,241.720,243.050,45196.71,1686979799999,10962693.21685,15179,26733.82,6485252.80735,0
1686979800000,243.050,247.050,241.910,245.120,124528.75,1686980699999,30444292.73262,40403,64197.76,15699891.24962,0
1686980700000,245.110,248.780,244.350,248.360,170369.00,1686981599999,42037335.67420,52633,86523.84,21352964.58620,0
1686981600000,248.360,249.680,247.170,248.990,101444.14,1686982499999,25180485.24800,37047,50686.85,12584837.02920,0
1686982500000,249.000,249.820,247.680,247.740,83607.26,1686983399999,20824353.11680,27807,38609.83,9619843.99320,0
1686983400000,247.750,248.670,247.630,247.880,55356.81,1686984299999,13736211.01970,17984,28794.81,7145366.54470,0
1686984300000,247.890,248.410,247.100,247.360,42120.71,1686985199999,10435690.89170,14281,18781.91,4653878.56350,0
1686985200000,247.370,247.740,247.100,247.500,31415.13,1686986099999,7772096.43630,12828,15464.58,3825994.02090,0
1686986100000,247.500,248.270,247.250,247.990,21129.52,1686986999999,5234702.33660,9670,11174.96,2768668.20730,0
1686987000000,248.000,248.070,246.800,247.260,34072.27,1686987899999,8425388.53390,11432,14997.13,3708399.07990,0
1686987900000,247.270,247.610,246.260,246.570,30244.56,1686988799999,7463208.92240,11097,13112.80,3235431.92330,0
1686988800000,246.580,247.310,246.410,247.050,38008.86,1686989699999,9384738.87290,11894,20183.94,4983542.08310,0
1686989700000,247.050,247.530,246.680,247.480,18016.00,1686990599999,4450403.21970,6700,9156.48,2262257.96070,0
1686990600000,247.490,247.530,246.770,246.830,15884.49,1686991499999,3927414.01590,6304,8223.86,2033357.45200,0
1686991500000,246.830,247.410,246.800,247.000,11357.25,1686992399999,2806443.50980,5459,5726.22,1414942.57260,0
1686992400000,247.000,247.390,246.860,246.890,11676.34,1686993299999,2884822.29170,4427,5668.94,1400537.25370,0
1686993300000,246.890,246.940,245.970,246.730,19410.17,1686994199999,4784654.10730,7394,8556.46,2109429.84680,0
1686994200000,246.730,246.840,246.020,246.450,17206.94,1686995099999,4239143.01400,6473,9981.57,2459155.68840,0
1686995100000,246.450,246.550,245.630,245.950,16622.31,1686995999999,4089446.33720,6468,6742.68,1658836.73340,0
1686996000000,245.940,246.380,245.600,246.030,16694.63,1686996899999,4105994.01140,7585,9522.45,2342120.28230,0
1686996900000,246.030,246.580,246.000,246.500,12813.03,1686997799999,3155644.00830,4988,8459.51,2083560.19880,0
1686997800000,246.500,246.840,246.220,246.480,15580.64,1686998699999,3841363.60010,5815,9618.91,2371617.38740,0
1686998700000,246.480,247.210,246.400,246.850,15819.08,1686999599999,3903083.67120,5814,8762.57,2162030.56810,0
1686999600000,246.840,246.990,246.160,246.710,14787.82,1687000499999,3646212.63630,5567,7999.91,1972345.50570,0
1687000500000,246.720,246.720,245.560,246.020,28681.78,1687001399999,7060234.10100,8876,13428.03,3305849.29360,0
1687001400000,246.040,246.270,244.920,245.410,28586.45,1687002299999,7017171.07950,10576,14294.61,3509107.07430,0
1687002300000,245.410,245.740,244.670,244.970,20866.37,1687003199999,5117732.79330,7712,10276.78,2521372.40850,0
1687003200000,244.960,245.780,244.140,245.640,40207.53,1687004099999,9849367.68400,14493,19818.34,4855882.33410,0
1687004100000,245.630,246.230,245.290,245.880,19539.38,1687004999999,4803798.18990,6532,11434.93,2811319.61660,0
1687005000000,245.870,246.290,245.550,245.990,16854.85,1687005899999,4144470.50730,5531,8987.68,2210030.79650,0
1687005900000,245.990,246.080,245.150,245.270,14420.68,1687006799999,3540195.31320,6261,6098.36,1497208.97090,0
1687006800000,245.270,245.610,245.030,245.600,15399.92,1687007699999,3777851.75030,5618,7796.50,1912728.19440,0
1687007700000,245.610,245.870,245.110,245.550,16565.82,1687008599999,4066500.68610,5113,9709.35,2383428.03970,0
1687008600000,245.550,245.870,245.280,245.720,7417.72,1687009499999,1821996.67730,3377,4055.30,996122.56770,0
1687009500000,245.710,245.950,245.130,245.350,10337.98,1687010399999,2538368.14530,4512,5199.12,1276667.14740,0
1687010400000,245.350,245.350,244.480,244.730,18193.74,1687011299999,4455613.10740,7198,7502.23,1837087.88140,0
1687011300000,244.730,244.740,242.770,243.190,56450.03,1687012199999,13757131.48145,19054,22761.60,5546978.17910,0
1687012200000,243.200,244.060,243.200,243.480,30991.18,1687013099999,7550563.97450,9963,17508.82,4265605.87510,0
