open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1684713600000,306.350,307.130,304.220,305.720,60760.06,1684717199999,18561090.08940,30848,26690.02,8154783.08140,0
1684717200000,305.720,305.820,304.770,305.210,30283.66,1684720799999,9245201.07060,17407,14552.16,4442825.97450,0
1684720800000,305.210,305.840,304.830,305.620,18025.48,1684724399999,5504948.16790,10780,8867.87,2708128.68340,0
1684724400000,305.620,305.760,305.390,305.580,8426.00,1684727999999,2575001.68420,6279,4759.64,1454571.30640,0
1684728000000,305.590,306.010,305.500,305.740,10441.21,1684731599999,3192548.90670,8043,4903.40,1499181.89440,0
1684731600000,305.750,306.290,305.740,306.270,13781.91,1684735199999,4217170.68260,9748,7156.66,2189950.37230,0
1684735200000,306.280,307.620,305.940,307.270,37558.64,1684738799999,11529058.06460,18732,20368.18,6252955.79930,0
1684738800000,307.260,307.490,306.700,307.390,15577.03,1684742399999,4785162.35380,9586,7228.07,2220242.05270,0
1684742400000,307.390,308.080,307.310,307.810,22540.92,1684745999999,6937626.92920,11157,9388.44,2889323.26080,0
1684746000000,307.820,309.050,307.810,308.920,31969.53,1684749599999,9865372.78680,16430,16362.53,5048919.84970,0
1684749600000,308.910,309.220,308.510,309.180,25680.23,1684753199999,7932458.11790,12757,13207.75,4080039.67110,0
1684753200000,309.180,309.260,308.360,308.800,18805.90,1684756799999,5806776.63640,11391,9141.73,2822692.95050,0
1684756800000,308.810,309.410,308.460,308.530,28552.85,1684760399999,8820427.53020,15558,15502.70,4789080.59580,0
1684760400000,308.540,311.430,308.190,309.940,76281.41,1684763999999,23659972.98090,40099,44976.74,13950916.93830,0
1684764000000,309.940,310.270,308.850,309.940,43497.69,1684767599999,13468243.28380,20151,21637.72,6700114.53850,0
1684767600000,309.940,310.230,309.040,309.580,31521.55,1684771199999,9763540.16680,14227,15614.67,4836615.53940,0
1684771200000,309.580,310.990,309.560,310.500,44010.21,1684774799999,13665897.10570,18368,25105.88,7794901.92770,0
1684774800000,310.510,310.840,309.890,310.070,29995.35,1684778399999,9306323.58550,12978,14653.33,4545974.54950,0
1684778400000,310.070,310.720,310.060,310.420,15352.91,1684781999999,4765973.07070,8637,9008.84,2796490.71160,0
1684782000000,310.430,310.600,310.030,310.240,17548.46,1684785599999,5445187.08440,8758,9048.07,2807575.47280,0
1684785600000,310.240,310.680,309.700,310.390,23276.11,1684789199999,7218026.77810,9673,12608.61,3910216.67070,0
1684789200000,310.390,310.770,309.830,309.910,16538.23,1684792799999,5132791.65380,11068,8712.40,2704317.31240,0
1684792800000,309.910,310.160,309.550,309.680,11164.05,1684796399999,3458697.74010,6681,6161.24,1908783.19490,0
1684796400000,309.680,309.820,309.160,309.170,13787.79,1684799999999,4266387.54690,8591,7457.21,2307546.97610,0
