open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1720051200000,60208.00,60475.00,60207.90,60417.90,5961.455,1720054799999,359873412.54000,64439,2982.012,180013387.94380,0
1720054800000,60417.80,60500.00,58388.00,58561.70,47639.050,1720058399999,2825951546.30250,446468,20095.679,1192586354.81420,0
1720058400000,58561.70,59092.60,57611.00,58953.70,37960.305,1720061999999,2221288277.41680,365011,17679.920,1035098708.56880,0
1720062000000,58953.60,59138.30,58826.90,59092.40,7715.275,1720065599999,454942126.00880,85793,3615.095,213229174.72740,0
1720065600000,59092.40,59131.70,58702.30,58953.10,8494.342,1720069199999,500372822.40160,92226,3798.999,223789726.34270,0
1720069200000,58953.20,59026.50,58848.50,58885.40,5240.154,1720072799999,308728102.12790,67512,2456.827,144752959.69340,0
1720072800000,58885.40,59073.30,58515.30,58780.00,12908.302,1720076399999,759002342.39980,139831,6323.570,371874206.80720,0
1720076400000,58780.00,58844.70,58086.40,58214.00,19588.390,1720079999999,1145274763.82690,194586,8954.539,523675022.10000,0
1720080000000,58214.00,58484.50,57000.00,57674.10,38075.231,1720083599999,2200619833.62674,374112,16971.692,981685926.58270,0
1720083600000,57674.10,57857.70,56917.50,57725.90,33000.400,1720087199999,1896036999.67257,345597,16353.129,939846638.72577,0
1720087200000,57725.90,57938.40,57400.00,57929.60,14865.403,1720090799999,856711428.28510,162356,7435.668,428622624.89610,0
1720090800000,57929.60,58088.00,57658.80,57748.40,11922.295,1720094399999,689660263.14900,119707,5853.681,338663975.12630,0
1720094400000,57748.40,57748.40,57146.00,57234.40,17252.308,1720097999999,991313345.45650,176648,8305.685,477285009.44180,0
1720098000000,57234.30,57485.00,56750.00,57402.10,45010.724,1720101599999,2568468100.66529,414096,22413.152,1279259750.00317,0
1720101600000,57402.20,57525.70,56825.40,57433.90,21643.767,1720105199999,1238836374.35825,222936,11109.389,635968305.42823,0
1720105200000,57433.90,58350.00,57336.90,58137.60,26817.020,1720108799999,1550564525.21600,257499,15296.979,884636934.18870,0
1720108800000,58137.50,58400.00,57735.70,58288.40,14952.832,1720112399999,867579473.45760,169342,7362.036,427312015.22760,0
1720112400000,58288.50,58378.60,58081.60,58230.40,7638.223,1720115999999,444563507.58260,95419,3584.415,208633036.19510,0
1720116000000,58230.40,58363.60,57917.00,58152.10,9242.132,1720119599999,537378044.04540,109146,4380.922,254785763.28480,0
1720119600000,58152.10,58653.40,58122.40,58267.00,10720.462,1720123199999,626362618.15970,132869,5517.353,322412908.52770,0
1720123200000,58266.90,58346.10,58111.60,58346.10,4488.898,1720126799999,261288191.88910,72317,2348.569,136720391.20710,0
1720126800000,58346.00,58644.00,58274.80,58485.90,4344.708,1720130399999,253945527.81940,63983,2069.521,120951184.92270,0
1720130400000,58485.80,58800.00,57978.30,58031.80,10243.813,1720133999999,598057336.86310,121108,4703.284,274792358.20510,0
1720134000000,58031.90,58103.90,56560.00,57045.90,29930.788,1720137599999,1717391078.15649,321924,12797.315,734647849.73167,0
