open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1721347200000,63960.00,63999.10,63834.50,63889.10,1015.405,1721347499999,64891604.51570,9553,390.113,24933021.90520,0
1721347500000,63889.00,63889.10,63794.20,63809.90,495.505,1721347799999,31631284.99210,6343,184.309,11765986.92660,0
1721347800000,63810.00,63853.20,63750.90,63759.60,686.512,1721348099999,43795740.70370,6905,274.714,17525727.59270,0
1721348100000,63759.70,63761.60,63628.30,63675.80,1106.455,1721348399999,70466876.68070,11105,422.071,26881518.36970,0
1721348400000,63675.90,63731.80,63572.20,63713.90,1050.346,1721348699999,66855970.19220,11295,494.464,31478783.62550,0
1721348700000,63714.00,63756.40,63642.00,63642.00,559.564,1721348999999,35642309.60320,7653,229.843,14641772.21090,0
1721349000000,63641.70,63761.90,63620.90,63736.60,580.154,1721349299999,36956482.68210,7349,394.390,25123618.82190,0
1721349300000,63736.60,63769.20,63665.50,63675.20,357.728,1721349599999,22791065.95670,4570,160.843,10247422.98320,0
1721349600000,63675.30,63742.50,63635.00,63671.80,402.712,1721349899999,25646983.36540,4750,232.818,14826964.53630,0
1721349900000,63671.80,63671.90,63563.20,63604.30,439.388,1721350199999,27945317.47500,6846,175.053,11133402.46410,0
1721350200000,63604.30,63622.70,63519.00,63559.50,483.107,1721350499999,30705853.39840,7162,185.745,11806971.26340,0
1721350500000,63559.60,63600.00,63527.30,63576.90,324.131,1721350799999,20601508.89720,4864,176.658,11228671.28510,0
1721350800000,63577.00,63579.30,63427.40,63481.60,798.941,1721351099999,50723177.94140,10355,281.648,17883032.84710,0
1721351100000,63481.70,63520.00,63425.50,63474.70,501.566,1721351399999,31831588.62940,7857,244.124,15493763.81450,0
1721351400000,63474.70,63551.20,63394.50,63397.40,811.366,1721351699999,51492914.89330,9855,312.914,19865693.04670,0
1721351700000,63397.40,63448.10,63267.40,63278.00,1294.997,1721351999999,82043412.52060,14927,409.948,25975683.83000,0
1721352000000,63278.00,63518.90,63266.20,63518.00,900.475,1721352299999,57101823.40140,10783,620.938,39378488.10130,0
1721352300000,63517.90,63618.00,63503.70,63611.40,797.035,1721352599999,50669063.86890,8722,532.448,33850086.37500,0
1721352600000,63611.30,63675.00,63541.40,63561.60,593.175,1721352899999,37739093.95820,8865,379.723,24161386.00840,0
1721352900000,63562.20,63680.80,63552.10,63680.70,372.765,1721353199999,23723921.49570,5398,265.946,16927005.40310,0
1721353200000,63680.70,63760.20,63670.00,63725.90,685.990,1721353499999,43717446.80170,6833,492.425,31380283.03050,0
1721353500000,63725.90,63788.00,63664.00,63784.00,619.214,1721353799999,39468804.03150,6589,418.539,26681928.57020,0
1721353800000,63784.00,63839.00,63733.30,63764.90,643.324,1721354099999,41042133.91820,7158,436.358,27840022.79220,0
1721354100000,63764.90,63804.50,63755.60,63791.10,273.736,1721354399999,17460727.47370,3543,156.060,9954615.84790,0
1721354400000,63791.20,63877.00,63745.80,63876.90,681.549,1721354699999,43498034.33790,7703,450.687,28764793.21020,0
1721354700000,63876.90,63896.40,63816.50,63882.70,446.658,1721354999999,28531483.09060,6123,304.211,19432611.26690,0
1721355000000,63882.70,63914.00,63850.30,63894.40,453.539,1721355299999,28972279.57690,5774,266.659,17035152.03670,0
1721355300000,63894.50,63919.00,63820.70,63830.80,328.422,1721355599999,20973210.37010,5255,115.855,7399713.84110,0
1721355600000,63830.90,63848.00,63738.00,63743.10,343.523,1721355899999,21910194.39000,5227,107.064,6829071.31330,0
1721355900000,63743.20,63839.20,63742.40,63834.90,243.658,1721356199999,15543505.08170,4162,156.311,9972564.95170,0
1721356200000,63834.90,63834.90,63779.60,63808.00,161.906,1721356499999,10329799.11460,3455,68.235,4353642.71160,0
1721356500000,63809.00,63809.10,63720.30,63733.80,244.721,1721356799999,15601324.51470,3835,66.043,4210413.94030,0
1721356800000,63733.80,63789.40,63674.10,63750.20,417.688,1721357099999,26615712.74580,5295,147.160,9378725.41010,0
1721357100000,63750.30,63800.00,63715.20,63729.90,256.418,1721357399999,16351397.66080,4193,112.471,7172414.67700,0
1721357400000,63729.80,63729.90,63611.50,63713.60,542.128,1721357699999,34512471.67880,7973,147.675,9402320.73420,0
1721357700000,63713.60,63810.00,63708.80,63806.00,410.416,1721357999999,26169713.54020,4811,260.569,16616578.85930,0
1721358000000,63805.90,64000.00,63790.40,63999.90,1197.325,1721358299999,76530758.14390,12765,846.482,54106240.00280,0
1721358300000,63999.90,64079.60,63905.10,63905.10,1459.088,1721358599999,93389886.50240,16887,685.992,43915998.45370,0
1721358600000,63905.10,63995.30,63902.60,63994.90,323.513,1721358899999,20695103.62840,5229,164.588,10527972.32850,0
1721358900000,63994.90,64052.20,63922.10,64046.10,538.611,1721359199999,34470225.44620,8119,298.872,19129912.16060,0
1721359200000,64046.00,64118.90,64013.20,64018.10,783.852,1721359499999,50216866.61250,10239,447.885,28697235.17460,0
1721359500000,64018.10,64021.20,63942.70,63986.70,388.117,1721359799999,24832335.10720,6071,151.416,9687804.12090,0
1721359800000,63986.70,64096.00,63986.60,64072.70,407.876,1721360099999,26129169.69680,5284,218.416,13992200.29430,0
1721360100000,64072.70,64093.90,64044.60,64092.10,348.909,1721360399999,22354490.03910,4886,204.539,13105071.44490,0
1721360400000,64092.10,64348.20,64092.10,64331.20,3125.297,1721360699999,200817377.65120,28880,1944.288,124915679.83750,0
1721360700000,64331.20,64348.00,64227.70,64265.50,969.359,1721360999999,62310347.62630,10553,402.364,25864464.25380,0
1721361000000,64265.60,64277.40,64230.00,64275.00,456.043,1721361299999,29302983.41950,5934,181.712,11676298.08670,0
1721361300000,64275.10,64330.50,64257.50,64298.00,449.120,1721361599999,28873762.03160,6049,236.237,15188645.95510,0
1721361600000,64297.90,64358.00,64263.90,64284.70,858.673,1721361899999,55220587.24080,9903,374.548,24090592.65660,0
1721361900000,64284.70,64313.60,64169.50,64184.50,1051.168,1721362199999,67510261.82460,10477,213.125,13687439.36600,0
1721362200000,64184.50,64229.40,64167.20,64189.90,387.541,1721362499999,24879076.52060,4904,137.538,8829740.46500,0
1721362500000,64189.90,64191.90,64135.20,64188.90,366.793,1721362799999,23535443.96260,6113,121.000,7764440.60350,0
1721362800000,64189.00,64189.00,64128.50,64133.90,221.085,1721363099999,14182222.31920,3634,88.852,5699893.06840,0
1721363100000,64134.40,64187.90,64124.30,64170.00,179.084,1721363399999,11491964.65430,3265,76.123,4884905.02590,0
1721363400000,64170.10,64248.90,64127.20,64229.00,359.695,1721363699999,23096192.38970,5656,217.659,13976258.68320,0
1721363700000,64229.10,64258.70,64185.50,64201.40,383.330,1721363999999,24620185.47070,4713,160.167,10287301.69000,0
1721364000000,64201.30,64218.20,64182.30,64190.00,204.122,1721364299999,13103900.82800,3117,101.478,6514550.59190,0
1721364300000,64190.00,64242.80,64167.80,64225.90,275.212,1721364599999,17671096.92560,4515,147.300,9458461.56460,0
1721364600000,64225.90,64225.90,64132.00,64132.00,225.519,1721364899999,14471222.35320,3475,54.514,3498640.05950,0
1721364900000,64132.00,64154.90,64111.00,64111.00,205.210,1721365199999,13160671.22090,3304,43.823,2810590.17740,0
1721365200000,64111.00,64152.60,64070.20,64107.90,506.767,1721365499999,32487653.44570,5560,172.721,11073419.68450,0
1721365500000,64108.00,64177.70,64107.90,64171.80,262.292,1721365799999,16826108.58990,3055,176.854,11345225.96760,0
1721365800000,64171.90,64182.80,64139.20,64145.20,199.597,1721366099999,12807385.32110,2520,75.082,4818210.13830,0
1721366100000,64145.20,64176.70,64084.30,64114.10,270.652,1721366399999,17353252.85850,3691,103.767,6653611.63510,0
1721366400000,64114.10,64128.70,64076.60,64086.60,242.608,1721366699999,15552007.23550,2928,69.618,4462786.68110,0
1721366700000,64086.70,64110.00,64077.60,64078.10,203.329,1721366999999,13032046.97320,2624,76.852,4925726.32380,0
1721367000000,64078.10,64097.10,64057.60,64067.40,245.770,1721367299999,15747043.83270,3255,63.260,4053223.24640,0
1721367300000,64067.50,64123.30,64067.30,64120.10,202.350,1721367599999,12971786.29240,2944,118.205,7577393.34560,0
1721367600000,64120.10,64144.50,64104.90,64123.80,187.326,1721367899999,12012136.55700,2731,109.687,7033693.34020,0
1721367900000,64123.80,64219.70,64110.00,64212.40,603.541,1721368199999,38740445.11040,5874,477.734,30665579.00660,0
1721368200000,64212.50,64227.80,64191.10,64203.20,314.700,1721368499999,20207470.57390,3581,169.649,10893267.30900,0
1721368500000,64203.30,64209.30,64088.90,64143.20,440.473,1721368799999,28252631.68050,5350,176.018,11287189.46060,0
1721368800000,64143.10,64243.80,64111.00,64235.90,493.312,1721369099999,31657561.65700,6519,270.996,17393144.71220,0
1721369100000,64235.80,64469.30,64229.80,64435.40,2373.390,1721369399999,152827388.97680,23020,1615.377,104009463.15310,0
1721369400000,64435.30,64435.40,64345.20,64384.60,696.828,1721369699999,44861826.23810,8703,328.177,21127527.73690,0
1721369700000,64384.50,64419.60,64361.50,64373.30,521.822,1721369999999,33598487.15480,7651,278.938,17959801.49120,0
1721370000000,64373.40,64373.40,64265.70,64270.00,460.897,1721370299999,29638027.68010,6486,130.655,8400651.99710,0
1721370300000,64270.00,64350.00,64227.70,64350.00,538.937,1721370599999,34643827.68130,6234,285.073,18328248.46680,0
1721370600000,64350.00,64357.10,64251.00,64285.80,348.972,1721370899999,22434752.67720,4899,87.544,5628154.08040,0
1721370900000,64285.80,64311.60,64256.90,64265.50,198.848,1721371199999,12784881.39400,3212,121.392,7805089.67190,0
1721371200000,64265.50,64287.70,64235.80,64235.80,162.863,1721371499999,10465826.44300,3129,36.539,2348085.79140,0
1721371500000,64235.80,64285.50,64217.30,64223.70,226.772,1721371799999,14570513.32200,3860,123.540,7938044.07220,0
1721371800000,64223.70,64223.70,64157.90,64194.40,380.119,1721372099999,24396786.33150,5725,127.373,8174768.06260,0
1721372100000,64194.40,64219.50,64139.30,64184.90,336.102,1721372399999,21572914.63910,4283,158.565,10178068.68290,0
1721372400000,64184.80,64184.80,64077.00,64084.90,558.378,1721372699999,35800660.25060,6424,190.149,12191782.94270,0
1721372700000,64084.90,64123.90,63985.00,63998.30,1130.052,1721372999999,72371376.16140,10431,327.671,20990516.90200,0
1721373000000,63998.30,63998.40,63748.40,63915.20,3357.759,1721373299999,214420277.55120,30073,1379.648,88092944.35490,0
1721373300000,63915.30,64015.10,63882.00,64014.60,703.398,1721373599999,44991622.65350,8701,402.171,25723507.43040,0
1721373600000,64014.60,64021.80,63921.00,63977.20,383.283,1721373899999,24519912.25350,5817,175.543,11230983.67270,0
1721373900000,63977.10,63977.10,63909.30,63964.40,356.341,1721374199999,22785429.97490,6028,138.152,8834324.27790,0
1721374200000,63964.30,63964.40,63837.30,63854.80,781.356,1721374499999,49920122.15810,9080,305.319,19505591.85200,0
1721374500000,63854.80,63872.30,63668.10,63716.60,1434.346,1721374799999,91461188.39160,14577,397.714,25358191.73510,0
1721374800000,63716.60,63777.80,63637.50,63713.10,1724.055,1721375099999,109817439.52880,16652,845.717,53873076.73140,0
1721375100000,63713.10,63814.40,63693.60,63700.00,870.702,1721375399999,55515096.13430,10226,538.523,34338608.36360,0
1721375400000,63700.00,63704.00,63565.00,63621.70,1154.899,1721375699999,73489201.97710,16116,488.673,31096214.70200,0
1721375700000,63621.70,63718.00,63621.70,63673.90,598.591,1721375999999,38115337.81950,7831,371.885,23679371.38210,0
1721376000000,63673.90,63784.60,63660.70,63775.50,822.403,1721376299999,52409787.75330,7908,649.953,41420677.97450,0
1721376300000,63775.60,63791.70,63500.00,63540.60,1299.878,1721376599999,82694155.69460,14909,398.009,25322395.67360,0
1721376600000,63540.70,63603.40,63371.40,63392.00,2103.692,1721376899999,133513873.77570,21661,761.593,48339881.80140,0
1721376900000,63391.90,63459.70,63373.10,63442.10,1474.043,1721377199999,93474415.94390,15433,915.402,58050382.08300,0
1721377200000,63442.10,63526.40,63437.80,63459.50,1017.446,1721377499999,64580064.83960,10998,533.034,33834242.55680,0
1721377500000,63459.40,63516.80,63389.60,63516.80,697.572,1721377799999,44259179.36490,8883,357.997,22717887.83930,0
1721377800000,63516.80,63688.00,63488.00,63666.10,1303.438,1721378099999,82907825.19730,13040,944.628,60078682.45030,0
1721378100000,63666.10,63946.80,63649.00,63792.10,2566.065,1721378399999,163734802.55850,24601,1745.760,111391014.73820,0
1721378400000,63792.00,63822.60,63716.60,63788.30,578.687,1721378699999,36908561.92790,7929,249.637,15922385.09080,0
1721378700000,63788.40,63838.60,63718.90,63743.70,672.242,1721378999999,42859385.90530,6920,210.705,13436030.34150,0
1721379000000,63743.70,63828.30,63739.60,63747.00,361.890,1721379299999,23082910.99420,6360,223.770,14273325.54350,0
1721379300000,63746.90,63786.70,63732.40,63783.90,241.810,1721379599999,15419392.43750,3654,149.522,9534775.02220,0
1721379600000,63783.80,63943.20,63729.60,63932.50,1298.832,1721379899999,82922786.09230,11974,901.686,57575090.00270,0
1721379900000,63932.50,64100.00,63932.40,64059.20,2256.554,1721380199999,144467803.71880,22675,1390.710,89031146.73440,0
1721380200000,64059.20,64062.40,63973.00,63982.10,815.734,1721380499999,52210353.17980,8544,289.309,18516872.35020,0
1721380500000,63982.10,64049.10,63940.50,63973.50,685.854,1721380799999,43890003.55150,7622,285.822,18292962.62030,0
1721380800000,63973.60,63989.90,63895.20,63897.10,642.438,1721381099999,41075867.63300,6770,274.324,17540036.04570,0
1721381100000,63897.10,63958.30,63860.60,63868.00,405.224,1721381399999,25895774.61330,5433,194.230,12413798.11840,0
1721381400000,63867.90,63924.60,63853.50,63885.10,391.223,1721381699999,24992183.94560,5885,204.769,13081750.11690,0
1721381700000,63885.10,63887.80,63731.30,63732.10,692.039,1721381999999,44163888.36210,9069,246.837,15755465.14100,0
1721382000000,63732.20,63739.50,63613.30,63638.70,1422.031,1721382299999,90553003.15430,14030,434.657,27678284.47070,0
1721382300000,63638.80,63757.60,63638.70,63757.50,419.485,1721382599999,26725917.87250,5269,273.003,17393157.64130,0
1721382600000,63757.60,63797.30,63703.10,63707.80,385.321,1721382899999,24563223.86190,6189,169.540,10809597.59970,0
1721382900000,63707.70,63735.00,63645.30,63672.00,418.834,1721383199999,26672888.94180,6177,138.679,8832720.59220,0
1721383200000,63671.90,63884.60,63624.10,63814.80,1609.045,1721383499999,102608549.95590,13024,1068.664,68152890.88060,0
1721383500000,63814.80,63894.40,63776.20,63872.90,673.131,1721383799999,42980955.41490,7444,369.053,23566072.62040,0
