open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1776643200000,0.1124000,0.1130800,0.1123000,0.1128700,6955266,1776643499999,783381.5115500,5243,3641628,410229.2017800,0
1776643500000,0.1128700,0.1132300,0.1125700,0.1131300,5302885,1776643799999,599292.0099300,4339,2710512,306384.6547700,0
1776643800000,0.1131300,0.1131300,0.1128000,0.1128100,2686014,1776644099999,303430.2652600,2341,1450645,163891.5578300,0
1776644100000,0.1128100,0.1133000,0.1128100,0.1130300,1634279,1776644399999,184732.2321400,2169,851474,96237.2107800,0
1776644400000,0.1130200,0.1137900,0.1128600,0.1137900,5901191,1776644699999,668749.2354200,2919,3700217,419406.8045000,0
1776644700000,0.1137900,0.1145300,0.1137600,0.1142900,5159535,1776644999999,588969.6231600,3951,2910750,332191.0743700,0
1776645000000,0.1142900,0.1145200,0.1140600,0.1140600,2430095,1776645299999,277657.8971900,2372,800026,91408.6047300,0
1776645300000,0.1140700,0.1141200,0.1136100,0.1136700,4326997,1776645599999,492588.8261700,2332,1254754,142867.4360500,0
1776645600000,0.1136700,0.1139000,0.1136400,0.1137900,1462127,1776645899999,166335.4013400,1182,811429,92292.5792000,0
1776645900000,0.1137800,0.1139000,0.1136300,0.1137100,1335219,1776646199999,151946.0342400,1248,472392,53731.9466600,0
1776646200000,0.1137200,0.1138300,0.1136300,0.1137000,1410032,1776646499999,160373.0636800,1405,734506,83546.4401700,0
1776646500000,0.1137000,0.1139100,0.1136400,0.1137700,1310985,1776646799999,149171.6320200,1176,942871,107291.3118300,0
1776646800000,0.1137700,0.1143100,0.1137400,0.1141700,2375153,1776647099999,270797.1270200,2318,1581604,180306.4286400,0
1776647100000,0.1141800,0.1144600,0.1141300,0.1142300,1770202,1776647399999,202303.8070400,1956,948859,108430.0788700,0
1776647400000,0.1142300,0.1148300,0.1141700,0.1147200,2494321,1776647699999,285669.2253300,2190,1455758,166724.8379500,0
1776647700000,0.1147200,0.1147200,0.1142900,0.1143600,1335957,1776647999999,152981.6243800,1652,466042,53362.1503400,0
1776648000000,0.1143600,0.1144400,0.1140800,0.1142400,1676428,1776648299999,191443.0721500,1464,688619,78645.6953200,0
1776648300000,0.1142400,0.1143200,0.1142300,0.1142600,609950,1776648599999,69699.1242000,707,283771,32427.3105200,0
1776648600000,0.1142700,0.1154000,0.1142700,0.1152300,4287370,1776648899999,493179.1896800,3595,2490055,286417.9552200,0
1776648900000,0.1152300,0.1156200,0.1150600,0.1153100,3627698,1776649199999,418654.4668800,2788,2536555,292711.4417000,0
1776649200000,0.1153100,0.1155100,0.1153100,0.1154100,1283049,1776649499999,148058.4124200,1465,914740,105551.2472400,0
1776649500000,0.1154100,0.1154800,0.1153200,0.1154100,659804,1776649799999,76151.8009200,1233,330429,38136.9548800,0
1776649800000,0.1154100,0.1160300,0.1152600,0.1158800,2976291,1776650099999,344406.9598600,2574,2387713,276345.1311800,0
1776650100000,0.1158800,0.1161700,0.1157500,0.1158900,3071238,1776650399999,356093.6961800,2666,1960824,227337.9457600,0
1776650400000,0.1159000,0.1159800,0.1155200,0.1156300,3633114,1776650699999,420484.5544000,3161,1702007,197012.5648300,0
1776650700000,0.1156400,0.1157100,0.1153200,0.1154200,1931482,1776650999999,223143.5283000,1742,674665,77975.5028600,0
1776651000000,0.1154300,0.1154700,0.1149600,0.1151600,2456528,1776651299999,283195.3018400,1996,918224,105886.3568000,0
1776651300000,0.1151600,0.1154900,0.1148800,0.1152700,1946379,1776651599999,224234.2944900,1730,1252792,144343.0262500,0
1776651600000,0.1152700,0.1153900,0.1150800,0.1153600,1444479,1776651899999,166447.4884200,1107,778680,89727.9977200,0
1776651900000,0.1153700,0.1155700,0.1153100,0.1154000,961738,1776652199999,111027.6438400,994,636250,73450.2625000,0
1776652200000,0.1154000,0.1154300,0.1151700,0.1153600,1271738,1776652499999,146646.5322700,1273,639365,73717.8458000,0
1776652500000,0.1153600,0.1156300,0.1153000,0.1154400,2155673,1776652799999,248839.7476100,1373,1405041,162173.7832800,0
1776652800000,0.1154400,0.1157500,0.1153600,0.1157500,1737303,1776653099999,200795.9148900,1415,1139463,131709.2023200,0
1776653100000,0.1157500,0.1159700,0.1155200,0.1159700,2152626,1776653399999,249147.6387000,1757,1340122,155113.5339300,0
1776653400000,0.1159700,0.1161900,0.1158900,0.1159000,1641795,1776653699999,190468.5403600,1579,1058328,122793.3786400,0
1776653700000,0.1159100,0.1159100,0.1154200,0.1154400,1633112,1776653999999,188842.3481400,1453,597860,69117.9492700,0
