open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1774915200000,2025.69,2040.71,2015.25,2035.78,226176.897,1774918799999,458489723.09528,357506,120262.086,243819394.27267,0
1774918800000,2035.78,2093.00,2031.08,2072.20,562352.817,1774922399999,1162753548.53449,653016,307229.342,635442672.84477,0
1774922400000,2072.20,2082.50,2066.47,2072.08,136195.911,1774925999999,282584003.80092,235224,63794.337,132365041.38096,0
1774926000000,2072.08,2075.89,2061.00,2065.92,114451.160,1774929599999,236553900.10597,183226,56310.939,116385588.26246,0
1774929600000,2065.91,2071.42,2056.00,2059.91,129123.245,1774933199999,266328607.84755,201601,61074.221,126003130.35290,0
1774933200000,2059.90,2068.38,2053.74,2063.39,107401.904,1774936799999,221431162.66820,193460,56585.931,116685556.72851,0
1774936800000,2063.39,2064.00,2053.88,2061.29,98256.860,1774940399999,202229892.17240,160068,45572.102,93799422.77816,0
1774940400000,2061.29,2062.00,2040.88,2055.00,193885.346,1774943999999,397409463.90855,250113,94300.569,193299013.36953,0
1774944000000,2054.99,2058.66,2034.42,2038.89,182127.237,1774947599999,372529529.62804,275911,88335.781,180698537.82006,0
1774947600000,2038.88,2043.62,2011.25,2017.28,363231.511,1774951199999,735972080.20119,460249,170921.157,346373885.29338,0
1774951200000,2017.27,2029.30,2015.85,2025.26,153091.646,1774954799999,309721532.20760,215455,78971.813,159756100.05517,0
1774954800000,2025.26,2043.57,2021.68,2040.23,268405.017,1774958399999,546211924.45685,346349,147738.620,300646977.14917,0
1774958400000,2040.23,2057.19,2033.89,2046.78,288288.775,1774961999999,589991303.43557,391494,138152.517,282774935.03458,0
1774962000000,2046.78,2079.36,2046.78,2074.36,313868.104,1774965599999,648098335.54034,520645,167180.944,345199710.96581,0
1774965600000,2074.35,2091.49,2036.30,2045.20,762770.760,1774969199999,1576988177.77641,847814,375165.526,776053631.93386,0
1774969200000,2045.20,2077.38,2044.58,2053.66,473120.183,1774972799999,975817726.12736,647542,253183.503,522170733.39248,0
1774972800000,2053.66,2108.07,2053.31,2090.41,639259.388,1774976399999,1334882818.54518,845086,338843.841,707555089.24934,0
1774976400000,2090.40,2124.51,2087.56,2092.52,660029.276,1774979999999,1388825507.58975,876447,348720.102,733816364.14053,0
1774980000000,2092.51,2114.71,2092.45,2098.86,217756.178,1774983599999,457761506.79040,362393,122144.265,256747296.45870,0
1774983600000,2098.85,2103.42,2090.87,2095.68,128520.724,1774987199999,269541370.87467,231241,64897.197,136115648.57179,0
1774987200000,2095.68,2109.48,2095.09,2106.60,99069.806,1774990799999,208317316.52035,171565,46186.326,97119768.92705,0
1774990800000,2106.59,2108.88,2091.80,2101.50,93450.106,1774994399999,196258579.03818,151492,43945.855,92306040.33438,0
1774994400000,2101.49,2103.44,2087.00,2095.70,111988.349,1774997999999,234508777.10064,163513,48813.602,102252856.24446,0
1774998000000,2095.71,2107.93,2091.92,2104.49,107965.119,1775001599999,226863381.26020,181075,58527.991,122987054.01052,0
