open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1774483200000,2168.00,2169.00,2166.53,2166.80,9140.604,1774483499999,19817066.84648,11669,4973.688,10784573.77660,0
1774483500000,2166.80,2168.00,2165.48,2165.49,7371.661,1774483799999,15972022.12650,10193,5217.372,11303882.21951,0
1774483800000,2165.49,2166.06,2164.12,2165.99,5080.905,1774484099999,11000344.63180,8281,2943.412,6372325.41295,0
1774484100000,2166.00,2169.99,2163.81,2163.82,17028.078,1774484399999,36919058.30006,17874,10548.541,22871192.66007,0
1774484400000,2163.82,2166.10,2163.46,2165.57,5688.149,1774484699999,12311695.16040,12381,3493.328,7560914.66169,0
1774484700000,2165.56,2165.56,2163.29,2164.90,4536.268,1774484999999,9816139.39570,11791,2083.612,4508712.75224,0
1774485000000,2164.90,2168.01,2164.00,2165.35,4900.823,1774485299999,10615924.09221,13081,2157.556,4673321.59305,0
1774485300000,2165.35,2168.39,2165.35,2165.99,3368.188,1774485599999,7299796.58470,8553,1820.635,3945651.40587,0
1774485600000,2166.00,2167.04,2165.30,2166.78,2955.260,1774485899999,6401547.52095,5632,2057.832,4457718.42517,0
1774485900000,2166.79,2171.32,2166.42,2170.45,6107.560,1774486199999,13250331.19261,15330,3785.289,8211407.40021,0
1774486200000,2170.46,2170.57,2162.59,2163.17,8715.371,1774486499999,18879883.77568,17317,3585.369,7765106.83447,0
1774486500000,2163.17,2165.61,2161.21,2165.23,7872.027,1774486799999,17029558.89319,15191,3432.022,7424930.42473,0
1774486800000,2165.23,2168.40,2165.23,2166.28,6625.517,1774487099999,14357497.91552,18474,4311.266,9342617.16775,0
1774487100000,2166.28,2166.71,2161.05,2162.21,8420.269,1774487399999,18211567.93409,12099,4331.113,9366773.26541,0
1774487400000,2162.22,2163.77,2161.00,2162.72,6496.644,1774487699999,14046199.86262,13162,2476.583,5354812.36335,0
1774487700000,2162.72,2164.09,2158.89,2161.62,22241.399,1774487999999,48073653.77329,22204,12130.322,26220695.92072,0
1774488000000,2161.61,2164.60,2161.55,2164.31,3414.934,1774488299999,7387662.84838,8764,1726.564,3735110.09895,0
1774488300000,2164.31,2167.68,2163.82,2165.91,8036.976,1774488599999,17405232.98774,14241,3536.906,7659806.92865,0
1774488600000,2165.91,2168.09,2165.26,2166.49,4815.457,1774488899999,10433825.23578,11224,2315.580,5017293.72155,0
1774488900000,2166.50,2167.55,2164.55,2166.19,3803.366,1774489199999,8238316.09357,9801,1957.153,4239281.73529,0
1774489200000,2166.19,2166.20,2163.24,2163.59,4105.339,1774489499999,8886456.08468,10025,1141.378,2470780.03370,0
1774489500000,2163.59,2165.24,2162.56,2162.77,3298.629,1774489799999,7137898.99546,7691,1543.563,3340076.10742,0
1774489800000,2162.76,2164.50,2161.14,2163.29,7493.784,1774490099999,16206255.54893,10468,3034.066,6561199.48560,0
1774490100000,2163.28,2165.49,2162.79,2163.70,1711.655,1774490399999,3704997.80041,5650,871.253,1885844.22717,0
1774490400000,2163.70,2164.80,2162.98,2164.24,1847.050,1774490699999,3997016.99896,6648,1028.854,2226445.71009,0
1774490700000,2164.24,2164.25,2157.70,2159.74,21789.531,1774490999999,47058958.30476,22160,8762.211,18924314.05396,0
1774491000000,2159.74,2160.90,2156.87,2159.00,12435.513,1774491299999,26846597.85678,14625,3652.674,7885239.85047,0
1774491300000,2159.01,2159.27,2153.00,2153.58,27305.960,1774491599999,58851094.68315,30746,12968.115,27948845.53883,0
1774491600000,2153.58,2155.44,2151.48,2152.69,14092.999,1774491899999,30345557.75090,19860,5509.754,11864376.63954,0
1774491900000,2152.69,2154.88,2152.61,2153.01,8433.871,1774492199999,18165013.71301,15677,4448.513,9581083.76180,0
1774492200000,2153.01,2153.51,2142.15,2147.30,54736.852,1774492499999,117518156.81507,57720,23008.457,49396788.82534,0
1774492500000,2147.29,2148.00,2143.54,2145.00,17701.584,1774492799999,37987652.98377,25857,9190.274,19722818.44971,0
1774492800000,2145.00,2148.67,2144.83,2148.23,13868.745,1774493099999,29771580.00651,16855,10114.125,21710887.40292,0
1774493100000,2148.24,2150.00,2148.04,2149.59,13552.030,1774493399999,29119967.03085,14384,7285.741,15656413.37796,0
1774493400000,2149.59,2150.00,2146.31,2146.87,8147.234,1774493699999,17500178.81225,9570,3385.319,7273102.71454,0
1774493700000,2146.87,2149.78,2146.87,2149.06,9894.758,1774493999999,21255985.59985,10966,7239.499,15552031.04616,0
1774494000000,2149.05,2149.05,2144.05,2145.19,11513.055,1774494299999,24714985.08352,13395,4194.352,9002385.58229,0
1774494300000,2145.19,2149.00,2143.73,2149.00,11100.741,1774494599999,23824189.46720,17622,6125.110,13147489.84946,0
1774494600000,2149.00,2154.90,2148.66,2154.70,13334.140,1774494899999,28681943.41709,19013,8640.214,18584994.66417,0
1774494900000,2154.70,2154.70,2150.20,2150.74,7947.480,1774495199999,17103357.07307,11819,3778.755,8131734.77942,0
1774495200000,2150.73,2151.02,2144.52,2147.18,16437.508,1774495499999,35289352.34477,18997,6498.762,13951085.33365,0
1774495500000,2147.17,2149.06,2145.43,2146.83,10790.893,1774495799999,23168719.87732,16101,4457.532,9571348.44064,0
1774495800000,2146.83,2149.99,2146.54,2149.82,9491.721,1774496099999,20393679.64423,16118,5041.792,10831896.14073,0
1774496100000,2149.82,2151.57,2149.21,2151.56,4951.943,1774496399999,10649413.51473,9679,2944.995,6333417.06831,0
1774496400000,2151.56,2152.72,2151.05,2151.28,6550.251,1774496699999,14095667.94372,9613,3534.076,7605342.93571,0
1774496700000,2151.27,2151.89,2149.51,2150.05,4261.984,1774496999999,9166094.64566,8136,2065.147,4441562.00250,0
1774497000000,2150.05,2152.77,2149.21,2152.60,3428.607,1774497299999,7374823.59795,7462,2260.912,4863417.53119,0
1774497300000,2152.61,2153.32,2151.71,2152.15,4474.894,1774497599999,9631931.94417,6405,2057.438,4428656.56270,0
1774497600000,2152.15,2152.64,2150.05,2150.12,3741.258,1774497899999,8049084.66941,8717,1836.373,3951185.48280,0
1774497900000,2150.12,2151.81,2149.50,2150.17,4129.141,1774498199999,8879987.09243,7343,1997.092,4295300.11148,0
1774498200000,2150.18,2150.41,2146.55,2147.45,4333.612,1774498499999,9310449.47061,9249,1509.387,3242973.73961,0
1774498500000,2147.46,2148.06,2146.66,2147.36,5610.032,1774498799999,12046812.06050,8637,3198.330,6868079.90808,0
1774498800000,2147.37,2150.20,2147.37,2149.10,4130.153,1774499099999,8875092.40711,6892,2832.440,6085970.07112,0
1774499100000,2149.09,2151.97,2149.09,2151.64,3238.171,1774499399999,6964700.37023,5903,2208.482,4749926.94158,0
1774499400000,2151.64,2152.73,2150.19,2151.17,7737.633,1774499699999,16647657.42933,7481,2830.776,6090800.72821,0
1774499700000,2151.17,2153.12,2151.16,2152.54,3811.946,1774499999999,8204700.28712,6054,2404.356,5174988.24979,0
1774500000000,2152.55,2153.30,2150.00,2151.30,12533.107,1774500299999,26964525.25365,10199,4332.304,9320230.20612,0
1774500300000,2151.30,2153.52,2151.07,2152.98,4393.946,1774500599999,9457903.34292,6938,3087.135,6644864.99236,0
1774500600000,2152.99,2152.99,2149.19,2149.61,6548.975,1774500899999,14086238.75487,8105,1503.567,3234056.61183,0
1774500900000,2149.60,2149.60,2147.20,2148.45,4104.599,1774501199999,8818476.65582,6975,1818.868,3907782.72517,0
1774501200000,2148.44,2149.91,2147.24,2147.98,5018.081,1774501499999,10779955.22033,9153,2334.003,5013999.31185,0
1774501500000,2147.98,2148.07,2136.57,2140.13,55037.295,1774501799999,117776680.52513,48566,20562.193,43997899.04133,0
1774501800000,2140.12,2140.98,2137.00,2139.64,26413.342,1774502099999,56505430.27387,25559,10464.605,22388496.62490,0
1774502100000,2139.63,2140.46,2138.26,2139.85,13233.259,1774502399999,28312487.50974,16713,4982.413,10660911.20970,0
1774502400000,2139.85,2142.50,2139.84,2141.50,12156.013,1774502699999,26032587.08045,17004,7505.186,16072949.81408,0
1774502700000,2141.51,2142.41,2136.08,2141.41,19578.029,1774502999999,41884429.29959,24114,9935.404,21258782.46564,0
1774503000000,2141.40,2142.66,2140.11,2142.25,10524.283,1774503299999,22537158.63810,13937,4874.161,10438887.74471,0
1774503300000,2142.26,2144.25,2140.93,2141.67,9691.639,1774503599999,20765872.17114,13451,4374.478,9374875.30167,0
1774503600000,2141.66,2141.75,2125.75,2129.00,90175.553,1774503899999,192186226.53851,67067,24757.565,52765330.74255,0
1774503900000,2129.00,2129.74,2120.25,2127.18,93321.741,1774504199999,198365335.10197,74309,46561.019,98987484.07407,0
1774504200000,2127.19,2127.33,2115.31,2116.85,90876.012,1774504499999,192701241.80860,63177,31755.630,67335589.72612,0
1774504500000,2116.85,2118.81,2111.67,2118.63,60268.139,1774504799999,127484372.05888,59683,31518.205,66681466.67102,0
1774504800000,2118.63,2118.63,2110.72,2116.21,48426.391,1774505099999,102419073.45379,47812,26148.703,55308438.40100,0
1774505100000,2116.21,2120.48,2113.59,2119.65,19231.461,1774505399999,40713332.33714,25270,10383.821,21985262.43217,0
1774505400000,2119.65,2119.90,2116.27,2119.90,19133.456,1774505699999,40522632.95073,20349,7595.791,16087060.45151,0
1774505700000,2119.90,2123.79,2118.46,2123.79,23082.285,1774505999999,48956724.29757,25701,14199.404,30118008.46510,0
1774506000000,2123.79,2123.88,2118.25,2118.81,18969.068,1774506299999,40238612.49075,19343,8620.151,18287068.71511,0
1774506300000,2118.81,2121.74,2116.32,2121.69,14978.765,1774506599999,31746659.31160,16039,8906.439,18878123.41878,0
1774506600000,2121.68,2123.46,2120.58,2121.34,9026.689,1774506899999,19154088.51176,14585,4994.635,10598373.96396,0
1774506900000,2121.33,2121.64,2118.80,2120.61,6116.694,1774507199999,12971372.59806,12324,3445.144,7306186.94624,0
1774507200000,2120.62,2121.37,2118.63,2118.80,5119.879,1774507499999,10853250.16212,9862,2686.786,5695625.64102,0
1774507500000,2118.81,2120.73,2117.08,2120.73,8393.710,1774507799999,17785797.08358,12477,4308.983,9131270.66687,0
1774507800000,2120.73,2122.24,2119.92,2120.74,10167.489,1774508099999,21564106.28734,12362,3723.893,7898533.53216,0
1774508100000,2120.74,2122.20,2120.32,2120.70,8183.333,1774508399999,17357870.20681,11288,4285.748,9090072.52832,0
1774508400000,2120.71,2123.66,2118.85,2121.76,11460.428,1774508699999,24308810.65152,18469,7164.092,15195802.34662,0
1774508700000,2121.75,2121.98,2118.82,2121.70,10429.795,1774508999999,22114386.85957,16728,5698.645,12082418.68897,0
1774509000000,2121.69,2122.01,2119.13,2119.14,6440.358,1774509299999,13654539.15307,10126,2105.596,4464642.27845,0
1774509300000,2119.15,2120.57,2118.87,2119.13,5051.663,1774509599999,10707910.59140,12829,2277.542,4827843.18286,0
1774509600000,2119.13,2121.81,2114.01,2118.95,22114.432,1774509899999,46837514.82407,30578,9690.210,20525551.25325,0
1774509900000,2118.94,2119.32,2116.25,2116.77,10769.536,1774510199999,22806510.64194,13445,6131.890,12985451.12800,0
1774510200000,2116.77,2117.16,2112.00,2116.85,26526.515,1774510499999,56081607.21531,28691,10857.407,22958567.60927,0
1774510500000,2116.86,2120.37,2116.33,2120.11,12082.829,1774510799999,25603357.57271,16260,7501.543,15895656.03159,0
1774510800000,2120.11,2121.71,2118.76,2119.46,9225.498,1774511099999,19560029.21118,11885,4518.514,9580207.39941,0
1774511100000,2119.47,2121.00,2119.39,2120.83,4748.423,1774511399999,10068501.59820,8951,2654.983,5629612.81405,0
1774511400000,2120.84,2123.66,2120.84,2123.39,10312.888,1774511699999,21885743.80515,11000,6478.259,13747207.66771,0
1774511700000,2123.40,2123.40,2121.70,2122.37,6582.388,1774511999999,13971011.36947,6436,2785.739,5912685.43795,0
1774512000000,2122.36,2123.66,2121.09,2122.51,11441.281,1774512299999,24281716.03945,17012,5950.160,12627914.69432,0
1774512300000,2122.51,2126.24,2121.45,2121.89,14134.624,1774512599999,30016747.57908,22713,8688.846,18453149.30501,0
1774512600000,2121.89,2121.90,2115.42,2116.21,14697.846,1774512899999,31127523.00350,20490,4604.960,9751333.32942,0
1774512900000,2116.20,2119.68,2115.00,2115.82,10713.833,1774513199999,22682170.58525,18585,5825.418,12334077.01609,0
1774513200000,2115.82,2117.10,2113.00,2115.80,22470.172,1774513499999,47515329.09915,22254,7440.110,15734477.30235,0
1774513500000,2115.81,2117.75,2114.66,2114.66,7829.249,1774513799999,16569755.12206,15304,4434.485,9385227.92743,0
1774513800000,2114.67,2115.12,2113.42,2114.99,12698.946,1774514099999,26851361.57839,9662,6709.853,14188744.24500,0
1774514100000,2115.00,2117.81,2114.67,2114.67,8659.123,1774514399999,18321795.36586,16252,4040.004,8548400.24527,0
1774514400000,2114.68,2116.59,2113.30,2115.20,10046.261,1774514699999,21246650.39077,15506,5880.001,12435450.96958,0
1774514700000,2115.20,2120.78,2114.47,2117.53,14073.660,1774514999999,29811192.55043,24208,8562.910,18137928.69533,0
1774515000000,2117.53,2119.84,2116.40,2118.13,5437.085,1774515299999,11515060.77064,11970,2543.681,5388275.30678,0
1774515300000,2118.13,2119.89,2117.49,2118.61,4118.261,1774515599999,8726964.59695,8235,1986.773,4210240.97799,0
1774515600000,2118.61,2118.97,2115.13,2116.77,7361.011,1774515899999,15580708.18941,14139,3277.934,6937696.08709,0
1774515900000,2116.77,2120.89,2116.00,2119.01,12095.069,1774516199999,25633904.12498,20270,5710.668,12102094.94833,0
1774516200000,2119.01,2120.80,2117.18,2117.82,3783.691,1774516499999,8017477.15837,9914,1791.106,3795139.58674,0
1774516500000,2117.82,2117.82,2113.88,2116.09,7841.970,1774516799999,16590004.78069,14009,2844.468,6018347.30802,0
1774516800000,2116.10,2116.93,2115.06,2115.31,4123.462,1774517099999,8726415.37142,8630,1983.008,4196801.42370,0
1774517100000,2115.32,2116.54,2114.45,2115.81,5418.728,1774517399999,11463944.27983,8706,3089.680,6536500.47452,0
1774517400000,2115.80,2115.80,2073.00,2077.37,382187.727,1774517699999,798919062.76473,240589,142794.488,298302266.80871,0
1774517700000,2077.37,2085.10,2076.00,2078.89,75995.680,1774517999999,158165504.20946,64551,38641.224,80416164.10568,0
1774518000000,2078.88,2083.84,2078.36,2082.49,37835.877,1774518299999,78739825.18915,44204,19611.894,40816161.11066,0
1774518300000,2082.49,2082.68,2075.61,2076.49,37575.791,1774518599999,78116646.74627,41928,15666.668,32567613.07996,0
1774518600000,2076.49,2082.25,2076.49,2081.71,22322.491,1774518899999,46443670.12457,27312,13832.468,28780141.81710,0
1774518900000,2081.72,2083.74,2081.00,2081.29,15586.874,1774519199999,32455851.36426,17753,7214.144,15022448.22874,0
1774519200000,2081.29,2081.45,2075.22,2076.84,34993.959,1774519499999,72716590.73829,34163,13583.781,28226570.88588,0
1774519500000,2076.83,2080.87,2074.07,2075.04,24055.816,1774519799999,49962986.50408,29193,12386.611,25728170.25869,0
1774519800000,2075.04,2076.97,2070.60,2076.00,37896.699,1774520099999,78598207.17571,32532,18843.404,39086899.97128,0
1774520100000,2076.00,2080.62,2075.93,2079.36,21709.781,1774520399999,45133504.21105,26049,13453.024,27967463.99371,0
1774520400000,2079.35,2081.60,2078.71,2080.54,12117.297,1774520699999,25210035.35514,16760,6437.289,13393643.11073,0
1774520700000,2080.55,2082.39,2080.42,2081.51,11432.406,1774520999999,23796281.81092,13619,6651.071,13843816.73567,0
1774521000000,2081.51,2082.00,2078.33,2079.15,11695.489,1774521299999,24324864.14322,15936,5032.221,10465364.20689,0
1774521300000,2079.15,2079.16,2073.38,2074.36,23706.752,1774521599999,49227226.10633,29709,12056.348,25036277.17140,0
1774521600000,2074.36,2077.28,2073.38,2075.84,14764.405,1774521899999,30645226.13443,23394,9150.847,18993077.75227,0
1774521900000,2075.85,2077.48,2075.01,2076.61,9015.996,1774522199999,18721190.38056,17399,5052.287,10490971.52059,0
1774522200000,2076.62,2077.58,2076.23,2076.60,6219.264,1774522499999,12915985.99862,10617,3053.214,6340628.03731,0
1774522500000,2076.61,2077.51,2076.29,2077.38,5355.016,1774522799999,11121641.08708,9316,2450.306,5088975.17171,0
1774522800000,2077.38,2080.32,2076.00,2078.72,10929.799,1774523099999,22711859.97466,16554,6474.102,13453488.74563,0
1774523100000,2078.72,2079.64,2072.50,2076.45,16622.522,1774523399999,34504692.05939,22508,5421.775,11257015.10094,0
1774523400000,2076.45,2076.66,2061.00,2070.31,87277.638,1774523699999,180396381.55120,67848,36048.922,74524313.39808,0
1774523700000,2070.32,2071.99,2068.54,2071.52,20457.064,1774523999999,42350458.05828,19349,8729.695,18073502.34717,0
1774524000000,2071.51,2072.23,2066.14,2066.61,17376.730,1774524299999,35958231.60919,23643,7446.496,15410950.74410,0
1774524300000,2066.60,2068.41,2063.35,2066.94,30065.698,1774524599999,62102278.50521,40452,14748.711,30463621.04521,0
1774524600000,2066.95,2070.22,2066.46,2068.92,17321.968,1774524899999,35829206.38895,24282,11126.099,23014854.95180,0
1774524900000,2068.93,2072.00,2068.65,2071.73,27271.548,1774525199999,56483098.01613,20544,18018.343,37320109.14065,0
1774525200000,2071.74,2072.47,2069.57,2069.93,9580.715,1774525499999,19845222.26451,12712,4133.427,8562589.51354,0
1774525500000,2069.93,2072.30,2068.00,2068.39,8749.572,1774525799999,18113924.55914,13623,3248.312,6726443.42024,0
1774525800000,2068.39,2070.58,2067.44,2070.03,10006.561,1774526099999,20702104.19270,12145,5842.290,12087414.58482,0
1774526100000,2070.03,2070.03,2066.28,2067.33,10481.424,1774526399999,21669979.32103,12553,4220.003,8724566.52057,0
1774526400000,2067.34,2071.19,2065.55,2068.90,29163.325,1774526699999,60313964.71796,32278,14254.184,29486913.76666,0
1774526700000,2068.91,2070.42,2064.57,2069.40,19019.922,1774526999999,39310629.66354,22775,6946.705,14360546.74439,0
1774527000000,2069.39,2071.81,2069.36,2070.46,12045.103,1774527299999,24941008.93218,14967,6831.387,14145665.75181,0
1774527300000,2070.46,2071.68,2068.93,2070.53,11158.590,1774527599999,23104155.79123,13105,4107.109,8504834.21536,0
1774527600000,2070.53,2071.55,2070.00,2070.20,5144.765,1774527899999,10654921.96097,10148,2565.663,5313487.39407,0
1774527900000,2070.20,2071.77,2069.12,2070.30,9610.223,1774528199999,19896205.24174,13729,4933.919,10215021.39992,0
1774528200000,2070.30,2073.15,2067.30,2067.31,15198.899,1774528499999,31468337.86587,22745,6449.926,13356212.79424,0
1774528500000,2067.30,2071.44,2065.22,2070.66,12041.655,1774528799999,24904213.39240,20539,7502.185,15516370.81939,0
1774528800000,2070.66,2072.43,2069.17,2070.60,8506.080,1774529099999,17613827.89660,14809,4667.550,9665002.72875,0
1774529100000,2070.60,2074.30,2070.60,2072.50,11774.447,1774529399999,24402562.82363,15058,7442.765,15423908.20780,0
1774529400000,2072.49,2073.06,2070.00,2071.21,6741.471,1774529699999,13967400.16202,11086,3727.940,7724243.37923,0
1774529700000,2071.21,2073.24,2070.88,2072.13,7620.201,1774529999999,15790357.33503,11226,3866.669,8012541.70434,0
1774530000000,2072.13,2074.10,2071.00,2071.88,14512.581,1774530299999,30075676.44285,18565,8534.986,17688444.61487,0
1774530300000,2071.87,2078.50,2071.87,2076.30,28077.955,1774530599999,58289634.09847,28125,16804.438,34883656.11052,0
1774530600000,2076.31,2078.12,2074.02,2077.65,12063.152,1774530899999,25044236.85822,15273,6474.840,13442043.33595,0
1774530900000,2077.65,2079.61,2076.24,2077.62,15737.409,1774531199999,32708481.15194,17890,9524.118,19795116.55967,0
1774531200000,2077.62,2078.70,2076.50,2076.88,5641.712,1774531499999,11719817.41208,10389,2363.385,4909606.34467,0
