open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1706572800000,101.6220,101.9970,100.9400,101.0070,764282,1706576399999,77520664.9070,99233,357696,36280649.1000,0
1706576400000,101.0070,102.8990,100.8930,102.8020,1119168,1706579999999,114435781.7920,119127,574790,58775554.1090,0
1706580000000,102.8020,103.7980,102.2930,103.0990,1277693,1706583599999,131671084.5030,133453,659109,67943688.9050,0
1706583600000,103.0990,103.7340,101.8020,102.0560,1115354,1706587199999,114390045.6540,117444,498076,51089923.5490,0
1706587200000,102.0560,102.3890,101.6580,102.1550,612112,1706590799999,62414468.5010,73138,297212,30310486.6130,0
1706590800000,102.1550,103.2760,101.7420,102.6990,686184,1706594399999,70315250.5310,79935,339283,34786743.0340,0
1706594400000,102.6990,103.3240,102.1700,103.2220,941668,1706597999999,96768632.2600,95556,495610,50936659.9580,0
1706598000000,103.2210,103.3750,102.7400,102.8830,620946,1706601599999,63965031.8050,80964,303292,31246646.2610,0
1706601600000,102.8820,103.9860,102.3620,103.3600,1155957,1706605199999,119372654.4000,136296,579131,59805198.2020,0
1706605200000,103.3590,103.9980,103.0220,103.3410,701492,1706608799999,72555010.6240,86654,352961,36513775.0260,0
1706608800000,103.3410,104.5000,102.9100,104.2250,1158833,1706612399999,120415478.6470,127612,593716,61703924.0940,0
1706612400000,104.2250,106.4480,104.0720,106.0140,2396951,1706615999999,252478220.8920,239139,1293865,136321303.9790,0
1706616000000,106.0150,106.3720,103.8400,104.5650,2476128,1706619599999,260082740.2200,247895,1137249,119478822.0090,0
1706619600000,104.5640,105.3880,103.5000,104.4180,1776259,1706623199999,185193470.4680,194922,848216,88458721.4540,0
1706623200000,104.4190,105.8180,103.6000,105.3410,1601308,1706626799999,167929838.8990,182382,814441,85453060.7140,0
1706626800000,105.3410,106.5000,104.6040,104.7960,1831630,1706630399999,193309087.4370,195641,894196,94404306.5230,0
1706630400000,104.7900,104.9420,103.2240,104.4330,2133204,1706633999999,221898532.2890,214326,1025050,106642207.5660,0
1706634000000,104.4350,105.4000,104.2070,104.8020,1193844,1706637599999,125085096.0030,130326,567752,59489776.1730,0
1706637600000,104.8020,105.3150,103.8370,105.1240,1291391,1706641199999,135243962.0430,143168,633729,66379589.4820,0
1706641200000,105.1230,105.6410,104.7770,105.2160,701664,1706644799999,73850749.6230,92431,334316,35191452.3080,0
1706644800000,105.2160,105.5940,104.6200,104.9200,854770,1706648399999,89913946.6420,90340,458612,48247581.1240,0
1706648400000,104.9210,105.1150,104.1320,104.2950,662393,1706651999999,69250947.0110,84466,316144,33055556.9180,0
1706652000000,104.2950,104.5120,103.3310,103.4310,565297,1706655599999,58778154.0200,63901,253386,26361846.7390,0
1706655600000,103.4320,103.9010,101.0030,101.3710,2511048,1706659199999,256554888.7050,220673,1179179,120470623.8740,0
