open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1745712000000,149.1500,149.2400,149.1000,149.1200,5870.16,1745712059999,875534.275000,1021,2868.31,427798.915800,0
1745712060000,149.1100,149.2600,149.0800,149.0900,4546.02,1745712119999,677998.732400,892,1710.92,255192.475300,0
1745712120000,149.0800,149.2700,149.0500,149.2700,4233.13,1745712179999,631438.694500,1117,2568.64,383183.731200,0
1745712180000,149.2600,149.3700,149.1600,149.1700,9246.47,1745712239999,1380175.998400,1335,5459.36,814881.664700,0
1745712240000,149.1600,149.1600,148.9300,148.9400,9549.00,1745712299999,1423519.643900,1012,3555.94,530198.731800,0
1745712300000,148.9300,148.9900,148.9100,148.9700,9082.87,1745712359999,1352817.153600,994,4836.46,720327.435400,0
1745712360000,148.9600,149.0600,148.9600,148.9700,2050.63,1745712419999,305546.957400,637,979.13,145903.622500,0
1745712420000,148.9600,149.3100,148.9600,149.3000,5698.37,1745712479999,850003.758600,1114,3847.69,573993.279100,0
1745712480000,149.3100,149.5500,149.2600,149.3900,18650.45,1745712539999,2787172.021300,2296,9976.89,1491044.538200,0
1745712540000,149.3800,149.5300,149.1800,149.5300,10809.82,1745712599999,1614242.577600,1418,6638.54,991479.099700,0
1745712600000,149.5300,149.6500,149.4400,149.5700,37168.90,1745712659999,5558772.178900,3453,28718.70,4295022.722800,0
1745712660000,149.5600,149.6700,149.4500,149.6100,23322.28,1745712719999,3488329.028200,2357,11434.02,1709988.850000,0
1745712720000,149.6000,149.8000,149.5800,149.7400,33849.55,1745712779999,5067467.050600,3065,22215.07,3325627.921000,0
1745712780000,149.7300,149.7800,149.5700,149.6300,13299.59,1745712839999,1990365.546700,1577,7675.48,1148581.052500,0
1745712840000,149.6300,149.8100,149.6200,149.7900,23607.62,1745712899999,3534742.959900,2132,20766.99,3109454.689800,0
1745712900000,149.7900,149.8400,149.6700,149.7600,14222.74,1745712959999,2130139.499800,1626,7102.34,1063716.225500,0
1745712960000,149.7500,149.8800,149.7200,149.7700,14722.57,1745713019999,2205318.687800,1713,7650.12,1145916.777100,0
1745713020000,149.7600,149.9000,149.7600,149.8100,10813.42,1745713079999,1620275.291200,1790,6208.11,930249.002000,0
1745713080000,149.8100,149.9800,149.8000,149.8900,27905.14,1745713139999,4182998.005100,2411,18249.92,2735626.710900,0
1745713140000,149.8800,150.2800,149.8200,150.1600,49233.46,1745713199999,7389146.814900,4783,38202.87,5733831.020000,0
1745713200000,150.1600,150.3700,150.0200,150.0200,23972.55,1745713259999,3600557.281900,3028,13845.36,2079521.698800,0
1745713260000,150.0100,150.1300,149.8300,149.9500,21321.75,1745713319999,3197939.056700,2477,9754.02,1463076.551300,0
1745713320000,149.9500,150.0600,149.8900,149.9000,11903.08,1745713379999,1785243.406400,1772,7061.38,1059025.992300,0
1745713380000,149.8900,149.9800,149.7700,149.7700,12300.97,1745713439999,1843310.057700,1801,3980.68,596613.996500,0
1745713440000,149.7700,149.7900,149.6000,149.6700,13890.91,1745713499999,2079323.977600,1847,6665.95,997934.777100,0
1745713500000,149.6800,149.7200,149.4600,149.5300,14085.23,1745713559999,2106426.689200,1848,6222.26,930449.898800,0
1745713560000,149.5300,149.7900,149.4800,149.7400,8999.54,1745713619999,1346649.381500,1572,6300.24,942687.512600,0
1745713620000,149.7300,149.9500,149.7200,149.7500,9666.69,1745713679999,1448509.645400,1918,7068.67,1059266.115900,0
1745713680000,149.7500,149.9300,149.7500,149.8800,5621.99,1745713739999,842536.813400,1333,4164.59,624130.665900,0
1745713740000,149.8700,150.1100,149.8200,150.0200,23435.47,1745713799999,3514854.244400,2497,16988.13,2548035.239500,0
1745713800000,150.0100,150.1500,149.9700,150.0900,16359.18,1745713859999,2454818.728800,2350,10437.20,1566262.920300,0
1745713860000,150.0900,150.2600,149.9300,149.9400,17260.96,1745713919999,2591106.763100,2259,10812.19,1623095.420600,0
1745713920000,149.9400,149.9900,149.7600,149.8700,11781.32,1745713979999,1765688.388200,1798,5852.98,877142.614300,0
1745713980000,149.8800,149.9800,149.7000,149.7900,28248.04,1745714039999,4231435.569000,2627,5391.45,807815.283800,0
1745714040000,149.7900,149.8800,149.7900,149.8700,4927.83,1745714099999,738327.642800,1034,3055.45,457791.508400,0
1745714100000,149.8600,150.0000,149.8600,149.9900,6505.66,1745714159999,975246.730500,1263,3820.01,572650.952600,0
1745714160000,149.9900,149.9900,149.8400,149.8700,4816.76,1745714219999,722009.399500,1196,2316.15,347145.041300,0
1745714220000,149.8700,149.9000,149.7300,149.8000,3560.10,1745714279999,533330.371800,1049,1262.79,189187.708900,0
1745714280000,149.7900,149.8500,149.7300,149.7800,6092.83,1745714339999,912665.798400,1300,3820.59,572277.138200,0
1745714340000,149.7900,149.9000,149.6500,149.9000,11596.66,1745714399999,1736216.473000,1463,4452.18,666650.498500,0
1745714400000,149.8900,149.9200,149.7500,149.7600,7156.79,1745714459999,1072326.773200,1081,1847.20,276802.963100,0
1745714460000,149.7500,149.7600,149.6000,149.6000,8281.28,1745714519999,1239547.441700,1289,3366.38,503865.532000,0
1745714520000,149.6000,149.8000,149.6000,149.7900,3504.29,1745714579999,524649.814800,1030,2189.65,327846.353300,0
1745714580000,149.7800,149.8800,149.7800,149.8500,4043.16,1745714639999,605723.491100,855,1750.94,262313.279300,0
1745714640000,149.8400,150.0000,149.8400,149.9100,5086.18,1745714699999,762478.706300,1088,3912.09,586458.533000,0
