open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1676937600000,0.3986,0.3987,0.3978,0.3983,4640388.3,1676937899999,1847579.21905,2660,2063979.1,821727.15618,0
1676937900000,0.3983,0.3984,0.3971,0.3972,5004386.3,1676938199999,1989803.40104,2319,2181410.9,867386.72573,0
1676938200000,0.3972,0.3974,0.3965,0.3973,4271512.4,1676938499999,1695693.86767,2463,2166162.5,859961.06797,0
1676938500000,0.3973,0.3973,0.3958,0.3962,11098833.3,1676938799999,4398747.02160,4133,4361363.9,1728798.16394,0
1676938800000,0.3962,0.3973,0.3960,0.3971,3636230.6,1676939099999,1443001.42714,1789,2153270.3,854487.19580,0
1676939100000,0.3970,0.3978,0.3969,0.3978,2641698.2,1676939399999,1049587.34480,1407,1479933.7,588071.22473,0
1676939400000,0.3977,0.3985,0.3973,0.3984,3961657.4,1676939699999,1576881.79287,2155,2308321.2,918894.12280,0
1676939700000,0.3984,0.3992,0.3981,0.3989,3494265.3,1676939999999,1392583.55901,1616,1778680.4,708980.84410,0
1676940000000,0.3989,0.3990,0.3979,0.3980,4872036.1,1676940299999,1942022.06270,1881,2066871.4,824070.41007,0
1676940300000,0.3980,0.3980,0.3971,0.3972,3718721.5,1676940599999,1478336.47309,1774,1753939.4,697298.89488,0
1676940600000,0.3973,0.3976,0.3971,0.3973,3084763.5,1676940899999,1225708.48726,1281,1983111.1,787979.15807,0
1676940900000,0.3973,0.3974,0.3963,0.3964,3530130.9,1676941199999,1400112.50863,1882,1586361.8,629132.79774,0
1676941200000,0.3964,0.3967,0.3960,0.3963,3530582.0,1676941499999,1399395.89115,2091,1797104.8,712387.64513,0
1676941500000,0.3964,0.3964,0.3952,0.3956,6988872.8,1676941799999,2766121.05902,3038,2898971.6,1147556.56929,0
1676941800000,0.3957,0.3959,0.3946,0.3956,10135900.8,1676942099999,4004788.40585,3744,4395755.6,1737030.27617,0
1676942100000,0.3956,0.3957,0.3941,0.3943,7287587.1,1676942399999,2878477.59159,3249,3107583.3,1227568.55762,0
1676942400000,0.3942,0.3948,0.3940,0.3945,6377008.6,1676942699999,2514774.43255,2774,3434006.7,1354346.76124,0
