open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1747699200000,649.960,651.690,649.700,651.550,4823.99,1747700099999,3139107.57770,7127,2281.35,1484566.27970,0
1747700100000,651.550,653.730,650.260,650.360,12802.61,1747700999999,8352794.99900,16332,6567.41,4285164.76650,0
1747701000000,650.350,651.930,650.000,650.630,3736.20,1747701899999,2431315.99180,9746,1763.72,1147852.60870,0
1747701900000,650.630,650.830,648.290,649.370,6627.63,1747702799999,4304299.28780,9492,1965.83,1276867.61050,0
1747702800000,649.370,651.870,649.190,650.610,4721.95,1747703699999,3073151.65090,8377,2366.20,1539810.28390,0
1747703700000,650.610,651.870,650.150,651.090,3435.49,1747704599999,2236598.62990,7478,1854.18,1207085.13330,0
1747704600000,651.090,653.000,651.090,651.440,4415.53,1747705499999,2879148.58390,8861,2215.54,1444702.51140,0
1747705500000,651.430,652.740,650.510,651.510,4124.64,1747706399999,2687032.34680,8132,1679.03,1093707.13990,0
1747706400000,651.520,653.470,651.520,653.470,4163.93,1747707299999,2718050.45800,8141,2300.90,1501910.12670,0
1747707300000,653.480,654.140,652.290,652.300,5823.41,1747708199999,3805500.94030,10337,2917.19,1906536.75550,0
1747708200000,652.290,652.920,651.660,651.720,3533.97,1747709099999,2304644.83690,8793,1386.71,904343.09590,0
1747709100000,651.730,652.170,650.660,651.090,3590.45,1747709999999,2338633.68970,8079,1598.09,1040907.06840,0
1747710000000,651.090,651.250,650.210,650.380,4835.31,1747710899999,3146233.90600,7602,2303.31,1498719.45710,0
1747710900000,650.380,652.100,650.010,651.740,2972.47,1747711799999,1935315.29590,6377,1260.81,820893.65440,0
1747711800000,651.750,651.840,650.000,650.390,2693.78,1747712699999,1752576.26000,6960,1156.78,752495.72430,0
1747712700000,650.380,650.850,649.830,650.670,2210.81,1747713599999,1437877.44400,4585,1006.77,654752.53370,0
1747713600000,650.670,650.840,648.820,649.460,5770.49,1747714499999,3748478.43080,7379,3213.34,2087232.61210,0
1747714500000,649.460,650.060,649.050,649.560,2546.98,1747715399999,1654546.90610,5676,1314.01,853621.88940,0
1747715400000,649.560,650.710,649.440,650.370,2613.61,1747716299999,1699476.51390,4854,1139.59,740931.34040,0
1747716300000,650.370,651.720,650.360,651.390,3239.10,1747717199999,2109406.02020,6084,2066.18,1345490.90240,0
1747717200000,651.400,651.730,650.500,651.380,5753.65,1747718099999,3745522.47020,6064,3828.98,2492326.79660,0
1747718100000,651.370,652.010,651.260,651.900,3295.11,1747718999999,2147330.72730,4755,1464.56,954440.95650,0
1747719000000,651.900,652.350,650.440,651.920,14615.14,1747719899999,9522855.82990,9184,8512.44,5545710.69210,0
1747719900000,651.930,652.610,651.900,652.080,1947.87,1747720799999,1270545.42190,4837,855.18,557828.62210,0
1747720800000,652.080,652.380,650.090,650.600,6408.38,1747721699999,4171477.91270,7381,3538.80,2303589.82370,0
1747721700000,650.600,651.740,649.650,650.110,3882.40,1747722599999,2526131.40590,6945,1609.83,1047374.11640,0
1747722600000,650.110,650.590,649.470,650.410,2368.72,1747723499999,1540183.29970,5358,1288.73,837964.48850,0
1747723500000,650.410,651.010,650.400,650.630,1220.70,1747724399999,794355.71030,4034,515.52,335465.78620,0
1747724400000,650.630,650.900,648.250,649.820,7210.06,1747725299999,4683613.42920,9555,4157.56,2700283.28400,0
1747725300000,649.830,650.040,648.280,648.490,3560.58,1747726199999,2309911.19570,6922,1497.06,971075.72550,0
1747726200000,648.490,648.860,647.310,647.800,5535.58,1747727099999,3585668.14140,8790,2439.39,1580037.94150,0
1747727100000,647.790,648.050,646.490,647.610,4135.18,1747727999999,2676886.24910,11597,2018.41,1306826.82990,0
1747728000000,647.610,648.250,645.810,646.190,5203.32,1747728899999,3367339.14180,8721,2804.36,1815366.82240,0
1747728900000,646.190,646.850,645.540,646.140,3292.72,1747729799999,2127538.51510,8066,1571.04,1015194.66530,0
1747729800000,646.140,647.840,646.140,647.830,2219.39,1747730699999,1435700.09080,6912,1304.24,843753.12960,0
1747730700000,647.830,648.310,647.610,648.160,4605.39,1747731599999,2984060.05240,6168,3313.39,2146898.66670,0
1747731600000,648.160,648.280,647.430,647.700,6261.36,1747732499999,4056578.59590,7363,3943.54,2554910.88930,0
1747732500000,647.710,648.030,646.550,647.330,2274.18,1747733399999,1471967.80210,6123,907.57,587379.36590,0
1747733400000,647.340,648.330,646.920,648.050,2624.87,1747734299999,1699480.46700,5625,1084.68,702303.58620,0
1747734300000,648.050,648.500,647.860,648.340,1484.78,1747735199999,962438.15640,3833,813.74,527503.91050,0
1747735200000,648.350,648.480,646.180,646.750,5939.22,1747736099999,3843681.48160,9026,3462.05,2240376.59370,0
1747736100000,646.740,646.850,645.180,646.080,3403.63,1747736999999,2198876.84920,7814,1423.37,919535.25150,0
1747737000000,646.080,646.130,645.040,645.770,2723.53,1747737899999,1757952.50610,6989,1308.70,844762.87270,0
1747737900000,645.770,645.920,644.550,645.620,2783.03,1747738799999,1795744.97350,6481,1130.47,729448.64960,0
1747738800000,645.620,645.730,643.310,643.570,7006.42,1747739699999,4511795.53920,8886,3767.18,2425504.23940,0
1747739700000,643.570,644.990,641.650,644.070,12329.34,1747740599999,7930543.92040,18511,6982.82,4492846.46580,0
1747740600000,644.070,645.280,644.070,644.950,4240.33,1747741499999,2733740.07420,8014,2220.79,1431769.01470,0
1747741500000,644.950,645.000,643.430,643.830,2314.66,1747742399999,1491021.52690,5992,995.64,641295.38630,0
1747742400000,643.830,643.880,641.500,641.890,8606.39,1747743299999,5526345.42020,8906,4459.23,2862873.62830,0
1747743300000,641.890,642.830,641.450,641.760,6092.84,1747744199999,3912078.13360,7996,3313.61,2127547.59930,0
1747744200000,641.770,642.280,641.000,641.770,5556.38,1747745099999,3564386.10250,9596,2913.66,1869069.38270,0
1747745100000,641.770,642.850,641.400,642.480,5347.35,1747745999999,3434480.58430,8441,2791.81,1792967.27700,0
1747746000000,642.480,643.050,641.200,641.360,7741.52,1747746899999,4969710.65620,8579,4069.56,2612759.79560,0
1747746900000,641.360,642.650,641.270,641.820,2713.16,1747747799999,1741578.91150,6660,985.52,632621.16350,0
1747747800000,641.820,642.730,640.710,641.140,5060.58,1747748699999,3246818.49730,12097,1819.64,1167517.71870,0
1747748700000,641.160,642.450,640.220,641.310,5380.09,1747749599999,3450527.58510,11440,2440.22,1565508.56510,0
1747749600000,641.320,641.820,640.340,640.850,5764.28,1747750499999,3695438.78910,11665,2552.03,1636013.72830,0
1747750500000,640.860,643.180,640.690,641.630,3744.30,1747751399999,2405071.63130,10214,1987.49,1276472.14640,0
1747751400000,641.620,643.320,641.190,643.120,3613.42,1747752299999,2320441.52900,9172,1993.88,1280493.19930,0
1747752300000,643.120,643.620,642.190,642.280,4845.39,1747753199999,3115045.71780,7767,1835.70,1179867.61590,0
1747753200000,642.290,643.950,642.180,643.820,5391.00,1747754099999,3468885.75990,7969,2757.52,1774309.33030,0
1747754100000,643.830,645.180,643.380,645.090,4516.34,1747754999999,2908935.12380,7525,2745.88,1768665.50160,0
1747755000000,645.090,645.670,644.290,644.440,4989.70,1747755899999,3218337.78950,8232,2354.65,1518677.74790,0
1747755900000,644.440,645.230,644.210,644.660,2520.56,1747756799999,1624713.55100,5650,1389.01,895306.86770,0
1747756800000,644.660,645.570,643.940,644.370,4901.84,1747757699999,3160737.58860,8443,2154.83,1389426.21540,0
1747757700000,644.370,644.740,643.500,643.610,3324.86,1747758599999,2141388.17630,7510,1078.45,694579.26730,0
1747758600000,643.610,644.900,643.600,644.760,1768.95,1747759499999,1139758.24000,5602,849.55,547367.48860,0
1747759500000,644.760,646.240,644.560,644.980,4236.04,1747760399999,2733997.80580,7213,2588.06,1670491.31700,0
1747760400000,644.990,647.320,644.990,646.980,7464.98,1747761299999,4826550.10740,14849,3208.40,2074228.10870,0
1747761300000,646.980,647.340,646.190,646.750,2973.95,1747762199999,1923422.13660,6598,1169.53,756413.73470,0
1747762200000,646.740,646.960,645.840,646.540,2184.29,1747763099999,1411712.11670,6079,898.36,580623.76920,0
1747763100000,646.540,647.790,646.370,646.690,3410.45,1747763999999,2207017.72650,6638,2054.40,1329526.49800,0
1747764000000,646.680,647.680,646.600,646.830,2753.28,1747764899999,1782222.00720,6095,998.21,646084.36910,0
1747764900000,646.820,647.460,644.560,644.880,7838.38,1747765799999,5067164.56220,9254,4807.61,3108752.50900,0
1747765800000,644.880,646.000,644.150,644.940,3223.56,1747766699999,2079368.76600,8225,1448.74,934570.43050,0
1747766700000,644.940,645.000,642.780,643.700,4418.60,1747767599999,2843574.08060,10950,2164.27,1392758.13590,0
1747767600000,643.690,646.000,643.460,645.750,3921.75,1747768499999,2529046.06000,8191,1826.89,1177979.96150,0
1747768500000,645.760,646.800,645.450,646.540,2513.76,1747769399999,1624722.26600,10350,1328.38,858555.56840,0
1747769400000,646.550,647.240,646.540,646.840,2102.65,1747770299999,1360377.68600,5972,805.39,521062.76370,0
1747770300000,646.890,649.170,646.890,648.100,7026.35,1747771199999,4553122.57680,10905,4167.04,2700248.52480,0
1747771200000,648.100,648.900,647.190,648.070,6027.33,1747772099999,3905764.75080,10291,2735.92,1772930.44200,0
1747772100000,648.070,648.950,647.540,648.810,3229.02,1747772999999,2093585.74870,7364,1766.87,1145585.43270,0
1747773000000,648.800,649.230,648.110,648.480,2791.01,1747773899999,1810407.56780,6141,1247.82,809407.23940,0
1747773900000,648.470,649.800,648.470,649.790,2525.77,1747774799999,1640194.54140,6529,1332.66,865370.53390,0
1747774800000,649.800,650.970,648.480,648.620,6689.09,1747775699999,4348947.78860,16478,2965.17,1927601.90720,0
1747775700000,648.630,650.350,648.400,648.430,2186.65,1747776599999,1420314.78660,7634,1195.12,776278.91670,0
1747776600000,648.430,649.900,648.000,649.460,2078.65,1747777499999,1349216.18590,7315,1116.69,724847.55670,0
1747777500000,649.470,650.720,649.460,650.160,1332.67,1747778399999,866610.41710,4467,774.58,503627.44160,0
1747778400000,650.170,650.910,649.650,649.960,5494.50,1747779299999,3574157.98030,8026,2253.40,1465629.95230,0
1747779300000,649.970,650.050,648.630,649.880,3068.30,1747780199999,1992025.40510,6922,1856.33,1205068.06100,0
1747780200000,649.880,650.000,648.810,649.940,1698.87,1747781099999,1103266.93170,6359,794.17,515745.49250,0
1747781100000,649.950,650.890,649.800,650.880,2307.97,1747781999999,1500940.14460,6127,1405.32,913925.91970,0
1747782000000,650.890,652.000,650.560,651.980,6433.47,1747782899999,4190572.99400,8069,3382.47,2203159.14190,0
1747782900000,651.980,652.970,651.840,651.910,4368.18,1747783799999,2850157.92420,9076,2313.73,1509650.25520,0
1747783800000,651.920,652.260,650.330,650.490,3869.21,1747784699999,2519678.38790,7934,1665.29,1084515.43200,0
1747784700000,650.500,651.300,650.050,650.370,3683.47,1747785599999,2396268.96410,6922,1533.87,997820.99100,0
